index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,0.0,251.0,235.0
0,polygon,1,0.0,253.9890479508803,230.24324324324326
0,polygon,2,0.0,253.97473682232365,224.53418283148014
0,polygon,3,0.0,252.17300358222386,219.2046354446323
0,polygon,4,0.0,249.9848702700917,213.98712058544209
0,polygon,5,0.0,245.85035663634022,209.85220463605836
0,polygon,6,0.0,243.0323640303411,204.83127352746266
0,polygon,7,0.0,239.91939458380855,199.9205592125861
0,polygon,8,0.0,235.10387668223836,197.03727232470922
0,polygon,9,0.0,230.16864838482888,194.14318467358348
0,polygon,10,0.0,224.68394749261685,193.03330084336406
0,polygon,11,0.0,219.12260351385058,192.0020703512947
0,polygon,12,0.0,213.4976682837465,193.00668253701713
0,polygon,13,0.0,207.82205796147932,194.07801096747104
0,polygon,14,0.0,202.30552380440082,194.97522994194532
0,polygon,15,0.0,196.56061317964404,194.90166151805246
0,polygon,16,0.0,190.80247603392937,194.99997046763738
0,polygon,17,0.0,185.04303736217187,194.999999990717
0,polygon,18,0.0,179.29386795981785,194.9998566475981
0,polygon,19,0.0,173.56614872995416,194.5762887541642
0,polygon,20,0.0,168.19609576890463,192.95866436547487
0,polygon,21,0.0,162.5313715970522,193.0068862350897
0,polygon,22,0.0,156.91909857493917,191.996519228468
0,polygon,23,0.0,151.36862235286944,190.92065492863102
0,polygon,24,0.0,145.74825709349528,190.99998393906327
0,polygon,25,0.0,140.08316520367865,190.98783597448832
0,polygon,26,0.0,134.52703296768445,190.0019866777908
0,polygon,27,0.0,128.83910151972304,189.9991951827913
0,polygon,28,0.0,123.17716270796457,189.82054181485918
0,polygon,29,0.0,117.56269009995833,190.00636709758635
0,polygon,30,0.0,112.0158834080686,189.00336582836968
0,polygon,31,0.0,106.45444838560236,189.97008916605301
0,polygon,32,0.0,100.91254847933115,189.00121057783687
0,polygon,33,0.0,95.42239286647911,190.19611805590108
0,polygon,34,0.0,89.92944438167316,188.99981136008236
0,polygon,35,0.0,84.31984423042313,188.99996156763228
0,polygon,36,0.0,78.66856494539552,188.92864390696616
0,polygon,37,0.0,73.0464519419242,189.03161972926839
0,polygon,38,0.0,67.45668149670578,189.55131681363736
0,polygon,39,0.0,61.861875222257474,189.99976274967244
0,polygon,40,0.0,56.31238132913828,190.7171206871764
0,polygon,41,0.0,50.688021684680685,190.99983044343318
0,polygon,42,0.0,45.0864090144705,191.01232494692712
0,polygon,43,0.0,39.865967994236264,193.0723148047006
0,polygon,44,0.0,34.347049188531464,193.97656814894526
0,polygon,45,0.0,28.831630161010498,193.00148643080888
0,polygon,46,0.0,23.226893553846033,193.02485632747027
0,polygon,47,0.0,17.719283844906386,194.01405231368292
0,polygon,48,0.0,12.351927980806988,195.5729764514074
0,polygon,49,0.0,11.928387144077348,201.67862031596073
0,polygon,50,0.0,12.22043455370919,207.37354480378158
0,polygon,51,0.0,12.074410848893265,211.1701611289955
0,polygon,52,0.0,12.512481963341024,215.9889433879208
0,polygon,53,0.0,12.658505668156941,222.12193899018945
0,polygon,54,0.0,13.242600487420624,227.37879236356252
0,polygon,55,0.0,15.286932354843493,227.37879236356252
0,polygon,56,0.0,18.49945386079372,227.67083977319436
0,polygon,57,0.0,22.296070186007626,227.0867449539307
0,polygon,58,0.0,26.822805035301123,226.79469754429886
0,polygon,59,0.0,31.057492474962785,226.79469754429886
0,polygon,60,0.0,37.33651178204732,226.64867383948294
0,polygon,61,0.0,44.637697022843284,227.37879236356252
0,polygon,62,0.0,49.89455039621639,228.6930057069058
0,polygon,63,0.0,54.85935858810255,228.9850531165376
0,polygon,64,0.0,63.766804581873636,229.56914793580128
0,polygon,65,0.0,73.25834539490839,229.42312423098537
0,polygon,66,0.0,84.35614696091827,229.7151716406172
0,polygon,67,0.0,92.82552184024159,230.5913138695127
0,polygon,68,0.0,101.87899153882859,231.32143239359232
0,polygon,69,0.0,109.03415307480864,231.7595035080401
0,polygon,70,0.0,116.18931683893359,232.78166944175155
0,polygon,71,0.0,124.95073912788875,232.63564573693563
0,polygon,72,0.0,134.58830364573942,233.2197405561993
0,polygon,73,0.0,141.8894888865354,233.803835375463
0,polygon,74,0.0,148.7526030128836,234.97202501399033
0,polygon,75,0.0,156.05378825367958,235.556119833254
0,polygon,76,0.0,164.2311157233711,237.01635688141323
0,polygon,77,0.0,172.11639578343073,238.76864133920424
0,polygon,78,0.0,179.27155731941076,241.5430917307067
0,polygon,79,0.0,184.38238698796795,243.5874235981296
0,polygon,80,0.0,188.32502701799777,245.777788082948
0,polygon,81,0.0,193.1438092769231,249.13633329371416
0,polygon,82,0.0,197.96259153584847,251.9107836852166
0,polygon,83,0.0,201.75920786106235,255.99944742006238
0,polygon,84,0.0,205.26377677664442,259.3579926308285
0,polygon,85,0.0,211.68881978854486,258.3358266971171
0,polygon,86,0.0,215.77748352339063,257.31366076340566
0,polygon,87,0.0,219.4280761437886,256.14547112487827
0,polygon,88,0.0,223.80878728826622,254.831257781535
0,polygon,89,0.0,228.77359325200746,253.37102073337576
0,polygon,90,0.0,232.8622569868532,250.45054663705739
0,polygon,91,0.0,236.6588733120671,246.94597772147534
0,polygon,92,0.0,240.3094659324651,242.2732191673659
0,polygon,93,0.0,246.15041412510186,238.76865025178384
1,polygon,0,1.0,253.00372930626745,236.14910917137246
1,polygon,1,1.0,256.0026275853218,231.39855640274675
1,polygon,2,1.0,256.00014655531396,225.68947859297296
