index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,0.0,302.0,224.0
0,polygon,1,0.0,303.9901254458981,229.06606606606607
0,polygon,2,0.0,304.00727392334574,234.49797845893943
0,polygon,3,0.0,302.98644055964775,239.8048318077326
0,polygon,4,0.0,300.95283053481387,244.76408476091567
0,polygon,5,0.0,300.00767229588155,250.05503767957237
0,polygon,6,0.0,297.9982010891191,255.0037204957584
0,polygon,7,0.0,294.75892774582206,259.207850215563
0,polygon,8,0.0,293.0225118209812,264.35780391387226
0,polygon,9,0.0,294.4934251315589,269.5797229311288
0,polygon,10,0.0,297.860355319358,273.88327257628913
0,polygon,11,0.0,301.8120338808045,277.7094332854724
0,polygon,12,0.0,305.0206645988847,282.02142831493916
0,polygon,13,0.0,308.24601441601817,286.23414819130903
0,polygon,14,0.0,311.5548982829472,290.5288264161375
0,polygon,15,0.0,315.37118101067483,294.3714973981087
0,polygon,16,0.0,319.1286267625156,298.1577649650723
0,polygon,17,0.0,324.47385548838133,298.64493256809357
0,polygon,18,0.0,328.3543634656269,294.9778203939093
0,polygon,19,0.0,332.7728597849139,292.0609222132425
0,polygon,20,0.0,337.5276559277244,289.46542893678685
0,polygon,21,0.0,342.2835268089184,286.95011258394817
0,polygon,22,0.0,347.174778148755,284.92121784245046
0,polygon,23,0.0,352.45541721817176,283.89350913242373
0,polygon,24,0.0,357.6688693988437,282.92844053499624
0,polygon,25,0.0,363.06417218688034,283.0008474423681
0,polygon,26,0.0,368.35570431497257,282.0287938762828
0,polygon,27,0.0,373.6549969133972,281.99997240198417
0,polygon,28,0.0,378.9404975591132,282.0000000056559
0,polygon,29,0.0,384.2988310146131,282.0000000330692
0,polygon,30,0.0,389.59258555639497,281.99996024811503
0,polygon,31,0.0,394.90030106630314,282.0141347962838
0,polygon,32,0.0,400.0981817862438,282.9989995820159
0,polygon,33,0.0,405.42942575946995,282.993634119482
0,polygon,34,0.0,410.6717554147597,283.87421445026115
0,polygon,35,0.0,415.64839619816894,285.6718780125574
0,polygon,36,0.0,420.9300481352434,285.9609203282666
0,polygon,37,0.0,426.14085509138005,286.97188602903844
0,polygon,38,0.0,431.3538136569956,287.99940242039577
0,polygon,39,0.0,436.5503979438679,289.0936743362842
0,polygon,40,0.0,441.84680176769785,289.00005753932237
0,polygon,41,0.0,447.1504892430495,289.1176217821622
0,polygon,42,0.0,452.32264633081166,290.29446451186305
0,polygon,43,0.0,457.48043923510176,291.4703523040535
0,polygon,44,0.0,462.5620026146332,292.97600723871835
0,polygon,45,0.0,467.84083085458064,292.9251542441773
0,polygon,46,0.0,473.02137460477536,294.0141127809704
0,polygon,47,0.0,478.21802140967014,295.00046758440413
0,polygon,48,0.0,483.499484356861,294.99999927141647
0,polygon,49,0.0,485.85079631058534,285.3367685645436
0,polygon,50,0.0,487.77994209118606,275.69103966153995
0,polygon,51,0.0,489.5161732937267,265.5630243133861
0,polygon,52,0.0,490.19137431693696,257.74998390195316
0,polygon,53,0.0,485.5614244434952,254.85626523105205
0,polygon,54,0.0,481.89604746035366,252.6377475833612
0,polygon,55,0.0,476.49443927467166,249.64757162343005
0,polygon,56,0.0,471.4786602451097,247.23613939767915
0,polygon,57,0.0,464.14790627882695,244.245963437748
0,polygon,58,0.0,456.72069502351417,241.35224476684692
0,polygon,59,0.0,448.61828274499106,238.36206880691577
0,polygon,60,0.0,443.3131318483391,236.33646573728504
0,polygon,61,0.0,437.1398653504167,234.50377724571433
0,polygon,62,0.0,431.6417763265618,232.57463146511358
0,polygon,63,0.0,423.92519320415886,230.45257110645278
0,polygon,64,0.0,416.401524659816,228.42696803682202
0,polygon,65,0.0,409.4565998496534,226.40136496719128
0,polygon,66,0.0,402.6081323285208,224.47221918659054
0,polygon,67,0.0,396.0490366744783,223.12181714017004
0,polygon,68,0.0,388.6218254191655,220.9032994924792
0,polygon,69,0.0,380.2300412735523,218.00958082157808
0,polygon,70,0.0,373.09220188532953,215.115862150677
0,polygon,71,0.0,367.1118499654673,212.51151534686602
0,polygon,72,0.0,361.32441262366507,210.1000831211151
0,polygon,73,0.0,353.8972013683524,206.1453342708836
0,polygon,74,0.0,345.21604535564916,204.21618849028286
0,polygon,75,0.0,339.0427788577268,204.602017646403
0,polygon,76,0.0,332.2907686256242,205.3736759586433
0,polygon,77,0.0,325.4423011044916,206.4347061379737
0,polygon,78,0.0,317.43634611499857,207.206364450214
0,polygon,79,0.0,312.2276525073766,209.42488209790486
0,polygon,80,0.0,308.8516473913253,212.7044299249261
0,polygon,81,0.0,306.4402151655744,216.1768923300074
0,polygon,82,0.0,304.1252402288535,219.45644015702865
1,polygon,0,1.0,303.27534729019635,226.09617488469968
1,polygon,1,1.0,305.1112276160851,231.22015459827895
1,polygon,2,1.0,304.9639618996807,236.65009742697447
1,polygon,3,1.0,303.7829750171799,241.92362216906085
1,polygon,4,1.0,301.600196204588,246.8190523076758
1,polygon,5,1.0,300.4953310311735,252.07897434442117
1,polygon,6,1.0,298.3369999013213,256.9645697922589
1,polygon,7,1.0,294.9719652630645,261.06873114104513
1,polygon,8,1.0,293.08047250117437,266.1637697562558
1,polygon,9,1.0,294.3926614027739,271.4278161538989
1,polygon,10,1.0,297.62779459135174,275.83130019384214
1,polygon,11,1.0,301.46185726701816,279.7753124433864
1,polygon,12,1.0,304.53850789533766,284.18244678788005
1,polygon,13,1.0,307.63487469926594,288.49085749429787
1,polygon,14,1.0,310.8122566695579,292.8837173047747
1,polygon,15,1.0,314.51048582985663,296.8401342711158
1,polygon,16,1.0,318.1516121181117,300.7383928592093
1,polygon,17,1.0,323.4796469843134,301.3871199742534
1,polygon,18,1.0,327.46936870323947,297.8391382289443
1,polygon,19,1.0,331.9741257487917,295.0573099307782
1,polygon,20,1.0,336.80530066238254,292.60691799027086
1,polygon,21,1.0,341.63512312702596,290.23669876971934
1,polygon,22,1.0,346.5855416251251,288.356775836403
1,polygon,23,1.0,351.89486680965825,287.48936574942155
1,polygon,24,1.0,357.13513997398985,286.6825335481058
1,polygon,25,1.0,362.5257794197918,286.918205566376
1,polygon,26,1.0,367.84430817206294,286.1067548228087
1,polygon,27,1.0,373.14204526882963,286.2383389200279
1,polygon,28,1.0,378.42512356372833,286.39834144062104
1,polygon,29,1.0,383.7810021352097,286.56052081007505
1,polygon,30,1.0,389.07233258434394,286.7207057915291
1,polygon,31,1.0,394.37718738380926,286.89552114704804
1,polygon,32,1.0,399.5428780740717,288.03725768296255
1,polygon,33,1.0,404.8718419700829,288.19325411002876
1,polygon,34,1.0,410.0851175833081,289.2320992930261
1,polygon,35,1.0,415.00506891876023,291.17956601343053
1,polygon,36,1.0,420.2755527320824,291.6283343480774
1,polygon,37,1.0,425.45337374659107,292.7965510762455
1,polygon,38,1.0,430.6328444492103,293.98137603464284
1,polygon,39,1.0,435.7939279020395,295.23243033778203
1,polygon,40,1.0,441.0907386915513,295.29916136404427
1,polygon,41,1.0,446.38843803177815,295.57719713144786
1,polygon,42,1.0,451.5226063264243,296.91004508721363
1,polygon,43,1.0,456.64244592130444,298.24150378580896
1,polygon,44,1.0,461.6761099356119,299.9002713263466
1,polygon,45,1.0,466.95405887203225,300.00921460727795
1,polygon,46,1.0,472.09926995576376,301.2544724706872
1,polygon,47,1.0,477.2636821982958,302.3976609950633
1,polygon,48,1.0,482.54273965429866,302.5570456181837
1,polygon,49,1.0,485.1854489641095,292.96940862558654
1,polygon,50,1.0,487.40565579055965,283.386487820277
1,polygon,51,1.0,489.4476336649496,273.3156626285851
1,polygon,52,1.0,490.35900069466726,265.52663784819237
1,polygon,53,1.0,485.8187554617141,262.49411137649406
1,polygon,54,1.0,482.2222050657634,260.1656710764119
1,polygon,55,1.0,476.9135744991621,257.0133759172742
1,polygon,56,1.0,471.9730796315037,254.4512371397244
1,polygon,57,1.0,464.73618710901786,251.24055300647353
1,polygon,58,1.0,457.39996204003216,248.12336252231125
1,polygon,59,1.0,449.39176473519245,244.8893227994151
1,polygon,60,1.0,444.1503527793287,242.70407806692532
1,polygon,61,1.0,438.0353840459057,240.68538449167303
1,polygon,62,1.0,432.59820290739395,238.59071324681005
1,polygon,63,1.0,424.94938295538026,236.23606919888462
1,polygon,64,1.0,417.4904697502494,233.9836771461647
1,polygon,65,1.0,410.6100351318839,231.74880178567875
1,polygon,66,1.0,403.823094162607,229.61325897169263
1,polygon,67,1.0,397.3078757944787,228.0649530905889
1,polygon,68,1.0,389.9512145845534,225.62265429098616
1,polygon,69,1.0,381.65085853762537,222.4762693197673
1,polygon,70,1.0,374.6038727620222,219.367837181722
1,polygon,71,1.0,368.7050858138329,216.5836777215272
1,polygon,72,1.0,362.9932861638207,213.99818335433218
1,polygon,73,1.0,355.6891750305973,209.82044879443342
1,polygon,74,1.0,347.0703852032301,207.62943645503984
1,polygon,75,1.0,340.8882691495769,207.82824412905478
1,polygon,76,1.0,334.11599671433584,208.39518750201267
1,polygon,77,1.0,327.23855283518355,209.2484507196476
1,polygon,78,1.0,319.2129101286175,209.77744125943198
1,polygon,79,1.0,313.9394555274992,211.83729227859376
1,polygon,80,1.0,310.46573584870896,215.01315689889952
1,polygon,81,1.0,307.9503082504497,218.41104220185025
1,polygon,82,1.0,305.53713264739594,221.6190207579182
2,polygon,0,2.0,304.48169820580847,228.21206985660098
2,polygon,1,2.0,306.1276601468484,233.40017490226123
2,polygon,2,2.0,305.7805548431596,238.82101286537
2,polygon,3,2.0,304.4061889602389,244.0474754971985
2,polygon,4,2.0,302.0446325765255,248.85921229728453
2,polygon,5,2.0,300.74683765504693,254.07488437534388
2,polygon,6,2.0,298.41007450449587,258.87769335803813
2,polygon,7,2.0,294.8961998607809,262.85516535439416
2,polygon,8,2.0,292.8183820795482,267.87710090025337
2,polygon,9,2.0,293.9358502495796,273.18589446178754
2,polygon,10,2.0,297.00664599393235,277.70551523507567
2,polygon,11,2.0,300.69288357270966,281.7880293793626
2,polygon,12,2.0,303.60516982102416,286.30546239237265
2,polygon,13,2.0,306.540794041745,290.7249646985562
2,polygon,14,2.0,309.5542689332819,295.2318419520118
2,polygon,15,2.0,313.1043083496271,299.3217507866964
2,polygon,16,2.0,316.59942510552054,303.35143806108135
2,polygon,17,2.0,321.89995957852904,304.1959122795759
2,polygon,18,2.0,326.0176182225359,300.79724472434884
2,polygon,19,2.0,330.6217518893804,298.1831755022816
2,polygon,20,2.0,335.53987803139523,295.91233711986797
2,polygon,21,2.0,340.4537005497774,293.72156728912665
2,polygon,22,2.0,345.46998380143947,292.02520179766407
2,polygon,23,2.0,350.8076479542969,291.35387805652533
