index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,0.0,38.336603972123285,235.00226365218117
0,polygon,1,0.0,48.12815294172733,235.00226365218117
0,polygon,2,0.0,62.395838583150365,235.28202219416988
0,polygon,3,0.0,74.98497297264127,234.72250511019251
0,polygon,4,0.0,79.74086818644895,235.84153927814725
0,polygon,5,0.0,85.89555611020006,235.56178073615854
0,polygon,6,0.0,89.81217569804168,236.68081490411333
0,polygon,7,0.0,93.16927820190593,238.07960761405673
0,polygon,8,0.0,98.76444904167967,238.07960761405673
0,polygon,9,0.0,104.3596198814534,238.6391246980341
0,polygon,10,0.0,111.35358343117058,240.03791740797755
0,polygon,11,0.0,116.94875427094432,240.87719303394363
0,polygon,12,0.0,126.46054469855967,240.87719303394363
0,polygon,13,0.0,135.69257658418633,240.87719303394363
0,polygon,14,0.0,139.0496790880506,241.71646865990965
0,polygon,15,0.0,145.76388409577908,241.71646865990965
0,polygon,16,0.0,152.19833056151884,241.71646865990965
0,polygon,17,0.0,156.67446723333785,242.83550282786445
0,polygon,18,0.0,166.18625766095323,242.55574428587573
0,polygon,19,0.0,169.82311870680616,244.7938126217852
0,polygon,20,0.0,176.8170822565233,243.95453699581918
0,polygon,21,0.0,181.572977470331,245.07357116377392
0,polygon,22,0.0,190.2454922719803,246.19260533172866
0,polygon,23,0.0,196.9596972797088,247.3116394996834
0,polygon,24,0.0,203.39414374544856,249.82946637758158
0,polygon,25,0.0,208.9893145852223,251.22825908752503
0,polygon,26,0.0,212.06665854709786,254.5853615913893
0,polygon,27,0.0,215.9832781349395,257.10318846928743
0,polygon,28,0.0,220.1796562647698,260.7400495151404
0,polygon,29,0.0,223.53675876863406,262.9781178510499
0,polygon,30,0.0,228.29265398244172,262.9781178510499
0,polygon,31,0.0,233.60806628022675,263.53763493502726
0,polygon,32,0.0,237.80444441005704,261.85908368309515
0,polygon,33,0.0,240.8817883719326,259.6210153471856
0,polygon,34,0.0,245.07816650176295,257.38294701127614
0,polygon,35,0.0,250.6733373415367,254.02584450741188
0,polygon,36,0.0,255.42923255534436,250.94850054553632
0,polygon,37,0.0,260.46488631114073,248.99019075161556
0,polygon,38,0.0,265.2207815249484,247.5913980416721
0,polygon,39,0.0,270.5361938227334,248.4306736676382
0,polygon,40,0.0,274.7325719525638,248.4306736676382
0,polygon,41,0.0,277.5301573724506,243.3950199118418
0,polygon,42,0.0,281.16701841830354,234.4427465682038
0,polygon,43,0.0,281.7265355022809,231.0856440643396
0,polygon,44,0.0,281.16701841830354,224.93095614058848
0,polygon,45,0.0,279.48846716637144,217.37747550689392
0,polygon,46,0.0,276.13136466250717,209.54423633121067
0,polygon,47,0.0,271.9349865326769,203.38954840745956
0,polygon,48,0.0,267.45884986085787,196.67534339973105
0,polygon,49,0.0,261.0244033951181,189.6813798500139
0,polygon,50,0.0,254.31019838738962,185.4850017201836
0,polygon,51,0.0,246.75671775369506,182.40765775830803
0,polygon,52,0.0,236.6854102421023,179.88983088040985
0,polygon,53,0.0,228.012895440453,177.93152108648906
0,polygon,54,0.0,221.8582075167019,177.93152108648906
0,polygon,55,0.0,211.5071414631205,180.7291065063759
