index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,0.0,302.0,226.0
0,polygon,1,0.0,303.9994978534805,231.00300300300302
0,polygon,2,0.0,303.97924711621357,236.3672982291601
0,polygon,3,0.0,302.37461837023926,241.6080911628231
0,polygon,4,0.0,301.11642109325464,246.72822520011545
0,polygon,5,0.0,299.2425203207109,251.73047827358624
0,polygon,6,0.0,297.0528369284807,256.61756435937957
0,polygon,7,0.0,294.0067817059091,260.97695489837156
0,polygon,8,0.0,291.9678729993167,265.8543854113236
0,polygon,9,0.0,293.00759416253374,271.01132833355143
0,polygon,10,0.0,295.03978592273006,276.03405652507064
0,polygon,11,0.0,298.7969093992578,279.7971384765195
0,polygon,12,0.0,302.4853916697842,283.48488345170966
0,polygon,13,0.0,306.3401367081475,287.27949548115305
0,polygon,14,0.0,309.6211713232134,291.5250230823532
0,polygon,15,0.0,312.8388759541248,295.83980526454434
0,polygon,16,0.0,317.0493914626843,299.0188294618935
0,polygon,17,0.0,321.96844370723363,301.01321769561577
0,polygon,18,0.0,325.10754075445624,296.86700275109627
0,polygon,19,0.0,329.60791374156656,294.0559038752641
0,polygon,20,0.0,334.4253079615911,291.625707346702
0,polygon,21,0.0,339.37980193215157,289.6749553214615
0,polygon,22,0.0,344.44719645719255,288.12145070935276
0,polygon,23,0.0,349.4676706624816,286.53831782506273
0,polygon,24,0.0,354.43286437101585,284.89966574725236
0,polygon,25,0.0,359.586270337771,284.0236419229129
0,polygon,26,0.0,364.8897779505218,283.99999193591566
0,polygon,27,0.0,370.19014853538266,283.99999998842964
0,polygon,28,0.0,375.4662975547036,284.0000000000211
0,polygon,29,0.0,380.69821459400777,283.9999999989766
0,polygon,30,0.0,385.96647748341474,284.0000001426391
0,polygon,31,0.0,391.2376258927528,284.0009762822845
0,polygon,32,0.0,396.3909969620425,285.1078670110182
0,polygon,33,0.0,401.663636793265,284.893238967595
0,polygon,34,0.0,406.76059736227177,285.99218084304334
0,polygon,35,0.0,411.8924874369875,286.9940612242284
0,polygon,36,0.0,417.00566405583226,288.00355501161226
0,polygon,37,0.0,422.2394277028452,288.0135843188265
0,polygon,38,0.0,427.38526447406315,289.00181110324246
0,polygon,39,0.0,432.4940025581632,289.9728809736674
0,polygon,40,0.0,437.72489316737443,290.00196508563056
0,polygon,41,0.0,442.8453015024572,291.03122331007467
0,polygon,42,0.0,447.97778237599164,291.9853748177726
0,polygon,43,0.0,453.20262869502403,291.99682223051104
0,polygon,44,0.0,458.326050035615,292.96652135668677
0,polygon,45,0.0,463.42452675396385,293.9650097074883
0,polygon,46,0.0,468.5348828698589,294.96684335177366
0,polygon,47,0.0,473.63049048325496,295.9864450263231
0,polygon,48,0.0,478.7375746903749,295.02227526033465
0,polygon,49,0.0,482.2624365135891,289.24390153361446
0,polygon,50,0.0,484.1470750747396,280.9804863039546
