Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
71,"Meng, Z Li, H Ding, D Wang, L Dai…",… of Evaluating Dynamic Extrusion of Lateral Meniscus in Healthy Population: Different Patterns of Dynamic Extrusion Revealed Between Lateral and Medial Meniscus,0,2024, Wiley Online Library, Journal of Ultrasound in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jum.16507,0
29,"Nonaka, K Hatayama, H Kakiage, M Terauchi…",Posterior Displacement of Meniscal Ramp Lesion Is Observed on Flexed Knee Magnetic Resonance Imaging of Anterior Cruciate Ligament-Deficient Knees,1,2024, Elsevier, … : The Journal of …,https://www.sciencedirect.com/science/article/pii/S0749806323006059,1
3,"Van Oevelen, M Peiffer, A Chevalier, J Victor…",The relation between meniscal dynamics and tibiofemoral kinematics,0,2024, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-024-59265-3,0
42," Uusimaa, A Kemppainen…",Medial meniscus extrusion is associated with meniscus tears in US and MRI: A case control study,0,2024, Wiley Online Library, Journal of Clinical …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcu.23708,0
5,"Cance, A Rouchaud, A Chousta…",Dynamic Magnetic Resonance Imaging Protocol: An Effective and Useful Tool to Assess Discoid Lateral Meniscus Instability in Children,0,2024, journals.lww.com, Journal of Pediatric …,https://journals.lww.com/pedorthopaedics/fulltext/9900/dynamic_magnetic_resonance_imaging_protocol__an.582.aspx,0
50,"Severyns, F Zot, G Harik",Extrusion and meniscal mobility evaluation in case of ramp lesion injury: a biomechanical feasibility study by 7T magnetic resonance imaging and digital …,0,2024, frontiersin.org, … in Bioengineering and …,https://www.frontiersin.org/articles/10.3389/fbioe.2023.1289290/full,0
8," Broberg, DR Wilson",MR imaging methods to study meniscal position and mechanics,0,2024, Elsevier, Osteoarthritis Imaging,https://www.sciencedirect.com/science/article/pii/S2772654124000503,0
64,"Hashimoto, K Nishino, T Kinoshita, K Iida…",Age-based comparison of meniscal dimensions between an asymptomatic complete discoid lateral meniscus and normal meniscus: MRI evaluation,2,2024, Springer, Archives of Orthopaedic …,https://link.springer.com/article/10.1007/s00402-023-05084-6,2
60,"Yang, X Zhu, J Bao, J Zhang, A Xue, D Wang…",Medial meniscus posterior root tears and partial meniscectomy significantly increase stress in the knee joint during dynamic gait,7,2023, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-022-07285-9,4
46,"Ishii, M Ishikawa, Y Nakashima, T Hashizume…",Dynamic ultrasound reveals the specific behavior of the medial meniscus extrusion in patients with knee osteoarthritis,3,2023, Springer, BMC Musculoskeletal …,https://link.springer.com/article/10.1186/s12891-023-06361-6,2
