Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
83,"Van Oevelen, M Peiffer, A Chevalier, J Victor…",The relation between meniscal dynamics and tibiofemoral kinematics,0,2024, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-024-59265-3,0
23,"Conconi, F De Carli, M Berni, N Sancisi…",In-Vivo Quantification of Knee Deep-Flexion in Physiological Loading Condition trough Dynamic MRI,4,2023, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/13/1/629,2
99,G Oliveira,… biomechanics during motion and loading using a specialized MRI-safe device: A kinematic and EMG focused analysis to validate CINE-MRI techniques for the knee …,0,2023, repositorio.ul.pt,,https://repositorio.ul.pt/handle/10451/64416,0
41,"Siegel, P Maier, E Taghizadeh, A Fuchs…",Change in Descriptive Kinematic Parameters of Patients with Patellofemoral Instability When Compared to Individuals with Healthy Knees—A 3D MRI In Vivo …,7,2023, mdpi.com, Journal of Clinical …,https://www.mdpi.com/2077-0383/12/5/1917,4
16,"Dunning, SAW van de Groes, CF Buckens, M Prokop…",Fully automatic extraction of knee kinematics from dynamic CT imaging; normative tibiofemoral and patellofemoral kinematics of 100 healthy volunteers,7,2023, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016022002216,4
52,"Nishida, C Xu, T Gale, W Anderst…",Symmetry and sex differences in knee kinematics and ACL elongation in healthy collegiate athletes during high‐impact activities revealed through dynamic biplane …,12,2022, Wiley Online Library, Journal of Orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.25162,4
48," Petersen, S Rytter, D Koppens, J Dalsgaard…",Patients with knee osteoarthritis can be divided into subgroups based on tibiofemoral joint kinematics of gait–an exploratory and dynamic radiostereometric …,19,2022, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458421009420,6
68,"Dunning, SAW van de Groes, N Verdonschot…",The sensitivity of an anatomical coordinate system to anatomical variation and its effect on the description of knee kinematics as obtained from dynamic CT …,3,2022, Elsevier, Medical Engineering & …,https://www.sciencedirect.com/science/article/pii/S1350453322000315,1
36,"Buzzatti, B Keelson, J Vanlauwe, N Buls…",Evaluating lower limb kinematics and pathology with dynamic CT: a narrative review,11,2021, boneandjoint.org.uk, The Bone & Joint …,https://boneandjoint.org.uk/article/10.1302/0301-620X.103B5.BJJ-2020-1064.R2,3
40,"Tashman, P Zandiyeh, JJ Irrgang, V Musahl…",Anatomic single-and double-bundle ACL reconstruction both restore dynamic knee function: a randomized clinical trial—part II: knee kinematics,29,2021, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-021-06479-x,7
59,"Yamamoto, H Taneichi, Y Seo…",MRI-based kinematics of the menisci through full knee range of motion,6,2021, journals.sagepub.com, Journal of …,https://journals.sagepub.com/doi/abs/10.1177/23094990211017349,2
60," Lansdown, CB Ma",Clinical utility of advanced imaging of the knee,12,2020, Wiley Online Library, Journal of Orthopaedic Research®,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.24462,2
8,"Conconi, N Sancisi…",Prediction of individual knee kinematics from an MRI representation of the articular surfaces,11,2020, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9172123/,2
71,"Nardini, C Belvedere, N Sancisi, M Conconi…",An anatomical-based subject-specific model of in-vivo knee joint 3D kinematics from medical imaging,33,2020, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/10/6/2100,7
51,"Garetier, B Borotikar, K Makki, S Brochard…","Dynamic MRI for articulating joint evaluation on 1.5 T and 3.0 T scanners: setup, protocols, and real-time sequences",28,2020, Springer, Insights into …,https://link.springer.com/article/10.1186/s13244-020-00868-5,6
35,"Makki, B Borotikar, M Garetier, S Brochard…",In vivo ankle joint kinematics from dynamic magnetic resonance imaging using a registration-based framework,23,2019, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929019301356,4
55,"Barzan, L Modenese, CP Carty, S Maine…",Development and validation of subject-specific pediatric multibody knee kinematic models with ligamentous constraints,27,2019, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929019304415,4
43," Smale, M Conconi, N Sancisi, M Krogsgaard…",Effect of implementing magnetic resonance imaging for patient-specific OpenSim models on lower-body kinematics and knee ligament lengths,31,2019, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929018308510,5
56," Nielsen, K Stent",Influence of the anterolateral ligament on knee laxity: a biomechanical cadaveric study measuring knee kinematics in 6 degrees of freedom using dynamic …,37,2018, journals.sagepub.com, … journal of sports …,https://journals.sagepub.com/doi/abs/10.1177/2325967118789699,5
91," Scarvell, CR Galvin, DM Perriman, JT Lynch…",Kinematics of knees with osteoarthritis show reduced lateral femoral roll-back and maintain an adducted position. A systematic review of research using …,12,2018, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929018303555,2
64,"Guenoun, J Vaccaro, T Le Corroller…",A dynamic study of the anterior cruciate ligament of the knee using an open MRI,20,2017, Springer, Surgical and Radiologic …,https://link.springer.com/article/10.1007/s00276-016-1730-x,2
46,"Mazzoli, J Schoormans, M Froeling…",Accelerated 4D self‐gated MRI of tibiofemoral kinematics,16,2017, Wiley Online Library, NMR in …,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/nbm.3791,2
96," Chang, JS Chmiel, O Almagor, A Guermazi…",Association of baseline knee sagittal dynamic joint stiffness during gait and 2-year patellofemoral cartilage damage worsening in knee osteoarthritis,33,2017, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458416303120,4
100," Lansdown, V Pedoia, M Zaid, K Amano…",Variations in knee kinematics after ACL injury and after reconstruction are correlated with bone shape differences,44,2017, Springer, … and Related Research®,https://link.springer.com/article/10.1007/s11999-017-5368-8,6
