Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
22," Peterfy, A Guermazi, S Zaim, PFJ Tirman…",Whole-organ magnetic resonance imaging score (WORMS) of the knee in osteoarthritis,1648,2004, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458403002917,78
9," Hunter, A Guermazi, GH Lo, AJ Grainger…",Evolution of semi-quantitative whole joint assessment of knee OA: MOAKS (MRI Osteoarthritis Knee Score),929,2011, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458411001531,66
20," Peterfy, E Schneider, M Nevitt",The osteoarthritis initiative: report on the design rationale for the magnetic resonance imaging protocol for the knee,694,2008, Elsevier, Osteoarthritis and cartilage,https://www.sciencedirect.com/science/article/pii/S1063458408002239,41
48,"Li, CB Ma, TM Link, DD Castillo…",In vivo T1ρ and T2 mapping of articular cartilage in osteoarthritis of the knee using 3 T MRI,600,2007, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458407000313,33
16," Hunter, GH Lo, D Gale, AJ Grainger…",The reliability of a new scoring system for knee osteoarthritis MRI and the validity of bone marrow lesion assessment: BLOKS (Boston–Leeds Osteoarthritis Knee …,583,2008, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/67/2/206.short,34
14,"Guermazi, J Niu, D Hayashi, FW Roemer, M Englund…",Prevalence of abnormalities in knees detected by MRI in adults without knee osteoarthritis: population based observational study (Framingham Osteoarthritis Study),582,2012, bmj.com, Bmj,https://www.bmj.com/content/345/bmj.e5339.short,45
1,"Eckstein, F Cicuttini, JP Raynauld, JC Waterton…",Magnetic resonance imaging (MRI) of articular cartilage in knee osteoarthritis (OA): morphological assessment,528,2006, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458406000653,28
24," Braun, GE Gold",Diagnosis of osteoarthritis: imaging,507,2012, Elsevier, Bone,https://www.sciencedirect.com/science/article/pii/S8756328211013585,39
31,"Yusuf, MC Kortekaas, I Watt, TWJ Huizinga…",Do knee abnormalities visualised on MRI explain knee pain in knee osteoarthritis? A systematic review,451,2011, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/70/1/60.short,32
17,"Eckstein, D Burstein, TM Link",Quantitative MRI of cartilage and bone: degenerative changes in osteoarthritis,421,2006, Wiley Online Library, NMR in Biomedicine: An …,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/nbm.1063,22
50," Roemer, A Guermazi, DT Felson, J Niu…",Presence of MRI-detected joint effusion and synovitis increases the risk of cartilage loss in knees without osteoarthritis at 30-month follow-up: the MOST study,414,2011, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/70/10/1804.short,30
47," Kornaat, RYT Ceulemans, HM Kroon, N Riyazi…",MRI assessment of knee osteoarthritis: Knee Osteoarthritis Scoring System (KOSS)—inter-observer and intra-observer reproducibility of a compartment-based …,382,2005, Springer, Skeletal radiology,https://link.springer.com/article/10.1007/s00256-004-0828-0,19
53," Roemer, A Guermazi, MK Javaid…",Change in MRI-detected subchondral bone marrow lesions is associated with cartilage loss: the MOST Study. A longitudinal multicentre study of knee osteoarthritis,350,2009, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/68/9/1461.short,22
94,"Pierre Raynauld, J Martel‐Pelletier…",Quantitative magnetic resonance imaging evaluation of knee osteoarthritis progression over two years and correlation with clinical symptoms and radiologic changes,345,2004, Wiley Online Library, … : Official Journal of …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.20000,16
89,"Burgkart, C Glaser, A Hyhlik‐Dürr…","Magnetic resonance imaging–based assessment of cartilage loss in severe osteoarthritis: accuracy, precision, and diagnostic value",321,2001, Wiley Online Library, … : Official Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/1529-0131(200109)44:9%3C2072::AID-ART357%3E3.0.CO;2-3,13
93,"Atukorala, CK Kwoh, A Guermazi…",Synovitis in knee osteoarthritis: a precursor of disease?,319,2016, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/75/2/390.short,35
2," W Zhang, OARSI OA Imaging Working Group",Definition of osteoarthritis on MRI: results of a Delphi exercise,285,2011, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458411001464,20
40," O'Neill, DT Felson",Mechanisms of osteoarthritis (OA) pain,281,2018, Springer, Current osteoporosis reports,https://link.springer.com/article/10.1007/s11914-018-0477-1,40
28,"Eckstein, G Ateshian, R Burgkart, D Burstein…",Proposal for a nomenclature for magnetic resonance imaging based measures of articular cartilage in osteoarthritis,274,2006, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458406000525,14
19,"Guermazi, H Alizai, MD Crema, S Trattnig…",Compositional MRI techniques for evaluation of cartilage degeneration in osteoarthritis,260,2015, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458415011838,26
4," Hunter, W Zhang, PG Conaghan, K Hirko…",Systematic review of the concurrent and predictive validity of MRI biomarkers in OA,258,2011, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458411000707,18
81," Culvenor, BE Øiestad, HF Hart…",Prevalence of knee osteoarthritis features on magnetic resonance imaging in asymptomatic uninjured adults: a systematic review and meta-analysis,254,2019, bjsm.bmj.com, British journal of sports …,https://bjsm.bmj.com/content/53/20/1268?fbclid=IwAR04sQTo1uiL1sx3E3NlMltlUPd8CanJc2DjMUrGEwWUdSp3-R7m1LqcaEw,42
85," Conaghan, DJ Hunter, JF Maillefert…",Summary and recommendations of the OARSI FDA osteoarthritis Assessment of Structural Change Working Group,241,2011, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458411000756,17
100," Roemer, MK Javaid, A Guermazi, M Thomas…",Anatomical distribution of synovitis in knee osteoarthritis and its association with joint effusion assessed on non-enhanced and contrast-enhanced MRI,225,2010, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458410002438,15
25," Matzat, J van Tiel, GE Gold…",Quantitative MRI techniques of cartilage composition,224,2013, ncbi.nlm.nih.gov, Quantitative imaging in …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3701096/,19
49," Culvenor, NJ Collins, A Guermazi…",Early knee osteoarthritis is evident one year following anterior cruciate ligament reconstruction: a magnetic resonance imaging evaluation,218,2015, Wiley Online Library, Arthritis & …,https://onlinelibrary.wiley.com/doi/pdf/10.1002/art.39005,22
