Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
2," Kwong, JW Belliveau, DA Chesler…",Dynamic magnetic resonance imaging of human brain activity during primary sensory stimulation.,5563,1992, National Acad Sciences, Proceedings of the …,https://www.pnas.org/doi/abs/10.1073/pnas.89.12.5675,169
17," Choyke, AJ Dwyer, MV Knopp",Functional tumor imaging with dynamic contrast‐enhanced magnetic resonance imaging,556,2003, Wiley Online Library, … of Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.10304,25
55,Hylton,Dynamic contrast-enhanced magnetic resonance imaging as an imaging biomarker,491,2006, pfeifer.phas.ubc.ca, J Clin Oncol,http://pfeifer.phas.ubc.ca/refbase/files/Hylton-notfound-2006-24-3293.pdf,26
74," Yankeelov, JC Gore","Dynamic contrast enhanced magnetic resonance imaging in oncology: theory, data acquisition, analysis, and examples",481,2007, ingentaconnect.com, Current Medical Imaging,https://www.ingentaconnect.com/content/ben/cmir/2007/00000003/00000002/art00003,27
31," Blamire, S Ogawa, K Ugurbil…",Dynamic mapping of the human visual cortex by high-speed magnetic resonance imaging.,468,1992, National Acad Sciences, Proceedings of the …,https://www.pnas.org/doi/abs/10.1073/pnas.89.22.11069,14
4,"Braun, M Bollow, U Eggens, H König…",Use of dynamic magnetic resonance imaging with fast imaging in the detection of early and advanced sacroiliitis in spondylarthropathy patients,465,1994, Wiley Online Library, … : Official Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.1780370709,15
28,"Szkudlarek, M Court‐Payen…",… for assessment of synovitis in the metacarpophalangeal joints of patients with rheumatoid arthritis: a comparison with dynamic magnetic resonance imaging,396,2001, Wiley Online Library, … : Official Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/1529-0131(200109)44:9%3C2018::AID-ART350%3E3.0.CO;2-C,16
9," Galbraith, RJ Maxwell, MA Lodge…",Combretastatin A4 phosphate has tumor antivascular activity in rat and man as demonstrated by dynamic magnetic resonance imaging,390,2003, pfeifer.phas.ubc.ca, Journal of clinical …,http://pfeifer.phas.ubc.ca/refbase/files/Galbraith-JCO-2003-21-15-2831.pdf,18
15,W A,Early changes in functional dynamic magnetic resonance imaging predict for pathologic response to neoadjuvant chemotherapy in primary breast cancer,329,2008, AACR, Clinical Cancer …,https://aacrjournals.org/clincancerres/article-abstract/14/20/6580/73237,19
18," Comiter, SP Vasavada, ZL Barbaric, AE Gousse…",Grading pelvic prolapse and pelvic floor relaxation using dynamic magnetic resonance imaging,319,1999, Elsevier, Urology,https://www.sciencedirect.com/science/article/pii/S009042959900165X,12
34,"Braun, M Bollow, F Seyrekbasan…",… injection of the sacroiliac joint in patients with spondyloarthropathy with sacroiliitis: clinical outcome and followup by dynamic magnetic resonance imaging.,304,1996, europepmc.org, The Journal of …,https://europepmc.org/article/med/8730123,10
13," Covarrubias, BR Rosen, MH Lev",Dynamic magnetic resonance perfusion imaging of brain tumors,295,2004, academic.oup.com, The oncologist,https://academic.oup.com/oncolo/article-abstract/9/5/528/6387984,14
1," Liang, PC Lauterbur",An efficient method for dynamic magnetic resonance imaging,277,1994, ieeexplore.ieee.org, … Transactions on medical imaging,https://ieeexplore.ieee.org/abstract/document/363100/,9
7,"A Gilhuijs, ML Giger, U Bick",Computerized analysis of breast lesions in three dimensions using dynamic magnetic‐resonance imaging,253,1998, Wiley Online Library, Medical physics,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1118/1.598345,9
32," Knopp, FL Giesel, H Marcos…",Dynamic contrast-enhanced magnetic resonance imaging in oncology,209,2001, journals.lww.com, … Magnetic Resonance …,https://journals.lww.com/topicsinmri/fulltext/2001/08000/dynamic_contrast_enhanced_magnetic_resonance.6.aspx,9
