Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
91,"Atkinson, T Tompkins, J Polus…",QUANTITATIVE MRI R2* MAPPING OF SYNOVIAL RESPONSE TO ACUTE KNEE JOINT LOADING IN PATIENTS WITH END-STAGE KNEE OSTEOARTHRITIS,0,2024, oarsijournal.com, Osteoarthritis and …,https://www.oarsijournal.com/article/S1063-4584(24)00644-7/abstract,0
78," Atkinson, TB Birmingham, CA Primeau, AA Gatti…",Effect of functional knee loading on articular cartilage MRI T2 relaxation time and thickness in patients at risk for knee osteoarthritis,0,2024, Elsevier, Osteoarthritis …,https://www.sciencedirect.com/science/article/pii/S2772654124000011,0
40,"Shimozaki, J Nakase, T Kanayama…",… of the medial meniscus under a weight-loading condition in early knee osteoarthritis: an investigation using special upright magnetic resonance imaging,1,2023, Springer, BMC Musculoskeletal …,https://link.springer.com/article/10.1186/s12891-023-06807-x,0
26,"Conconi, F De Carli, M Berni, N Sancisi…",In-Vivo Quantification of Knee Deep-Flexion in Physiological Loading Condition trough Dynamic MRI,1,2023, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/13/1/629,0
36," Jogi, R Thaha, S Rajan, V Mahajan…",Device for assessing knee joint dynamics during magnetic resonance imaging,5,2022, Wiley Online Library, … Resonance Imaging,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.27877,2
30,Par,A Magnetic Resonance Imaging–Compatible Device to Perform In Vivo Anterior Knee Joint Loading,2,2021, journals.humankinetics.com, Journal of Sport …,https://journals.humankinetics.com/view/journals/jsr/aop/article-10.1123-jsr.2020-0367/article-10.1123-jsr.2020-0367.xml,0
68,"Krakowski, R Karpiński, M Jojczuk, A Nogalska…",Knee MRI underestimates the grade of cartilage lesions,28,2021, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/11/4/1552,7
39,"Said, J Schock, DB Abrar, P Schad, C Kuhl, T Nolte…",In–Situ Cartilage Functionality Assessment Based on Advanced MRI Techniques and Precise Compartmental Knee Joint Loading through Varus and Valgus …,1,2021, mdpi.com, Diagnostics,https://www.mdpi.com/2075-4418/11/8/1476,0
86," Winkelmeyer, J Schock, LM Wollschläger, P Schad…",Seeing beyond morphology-standardized stress MRI to assess human knee joint instability,3,2021, mdpi.com, Diagnostics,https://www.mdpi.com/2075-4418/11/6/1035,1
20,"Liu, X Shen, Q Ji, J Xiao, J Zuo, Z Gao",The MRI-based 3D morphologic changes of knee meniscus under knee weight-bearing and early flexion conditions,7,2021, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-021-01531-9,2
73," Atkinson, TB Birmingham, CA Primeau…",Association between changes in knee load and effusion-synovitis: evidence of mechano-inflammation in knee osteoarthritis using high tibial osteotomy as a …,23,2021, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458420312036,6
1,"Jerban, EY Chang, J Du",Magnetic resonance imaging (MRI) studies of knee joint under mechanical loading,48,2020, Elsevier, Magnetic resonance imaging,https://www.sciencedirect.com/science/article/pii/S0730725X19302887,10
88," Schröder, CE Post, FCBM Wagenaar…",MRI as diagnostic modality for analyzing the problematic knee Arthroplasty: a systematic review,20,2020, Wiley Online Library, … Resonance Imaging,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.26874,4
7,"Said, J Schock, N Krämer, J Thüring…",An MRI-compatible varus–valgus loading device for whole-knee joint functionality assessment based on compartmental compression: A proof-of-concept …,10,2020, Springer, … Resonance Materials in …,https://link.springer.com/article/10.1007/s10334-020-00844-6,2
12,"Schad, M Wollenweber, J Thüring, J Schock…",Magnetic resonance imaging of human knee joint functionality under variable compressive in-situ loading and axis alignment,12,2020, Elsevier, journal of the …,https://www.sciencedirect.com/science/article/pii/S1751616120304446,2
74,"Liu, NE Lane, D Hunter, D Xing, Z Li, J Lin…",Co-existing patterns of MRI lesions were differentially associated with knee pain at rest and on joint loading: a within-person knee-matched case-controls …,2,2020, Springer, BMC musculoskeletal …,https://link.springer.com/article/10.1186/s12891-020-03686-4,0
70,"Waldenmeier, C Evers, M Uder, R Janka…",Using cartilage MRI T2-mapping to analyze early cartilage degeneration in the knee joint of young professional soccer players,39,2019, journals.sagepub.com, Cartilage,https://journals.sagepub.com/doi/abs/10.1177/1947603518756986,6
50,"Bricca, C Juhl, M Steultjens, W Wirth, E Roos","8 Impact of knee joint loading exercise on MRI-assessed articular cartilage, in knee osteoarthritis: a systematic review of randomised controlled trials",3,2018, bjsm.bmj.com,,https://bjsm.bmj.com/content/52/Suppl_1/A3.3.abstract,0
75,"Achtnich, W Petersen, L Willinger, A Sauter…",Medial meniscus extrusion increases with age and BMI and is depending on different loading conditions,84,2018, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-018-4885-7,12
49,"Bricca, CB Juhl, M Steultjens, W Wirth…","Impact of knee joint loading exercise on MRI-assessed articular cartilage in people at risk of, or with established, knee osteoarthritis: a systematic review of …",1,2018, oarsijournal.com, Osteoarthritis and …,https://www.oarsijournal.com/article/S1063-4584(18)30730-1/abstract,0
2,"Bruno, A Barile, F Arrigoni, A Laporta…",Weight-bearing MRI of the knee: a review of advantages and limits,53,2018, ncbi.nlm.nih.gov, Acta Bio Medica …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6179065/,8
14,"Nebelung, M Post, S Raith, H Fischer…",Functional in situ assessment of human articular cartilage using MRI: a whole-knee joint loading device,24,2017, Springer, … and Modeling in …,https://link.springer.com/article/10.1007/s10237-017-0932-4,3
41,"Chen, L Qiu, S Shen, F Wang, J Zhang, C Zhang…","The influences of walking, running and stair activity on knee articular cartilage: Quantitative MRI using T1 rho and T2 mapping",54,2017, journals.plos.org, PLoS …,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0187008,7
63,"Mahmoudian, JH van Dieёn, SM Bruijn, IAC Baert…",Dynamic and static knee alignment at baseline predict structural abnormalities on MRI associated with medial compartment knee osteoarthritis after 2 years,17,2017, Elsevier, Gait & Posture,https://www.sciencedirect.com/science/article/pii/S0966636217302060,2
53," Räsänen, P Tanska, ME Mononen…",Spatial variation of fixed charge density in knee joint cartilage from sodium MRI–Implication on knee joint mechanics under static loading,26,2016, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929016309861,3
72,E de Lang,Radiographic progression of knee osteoarthritis is associated with MRI abnormalities in both the patellofemoral and tibiofemoral joint,27,2016, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458415013497,3
13,"Patel, M Eltgroth, RB Souza, CA Zhang…",Loaded versus unloaded magnetic resonance imaging (MRI) of the knee: effect on meniscus extrusion in healthy volunteers and patients with osteoarthritis,65,2016, Elsevier, European journal of …,https://www.sciencedirect.com/science/article/pii/S2352047716300132,7
58,"Beckwee, P Vaes, M Shahabpour…",The influence of joint loading on bone marrow lesions in the knee: a systematic review with meta-analysis,52,2015, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546514565092,5
33,"Horng, JG Raya, M Stockinger, M Notohamiprodjo…",Topographic deformation patterns of knee cartilage after exercises with high knee flexion: an in vivo 3D MRI study using voxel-based analysis at 3T,19,2015, Springer, European …,https://link.springer.com/article/10.1007/s00330-014-3545-7,2
98,"Hesper, FR Miese, HS Hosalkar, M Behringer…",Quantitative T2* assessment of knee joint cartilage after running a marathon,39,2015, Elsevier, European journal of …,https://www.sciencedirect.com/science/article/pii/S0720048X14005282,4
51,"Al Hares, J Eschweiler…",Combined magnetic resonance imaging approach for the assessment of in vivo knee joint kinematics under full weight-bearing conditions,12,2015, journals.sagepub.com, Proceedings of the …,https://journals.sagepub.com/doi/abs/10.1177/0954411915585863,1
8,"Wang, MF Koff, HG Potter, RF Warren…",An MRI-compatible loading device to assess knee joint cartilage deformation: Effect of preloading and inter-test repeatability,32,2015, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929015004455,3
18,"Hamada, T Nishii, S Tamura, H Tanaka…",Comparison of load responsiveness of cartilage T1rho and T2 in porcine knee joints: an experimental loading MRI study,26,2015, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458415011760,3
6,"Lange, J Maclaren, M Herbst…",Knee cartilage MRI with in situ mechanical loading using prospective motion correction,25,2014, Wiley Online Library, Magnetic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.24679,2
77,"Hayashi, A Guermazi, CK Kwoh",Clinical and translational potential of MRI evaluation in knee osteoarthritis,27,2014, Springer, Current rheumatology reports,https://link.springer.com/article/10.1007/s11926-013-0391-6,2
46," Souza, D Kumar, N Calixto, J Singh…",Response of knee cartilage T1rho and T2 relaxation times to in vivo mechanical loading in individuals with and without knee osteoarthritis,135,2014, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458414010553,12
83,"Henriksen, MW Creaby, H Lund, C Juhl…",Is there a causal link between knee loading and knee osteoarthritis progression? A systematic review and meta-analysis of cohort studies and randomised trials,79,2014, bmjopen.bmj.com, BMJ open,https://bmjopen.bmj.com/content/4/7/e005368.short,7
32,"Owman, CJ Tiderius, YB Ericsson…",Long-term effect of removal of knee joint loading on cartilage quality evaluated by delayed gadolinium-enhanced magnetic resonance imaging of cartilage,29,2014, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458414010590,3
96,"Freutel, AM Seitz, F Galbusera…",Medial meniscal displacement and strain in three dimensions under compressive loads: MR assessment,66,2014, Wiley Online Library, … Resonance Imaging,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.24461,6
3," Morgenroth, JR Medverd, M Seyedali…",The relationship between knee joint loading rate during walking and degenerative changes on magnetic resonance imaging,75,2014, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S026800331400093X,7
29," McWalter, CM O'Kane…",Validation of an MRI‐based method to assess patellofemoral joint contact areas in loaded knee flexion in vivo,16,2014, Wiley Online Library, … Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.24240,1
93," Doré, TM Winzenberg, C Ding, P Otahal…",The association between objectively measured physical activity and knee structural change using MRI,128,2013, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/72/7/1170.short,11
4," Westphal, A Schmitz, SB Reeder, DG Thelen",Load-dependent variations in knee kinematics measured with dynamic MRI,53,2013, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929013002601,4
61,"Sharma, JS Chmiel, O Almagor, D Felson…",The role of varus and valgus alignment in the initial development of knee cartilage damage by MRI: the MOST study,228,2013, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/72/2/235.short,19
67,"Kumar, K Subburaj, W Lin, DC Karampinos…",Quadriceps and hamstrings morphology is related to walking mechanics and knee cartilage MRI relaxation times in young adults,19,2013, jospt.org, journal of orthopaedic & …,https://www.jospt.org/doi/abs/10.2519/jospt.2013.4486,2
69," Ezzat, J Cibere, M Koehoorn…",Association between cumulative joint loading from occupational activities and knee osteoarthritis,23,2013, Wiley Online Library, Arthritis care & research,https://onlinelibrary.wiley.com/doi/pdf/10.1002/acr.22033,2
15,"Marsh, RB Souza, BT Wyman…",Differences between X-ray and MRI-determined knee cartilage thickness in weight-bearing and non-weight-bearing conditions,37,2013, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458413009643,3
11," Küpper, I Robu, R Frayne, JL Ronsky","The knee loading apparatus: axial, anterior, and compressive loading with magnetic resonance imaging",10,2013, asmedigitalcollection.asme.org,,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/135/2/024501/375721,1
97, Hash,Magnetic resonance imaging of the knee,81,2013, journals.sagepub.com, Sports Health,https://journals.sagepub.com/doi/abs/10.1177/1941738112468416,7
37," Morgenroth, JR Medverd, M Seyedali…",Knee joint loading rate during walking and degenerative changes on MRI,1,2013, oarsijournal.com, Osteoarthritis and …,https://www.oarsijournal.com/article/S1063-4584(13)00247-1/abstract,0
60,"Hartmann, K Wirth, M Klusemann",Analysis of the load on the knee joint and vertebral column with changes in squatting depth and weight load,249,2013, Springer, Sports medicine,https://link.springer.com/article/10.1007/s40279-013-0073-6,21
71,"Hayashi, M Englund, FW Roemer, J Niu…",Knee malalignment is associated with an increased risk for incident and enlarging bone marrow lesions in the more loaded compartments: the MOST study,108,2012, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458412009090,8
59," Souza, T Baum, S Wu, BT Feeley, N Kadel…",Effects of unloading on knee articular cartilage T1rho and T2 magnetic resonance imaging relaxation times: a case series,79,2012, jospt.org, journal of orthopaedic & …,https://www.jospt.org/doi/abs/10.2519/jospt.2012.3975,6
17,"Stehling, RB Souza, MPH Le Graverand…",Loading of the knee during 3.0 T MRI is associated with significantly increased medial meniscus extrusion in mild and moderate osteoarthritis,99,2012, Elsevier, European journal of …,https://www.sciencedirect.com/science/article/pii/S0720048X11005110,8
