Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
1,"Wang, W Yin, J Zeng",Global convergence of ADMM in nonconvex nonsmooth optimization,1220,2019, Springer, Journal of Scientific Computing,https://link.springer.com/article/10.1007/s10915-018-0757-z,203
9,"Shi, Q Ling, K Yuan, G Wu…",On the linear convergence of the ADMM in decentralized consensus optimization,892,2014, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/6731604/,81
26,"Chen, B He, Y Ye, X Yuan",The direct extension of ADMM for multi-block convex minimization problems is not necessarily convergent,780,2016, Springer, Mathematical Programming,https://link.springer.com/article/10.1007/s10107-014-0826-5,87
19," Chan, X Wang, OA Elgendy",Plug-and-play ADMM for image restoration: Fixed-point convergence and applications,777,2016, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/7744574/,86
14,"Yang, J Sun, H Li, Z Xu",Deep ADMM-Net for compressive sensing MRI,666,2016, proceedings.nips.cc, Proceedings of the 30th international …,https://proceedings.nips.cc/paper/2016/file/1679091c5a880faf6fb5e6087eb1b2dc-Paper.pdf,74
10,Erseghe,Distributed optimal power flow using ADMM,606,2014, ieeexplore.ieee.org, IEEE transactions on power systems,https://ieeexplore.ieee.org/abstract/document/6748974/,55
32,"Yang, J Sun, H Li, Z Xu",ADMM-CSNet: A deep learning approach for image compressive sensing,598,2018, ieeexplore.ieee.org, IEEE transactions on pattern …,https://ieeexplore.ieee.org/abstract/document/8550778/,85
50,"Ghadimi, A Teixeira, I Shames…",Optimal parameter selection for the alternating direction method of multipliers (ADMM): Quadratic problems,568,2014, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/6892987/,52
7,"Sun, H Li, Z Xu",Deep ADMM-Net for compressive sensing MRI,554,2016, proceedings.neurips.cc, Advances in neural information …,https://proceedings.neurips.cc/paper/6406-deep-admm-net-for-compressive-sensing-mri,62
22,"Deng, MJ Lai, Z Peng, W Yin",Parallel Multi-Block ADMM with o(1 / k) Convergence,499,2017, Springer, Journal of Scientific Computing,https://link.springer.com/article/10.1007/s10915-016-0318-2,62
8,"Zhang, J Kwok",Asynchronous distributed ADMM for consensus optimization,469,2014, proceedings.mlr.press, International conference on machine …,https://proceedings.mlr.press/v32/zhange14.html,43
24," Chang, M Hong, X Wang",Multi-agent distributed optimization via inexact consensus ADMM,451,2014, ieeexplore.ieee.org, IEEE Transactions on Signal …,https://ieeexplore.ieee.org/abstract/document/6945888/,41
6,"C Mota, JMF Xavier, PMQ Aguiar…",D-ADMM: A communication-efficient distributed algorithm for separable optimization,436,2013, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/6484993/,36
55,"He, L Wu, T Liu…",Robust co-optimization scheduling of electricity and natural gas systems via ADMM,429,2016, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/7583715/,48
33,"Leng, Z Dou, H Li, S Zhu, R Jin",Extremely low bit neural network: Squeeze the last bit out with admm,363,2018, ojs.aaai.org, … of the AAAI Conference on Artificial …,https://ojs.aaai.org/index.php/AAAI/article/view/11713,52
2,"Nishihara, L Lessard, B Recht…",A general analysis of the convergence of ADMM,350,2015, proceedings.mlr.press, International …,https://proceedings.mlr.press/v37/nishihara15.html,35
61,"Shen, TH Chang, KY Wang, Z Qiu…",Distributed robust multicell coordinated beamforming with imperfect CSI: An ADMM approach,310,2012, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/6156468/,24
5,"Taylor, R Burmeister, Z Xu, B Singh…",Training neural networks without gradients: A scalable admm approach,307,2016, proceedings.mlr.press, International …,http://proceedings.mlr.press/v48/taylor16,34
15,"Wahlberg, S Boyd, M Annergren, Y Wang",An ADMM algorithm for a class of total variation regularized estimation problems,306,2012, Elsevier, IFAC Proceedings Volumes,https://www.sciencedirect.com/science/article/pii/S1474667015379325,24
51,"Giselsson, S Boyd",Linear convergence and metric selection for Douglas-Rachford splitting and ADMM,274,2016, ieeexplore.ieee.org, IEEE Transactions on Automatic Control,https://ieeexplore.ieee.org/abstract/document/7465685/,30
25,"Wang, L Wu, S Wang",A fully-decentralized consensus-based ADMM approach for DC-OPF with demand response,246,2016, ieeexplore.ieee.org, IEEE Transactions on Smart Grid,https://ieeexplore.ieee.org/abstract/document/7428969/,27
4," Chang, M Hong, WC Liao…",Asynchronous distributed ADMM for large-scale optimization—Part I: Algorithm and convergence analysis,228,2016, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/7423789/,25
3,"Makhdoumi, A Ozdaglar",Convergence rate of distributed ADMM over networks,210,2017, ieeexplore.ieee.org, IEEE Transactions on Automatic …,https://ieeexplore.ieee.org/abstract/document/7870649/,26
45,"Huang, ND Sidiropoulos",Consensus-ADMM for general quadratically constrained quadratic programming,207,2016, ieeexplore.ieee.org, IEEE Transactions on Signal …,https://ieeexplore.ieee.org/abstract/document/7517329/,23
64,"Wen, X Qu, W Li, X Liu, X Ye",Synergistic operation of electricity and natural gas networks via ADMM,204,2017, ieeexplore.ieee.org, IEEE Transactions on Smart …,https://ieeexplore.ieee.org/abstract/document/7840057/,26
54," Ma, J Wang, V Gupta, C Chen",Distributed energy management for networked microgrids using online ADMM with regret,202,2016, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/7501891/,22
39,"Lin, S Ma, S Zhang",On the global linear convergence of the ADMM with multiblock variables,202,2015, SIAM, SIAM Journal on Optimization,https://epubs.siam.org/doi/abs/10.1137/140971178,20
90,"Zhang, Q Zhu",Dynamic differential privacy for ADMM-based distributed classification learning,198,2016, ieeexplore.ieee.org, IEEE Transactions on Information Forensics …,https://ieeexplore.ieee.org/abstract/document/7563366/,22
29,"Ren, T Zhang, S Ye, J Li, W Xu, X Qian, X Lin…",Admm-nn: An algorithm-hardware co-design framework of dnns using alternating direction methods of multipliers,196,2019, dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/3297858.3304076,33
28,"Huang, R Hu, Y Guo, E Cha",DP-ADMM: ADMM-based distributed learning with differential privacy,192,2019, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/8772211/,32
91,"Magnússon, PC Weeraddana…",A distributed approach for the optimal power-flow problem based on ADMM and sequential convex approximations,189,2015, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/7089265/,19
86,"Zhou, J Feng, Z Chang, X Shen",Energy-efficient edge computing service provisioning for vehicular networks: A consensus ADMM approach,177,2019, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/8667693/,30
36,"Chen, RH Chan, S Ma, J Yang",Inertial proximal ADMM for linearly constrained separable convex optimization,172,2015, SIAM, SIAM Journal on Imaging Sciences,https://epubs.siam.org/doi/abs/10.1137/15100463X,17
23,"Zhang, M Ahmad, Y Wang",ADMM based privacy-preserving decentralized optimization,166,2018, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/8410603/,24
72,"Wang, W Cao, Z Xu",Convergence of multi-block Bregman ADMM for nonconvex composite problems,158,2018, Springer, Science China Information Sciences,https://link.springer.com/article/10.1007/s11432-017-9367-6,23
38,"Ma, XY Liu, Z Shou, X Yuan",Deep tensor admm-net for snapshot compressive imaging,156,2019, openaccess.thecvf.com, Proceedings of the IEEE …,http://openaccess.thecvf.com/content_ICCV_2019/html/Ma_Deep_Tensor_ADMM-Net_for_Snapshot_Compressive_Imaging_ICCV_2019_paper.html,26
41,"Chartrand, B Wohlberg",A nonconvex ADMM algorithm for group sparsity with sparse groups,156,2013, ieeexplore.ieee.org, 2013 IEEE international conference …,https://ieeexplore.ieee.org/abstract/document/6638818/,13
12," Dhingra, MR Jovanović…",An ADMM algorithm for optimal sensor and actuator selection,156,2014, ieeexplore.ieee.org, 53rd IEEE Conference on …,https://ieeexplore.ieee.org/abstract/document/7040017/,14
