Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
5," Cines, ES Pollak, CA Buck…",Endothelial cells in physiology and in the pathophysiology of vascular disorders,3726,1998, ashpublications.org, Blood  The Journal …,https://ashpublications.org/blood/article-abstract/91/10/3527/174996,138
52," Stein, CE Korcarz, RT Hurst, E Lonn…",Use of carotid ultrasound to identify subclinical vascular disease and evaluate cardiovascular disease risk: a consensus statement from the American Society …,2827,2008, Elsevier, Journal of the American …,https://www.sciencedirect.com/science/article/pii/S0894731707008188,166
12,"Markl, A Frydrychowicz, S Kozerke…",4D flow MRI,932,2012, Wiley Online Library, Journal of Magnetic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.23632,72
13,"Dyverfeldt, M Bissell, AJ Barker, AF Bolger…",4D flow cardiovascular magnetic resonance consensus statement,899,2015, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S1097664723008979,90
80,"Deshmane, V Gulani, MA Griswold…",Parallel MR imaging,671,2012, Wiley Online Library, Journal of Magnetic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.23639,52
23," Kramer, J Barkhausen, SD Flamm, RJ Kim…","Standardized cardiovascular magnetic resonance imaging (CMR) protocols, society for cardiovascular magnetic resonance: board of trustees task force on …",642,2008, Springer, Journal of …,https://link.springer.com/article/10.1186/1532-429X-10-35,38
85,"Markl, PJ Kilner, T Ebbers",Comprehensive 4D velocity mapping of the heart and great vessels by cardiovascular magnetic resonance,589,2011, Elsevier, Journal of Cardiovascular Magnetic …,https://www.sciencedirect.com/science/article/pii/S1097664723013625,42
63," Deegan, WT McNicholas",Pathophysiology of obstructive sleep apnoea,405,1995, Eur Respiratory Soc, European Respiratory Journal,https://erj.ersjournals.com/content/8/7/1161.short,14
38," Taylor, MT Draney",Experimental and computational methods in cardiovascular fluid mechanics,388,2004, annualreviews.org, Annu. Rev. Fluid Mech.,https://www.annualreviews.org/doi/abs/10.1146/annurev.fluid.36.050802.121944,18
97," Grenier, C Beigelma",New frontiers in CT imaging of airway disease,298,2002, Springer, European …,https://link.springer.com/article/10.1007/s00330-002-1342-1,13
6," Cines, R McMillan",Management of adult idiopathic thrombocytopenic purpura,211,2005, annualreviews.org, Annu. Rev. Med.,https://www.annualreviews.org/doi/abs/10.1146/annurev.med.56.082103.104644,11
45,"Küstner, N Fuin, K Hammernik, A Bustin, H Qi…",CINENet: deep learning-based 3D cardiac CINE MRI reconstruction with multi-coil complex-valued 4D spatio-temporal convolutions,171,2020, nature.com, Scientific reports,https://www.nature.com/articles/s41598-020-70551-8,34
24," Haacke, JA Tkach",Fast MR imaging: techniques and clinical applications.,154,1990, Am Roentgen Ray Soc, AJR. American journal of …,https://ajronline.org/doi/abs/10.2214/ajr.155.5.2120964,4
44,"Stemkens, ES Paulson…",Nuts and bolts of 4D-MRI for radiotherapy,128,2018, iopscience.iop.org, Physics in Medicine & …,https://iopscience.iop.org/article/10.1088/1361-6560/aae56d/meta,18
