Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
77,"Cappozzo, F Catani, U Della Croce, A Leardini",Position and orientation in space of bones during movement: anatomical frame definition and determination,2069,1995, Elsevier, Clinical biomechanics,https://www.sciencedirect.com/science/article/pii/026800339591394T,69
13,"Yoshioka, D Siu, TD Cooke",The anatomy and functional axes of the femur.,679,1987, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/abstract/1987/69060/The_anatomy_and_functional_axes_of_the_femur_.12.aspx,18
82,"R Freeman, V Pinskerova",The movement of the normal tibio-femoral joint,671,2005, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929004000788,34
55,"Ferretti, M Ekdahl, W Shen, FH Fu",Osseous landmarks of the femoral attachment of the anterior cruciate ligament: an anatomic study,616,2007, Elsevier, Arthroscopy: The Journal of …,https://www.sciencedirect.com/science/article/pii/S0749806307009140,34
29," Poilvache, JN Insall, GR Scuderi…",Rotational landmarks and sizing of the distal femur in total knee arthroplasty,567,1996, journals.lww.com, Clinical Orthopaedics …,https://journals.lww.com/clinorthop/fulltext/1996/10000/rotational_landmarks_and_sizing_of_the_distal.6.aspx,20
79,"Akagi, M Oh, T Nonaka, H Tsujimoto…",An anteroposterior axis of the tibia for total knee arthroplasty.,460,2004, journals.lww.com,2007 …,https://journals.lww.com/corr/fulltext/2004/03000/An_Anteroposterior_Axis_of_the_Tibia_for_Total.30.aspx,22
66,"Forsythe, S Kopf, AK Wong, CAQ Martins, W Anderst…",The location of femoral and tibial tunnels in anatomic double-bundle anterior cruciate ligament reconstruction analyzed by three-dimensional computed tomography …,371,2010, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2010/06000/The_Location_of_Femoral_and_Tibial_Tunnels_in.10.aspx?__hstc=215929672.82af9c9a98fa600b1bb630f9cde2cb5f.1528502400314.1528502400315.1528502400316.1&__hssc=215929672.1.1528502400317&__hsfp=1773666937,25
96," Morgan, VR Kalman, DM Grawl",Definitive landmarks for reproducible tibial tunnel placement in anterior cruciate ligament reconstruction,345,1995, Elsevier, … The Journal of Arthroscopic & Related …,https://www.sciencedirect.com/science/article/pii/0749806395900039,12
2," Purnell, AI Larson, W Clancy",Anterior cruciate ligament insertions on the tibia and femur and their relationships to critical bony landmarks using high-resolution volume-rendering computed …,334,2008, journals.sagepub.com, The American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546508319896,20
14,"Della Croce, A Cappozzo, DC Kerrigan",Pelvis and lower limb anatomical landmark calibration precision and its propagation to bone geometry and joint angles,332,1999, Springer, Medical & biological …,https://link.springer.com/article/10.1007/BF02513282,13
27," Oswald, RP Jakob, E Schneider…",Radiological analysis of normal axial alignment of femur and tibia in view of total knee arthroplasty,310,1993, Elsevier, The Journal of …,https://www.sciencedirect.com/science/article/pii/S0883540306800422,10
26,"Takahashi, M Doi, M Abe…",Anatomical study of the femoral and tibial insertions of the anteromedial and posterolateral bundles of human anterior cruciate ligament,309,2006, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546505282625,16
28,"Kopf, V Musahl, S Tashman, M Szczodry…",A systematic review of the femoral origin and tibial insertion morphology of the ACL,305,2009, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-008-0709-5,19
8,"Yoshioka, DW Siu, RA Scudamore…",Tibial anatomy and functional axes,297,1989, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100070118,8
31,"Siebold, T Ellert, S Metz, J Metz","Tibial insertions of the anteromedial and posterolateral bundles of the anterior cruciate ligament: morphometry, arthroscopic landmarks, and orientation model …",289,2008, Elsevier, … : The Journal of Arthroscopic & Related …,https://www.sciencedirect.com/science/article/pii/S0749806307007578,17
50,"Gromov, M Korchi, MG Thomsen, H Husted…",What is the optimal alignment of the tibial and femoral components in knee arthroplasty? An overview of the literature,263,2014, Taylor & Francis, Acta …,https://www.tandfonline.com/doi/abs/10.3109/17453674.2014.940573,24
16,"Victor, D Van Doninck, L Labey, B Innocenti…",How precise can bony landmarks be determined on a CT scan of the knee?,251,2009, Elsevier, The knee,https://www.sciencedirect.com/science/article/pii/S096801600900012X,16
36,"Aglietti, L Sensi, P Cuomo…",Rotational position of femoral and tibial components in TKA using the femoral transepicondylar axis,210,2008, journals.lww.com, Clinical Orthopaedics and …,https://journals.lww.com/clinorthop/fulltext/2008/11000/rotational_position_of_femoral_and_tibial.29.aspx,12
59," Piefer, TR Pflugner, MD Hwang…",Anterior cruciate ligament femoral footprint anatomy: systematic review of the 21st century literature,202,2012, Elsevier, Arthroscopy: The Journal …,https://www.sciencedirect.com/science/article/pii/S0749806311013429,16
25," Yoo, CB Chang, KS Shin, SC Seong…",Anatomical references to assess the posterior tibial slope in total knee arthroplasty: a comparison of 5 anatomical axes,202,2008, Elsevier, The Journal of arthroplasty,https://www.sciencedirect.com/science/article/pii/S0883540307002677,12
30,"Uehara, Y Kadoya, A Kobayashi…",Bone anatomy and rotational alignment in total knee arthroplasty.,185,2002, journals.lww.com,2007 …,https://journals.lww.com/corr/fulltext/2002/09000/Bone_Anatomy_and_Rotational_Alignment_in_Total.18.aspx,8
40," Cobb, H Dixon, W Dandachli…",The anatomical tibial axis: reliable rotational orientation in knee replacement,170,2008, boneandjoint.org.uk, The Journal of Bone & …,https://boneandjoint.org.uk/article/10.1302/0301-620x.90b8.19905,10
22,"Victor, D Van Doninck, L Labey…",A common reference frame for describing rotation of the distal femur: a ct-based kinematic study using cadavers,156,2009, boneandjoint.org.uk, The Journal of Bone …,https://boneandjoint.org.uk/article/10.1302/0301-620X.91B5.21827,10
10,"Ferretti, D Doca, SM Ingham, M Cohen…",Bony and soft tissue landmarks of the ACL tibial insertion site: an anatomical study,155,2012, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-011-1592-z,12
67,"Lützner, F Krummenauer, KP Günther…",Rotational alignment of the tibial component in total knee arthroplasty is better at the medial third of tibial tuberosity than at the medial border,138,2010, Springer, BMC musculoskeletal …,https://link.springer.com/article/10.1186/1471-2474-11-57,9
42," Piasecki, BR Bach Jr…",Anterior cruciate ligament reconstruction: can anatomic femoral placement be achieved with a transtibial technique?,135,2011, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546510397170,10
83,"France, C Nester",Effect of errors in the identification of anatomical landmarks on the accuracy of Q angle values,132,2001, Elsevier, Clinical biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003301000456,6
57,"Yang, S Zhang, Z Yan, C Tan, K Li…",Automated anatomical landmark detection ondistal femur surface using convolutional neural network,131,2015, ieeexplore.ieee.org, 2015 IEEE 12th …,https://ieeexplore.ieee.org/abstract/document/7163806/,13
84,"Hanada, LA Whiteside, J Steiger…",Bone landmarks are more reliable than tensioned gaps in TKA component alignment.,128,2007, journals.lww.com, … and Related Research …,https://journals.lww.com/corr/fulltext/2007/09000/Bone_Landmarks_Are_More_Reliable_Than_Tensioned.22.aspx,7
7," Helito, MK Demange, MB Bonadio…",Radiographic landmarks for locating the femoral origin and tibial insertion of the knee anterolateral ligament,119,2014, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546514543770,11
32," Incavo, KM Coughlin, C Pappas…","Anatomic rotational relationships of the proximal tibia, distal femur, and patella: implications for rotational alignment in total knee arthroplasty",118,2003, Elsevier, The Journal of arthroplasty,https://www.sciencedirect.com/science/article/pii/S0883540303001979,5
24,"Subburaj, B Ravi, M Agarwal",Automated identification of anatomical landmarks on 3D bone models reconstructed from CT scan images,118,2009, Elsevier, Computerized Medical Imaging and …,https://www.sciencedirect.com/science/article/pii/S089561110900024X,7
74," Yau, A Leung, KY Chiu, WM Tang, TP Ng",Intraobserver errors in obtaining visually selected anatomic landmarks during registration process in nonimage-based navigation-assisted total knee …,111,2005, Elsevier, The Journal of arthroplasty,https://www.sciencedirect.com/science/article/pii/S0883540305001233,6
91," Yau, KY Chiu, WM Tang",How precise is the determination of rotational alignment of the femoral prosthesis in total knee arthroplasty: an in vivo study,109,2007, Elsevier, The Journal of arthroplasty,https://www.sciencedirect.com/science/article/pii/S088354030600893X,6
89," Hwang, JW Piefer, JH Lubowitz",Anterior cruciate ligament tibial footprint anatomy: systematic review of the 21st century literature,107,2012, Elsevier, Arthroscopy: The Journal of …,https://www.sciencedirect.com/science/article/pii/S0749806311013168,8
81," Yau, A Leung, KG Liu, CH Yan, LLS Wong…",Interobserver and intra-observer errors in obtaining visually selected anatomical landmarks during registration process in non–image-based navigation …,101,2007, Elsevier, The Journal of …,https://www.sciencedirect.com/science/article/pii/S0883540306007133,6
68,"Tensho, H Shimodaira, T Aoki…",Bony landmarks of the anterior cruciate ligament tibial footprint: a detailed analysis comparing 3-dimensional computed tomography images to visual and histological …,94,2014, journals.sagepub.com, … American Journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546514528789,9
94," Pietrini, CG Ziegler, CJ Anderson…",Radiographic landmarks for tunnel positioning in double-bundle ACL reconstructions,90,2011, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-010-1372-1,6
49," Rezansoff, S Caterine, L Spencer, MN Tran…",Radiographic landmarks for surgical reconstruction of the anterolateral ligament of the knee,72,2015, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-014-3126-y,7
70," Lee, JK Seon, VI Shin, GH Kim, M Jeon",Anatomical evaluation of CT-MRI combined femoral model,71,2008, Springer, Biomedical engineering …,https://link.springer.com/article/10.1186/1475-925X-7-6,4
72,"Saffarini, L Nover, R Tandogan, R Becker…",The original Akagi line is the most reliable: a systematic review of landmarks for rotational alignment of the tibial component in TKA,69,2019, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-018-5131-z,12
18," Morton, LP Maletsky, S Pal…",Effect of variability in anatomical landmark location on knee kinematic description,68,2007, Wiley Online Library, Journal of Orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20396,4
17," Parkar, ME Adriaensen…",The anatomic centers of the femoral and tibial insertions of the anterior cruciate ligament: a systematic review of imaging and cadaveric studies reporting normal …,68,2017, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546516673984,8
87,"McDaniel, KL Mitchell, C Charles, VB Kraus",A comparison of five approaches to measurement of anatomic knee alignment from radiographs,67,2010, Elsevier, Osteoarthritis and cartilage,https://www.sciencedirect.com/science/article/pii/S1063458409002775,4
88,"Schlatterer, I Suedhoff, X Bonnet, Y Catonne…",Skeletal landmarks for TKR implantations: evaluation of their accuracy using EOS imaging acquisition system,64,2009, Elsevier, … & Traumatology: Surgery …,https://www.sciencedirect.com/science/article/pii/S1877056808000108,4
76,"Matsuda, H Miz",Tibial shaft axis does not always serve as a correct coronal landmark in total knee arthroplasty for varus knees,63,2003, Elsevier, The Journal of …,https://www.sciencedirect.com/science/article/pii/S0883540302062034,3
