Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
81," Iliff, H Lee, M Yu, T Feng, J Logan…",Brain-wide pathway for waste clearance captured by contrast-enhanced MRI,1027,2013, Am Soc Clin Investig, The Journal of …,https://www.jci.org/articles/view/67677,86
99," Poldrack, JA Mumford, TE Nichols",Handbook of functional MRI data analysis,1007,2011, books.google.com,,https://books.google.com/books?hl=en&lr=&id=VjwBnVRwuD8C&oi=fnd&pg=PR9&dq=bulk+movement+mri&ots=CXGq1uqNon&sig=jNtQBOzVxDGIKn_7GIwMW3GT10c,72
64,"M Parker, HA Haroon…",A framework for a streamline‐based probabilistic index of connectivity (PICo) using a structural interpretation of MRI diffusion measurements,677,2003, Wiley Online Library, … Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.10350,31
63,"Zaitsev, J Maclaren, M Herbst",Motion artifacts in MRI: A complex problem with many partial solutions,667,2015, Wiley Online Library, … of Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.24850,67
83," Hladky, MA Barrand","Mechanisms of fluid movement into, through and out of the brain: evaluation of the evidence",597,2014, Springer, Fluids and Barriers of the CNS,https://link.springer.com/article/10.1186/2045-8118-11-26,54
1," Patterson, AR Padhani, DJ Collins",Technology insight: water diffusion MRI—a potential new biomarker of response to cancer therapy,452,2008, nature.com, Nature clinical practice …,https://www.nature.com/articles/ncponc1073,27
26,"Sladky, KJ Friston, J Tröstl, R Cunnington, E Moser…",Slice-timing effects and their correction in functional MRI,438,2011, Elsevier, Neuroimage,https://www.sciencedirect.com/science/article/pii/S1053811911007245,31
30,"Burstein, ML Gray, AL Hartman…",Diffusion of small solutes in cartilage as measured by nuclear magnetic resonance (NMR) spectroscopy and imaging,359,1993, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100110402,11
84," Dodd, M Williams, JP Suhan, DS Williams…",Detection of single mammalian cells by high-resolution magnetic resonance imaging,355,1999, cell.com, Biophysical journal,https://www.cell.com/fulltext/S0006-3495(99)77182-1,14
34," Power, KA Barnes, AZ Snyder, BL Schlaggar…",Steps toward optimizing motion artifact removal in functional connectivity MRI; a reply to Carp,333,2013, ncbi.nlm.nih.gov, Neuroimage,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3834590/,28
24," Tofts, D Lloyd, CA Clark, GJ Barker…",Test liquids for quantitative MRI measurements of self‐diffusion coefficient in vivo,321,2000, Wiley Online Library, … in Medicine: An …,https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1522-2594(200003)43:3%3C368::AID-MRM8%3E3.0.CO;2-B,13
35,"Johnstone, JJ Wyatt, AM Henry, SC Short…",Systematic review of synthetic computed tomography generation methodologies for use in magnetic resonance imaging–only radiation therapy,311,2018, Elsevier, International Journal of …,https://www.sciencedirect.com/science/article/pii/S0360301617338403,44
57," Sachs, CH Meyer, BS Hu, J Kohli…",Real‐time motion detection in spiral MRI using navigators,280,1994, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.1910320513,9
73," Lee, M Bollet, G Charle",Radiotherapy treatment planning of prostate cancer using magnetic resonance imaging alone,278,2003, Elsevier, Radiotherapy and …,https://www.sciencedirect.com/science/article/pii/S0167814002004401,13
43,"W Brooks, CF Beckmann, KL Miller, RG Wise…",Physiological noise modelling for spinal functional magnetic resonance imaging studies,258,2008, Elsevier, Neuroimage,https://www.sciencedirect.com/science/article/pii/S1053811907008178,15
39,"N Forbes, JG Pipe, CR Bird…",PROPELLER MRI: clinical testing of a novel technique for quantification and compensation of head motion,245,2001, Wiley Online Library, … of Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.1176,10
89," Nissi, J Töyräs, MS Laasanen…",Proteoglycan and collagen sensitive MRI evaluation of normal and degenerated articular cartilage,234,2004, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1016/j.orthres.2003.09.008,11
4,"Raj, AW Anderson, JC Gore",Respiratory effects in human functional magnetic resonance imaging due to bulk susceptibility changes,234,2001, iopscience.iop.org, Physics in Medicine & Biology,https://iopscience.iop.org/article/10.1088/0031-9155/46/12/318/meta,10
61,"R Freeman, V Pinskerova",The movement of the knee studied by magnetic resonance imaging,228,2003, journals.lww.com, Clinical Orthopaedics and Related …,https://journals.lww.com/clinorthop/fulltext/2003/05000/The_Movement_of_the_Knee_Studied_by_Magnetic.7.aspx,10
79,"Bastiani, M Cottaar, SP Fitzgibbon, S Suri…",Automated quality control for within and between studies diffusion MRI data using a non-parametric framework for movement and distortion correction,221,2019, Elsevier, Neuroimage,https://www.sciencedirect.com/science/article/pii/S1053811918319451,37
20," Li, AR Padhani",Tumor response assessments with diffusion and perfusion MRI,210,2012, Wiley Online Library, Journal of Magnetic Resonance Imaging,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.22838,16
38," Mai, SS Berr",MR perfusion imaging of pulmonary parenchyma using pulsed arterial spin labeling techniques: FAIRER and FAIR,197,1999, Wiley Online Library, Journal of Magnetic Resonance Imaging: An …,https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1522-2586(199903)9:3%3C483::AID-JMRI18%3E3.0.CO;2-%23,8
16,"Yamada, M Miyazaki, H Kanazawa, M Higashi…",Visualization of Cerebrospinal Fluid Movement with Spin Labeling at MR Imaging: Preliminary Results in Normal and Pathophysiologic Conditions1,191,2008, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiol.2492071985,11
70,"Raj, DP Paley, AW Anderson…",A model for susceptibility artefacts from respiration in functional echo-planar magnetic resonance imaging,152,2000, iopscience.iop.org, Physics in Medicine & …,https://iopscience.iop.org/article/10.1088/0031-9155/45/12/321/meta,6
15," Lingala, BP Sutton, ME Miquel…",Recommendations for real‐time speech MRI,142,2016, Wiley Online Library, … of Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.24997,16
