Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
56," Kramer, J Barkhausen, C Bucciarell",Standardized cardiovascular magnetic resonance imaging (CMR) protocols: 2020 update,694,2020, Elsevier, … of Cardiovascular …,https://www.sciencedirect.com/science/article/pii/S1097664723002697,139
60,"Lustig, JM Santos, DL Donoho, JM Pauly",kt SPARSE: High frame rate dynamic MRI exploiting spatio-temporal sparsity,476,2006, Citeseer, … of the 13th annual meeting of …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=be7217aac865de3801e3f35ee13520888aad597d,25
67,"Radau, Y Lu, K Connelly, G Paul, AJ Dick…",Evaluation framework for algorithms segmenting short axis cardiac MRI.,411,2009, cir.nii.ac.jp, The MIDAS …,https://cir.nii.ac.jp/crid/1360013171280211456,26
28,"Bogaert, S Dymarkowski, AM Taylor, V Muthurangu",Clinical cardiac MRI,308,2012, books.google.com,,https://books.google.com/books?hl=en&lr=&id=Cuz4ayP8rZkC&oi=fnd&pg=PR6&dq=cardiac+mri+dynamic&ots=7ejD7XX5bf&sig=TlUDcGaq5lZtBiMNvtnPJ9ZCeXE,24
100,"Zhuang, KS Rhode, RS Razavi…",A registration-based propagation framework for automatic whole heart segmentation of cardiac MRI,282,2010, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/5444972/,19
31," van der Geest, JHC Reiber",Quantification in cardiac MRI,238,1999, Wiley Online Library, … Magnetic Resonance Imaging …,https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1522-2586(199911)10:5%3C602::AID-JMRI3%3E3.0.CO;2-C,9
84,Nielle,Assessment of myocardial microstructural dynamics by in vivo diffusion tensor cardiac magnetic resonance,231,2017, jacc.org, Journal of the American …,https://www.jacc.org/doi/abs/10.1016/j.jacc.2016.11.051,29
1,"Usman, D Atkinson, F Odille…",Motion corrected compressed sensing for free‐breathing dynamic cardiac MRI,221,2013, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.24463,18
2," Earls, VB Ho, TK Foo, E Castillo…",Cardiac MRI: recent progress and continued challenges,198,2002, Wiley Online Library, … Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.10154,9
94,"Zhao, JP Haldar, C Brinegar…",Low rank matrix recovery for real-time cardiac MRI,178,2010, ieeexplore.ieee.org, 2010 ieee international …,https://ieeexplore.ieee.org/abstract/document/5490156/,12
87," Yang, AB Kerr, AC Liu, DH Liang, C Hardy…",New real-time interactive cardiac magnetic resonance imaging system complements echocardiography,172,1998, jacc.org, Journal of the American …,https://www.jacc.org/doi/abs/10.1016/S0735-1097(98)00462-8,6
34,"Pednekar, U Kurkure, R Muthupillai…",Automated left ventricular segmentation in cardiac MRI,167,2006, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/1643412/,9
63," Attili, A Schuster, E Nagel, JHC Reiber…",Quantification in cardiac MRI: advances in image acquisition and processing,162,2010, Springer, … journal of cardiovascular …,https://link.springer.com/article/10.1007/s10554-009-9571-x,11
88,"Jung, J Park, J Yoo, JC Ye",Radial k‐t FOCUSS for high‐resolution cardiac cine MRI,141,2010, Wiley Online Library, Magnetic Resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.22172,9
6,"Adluru, SP Awate, T Tasdizen…",Temporally constrained reconstruction of dynamic cardiac perfusion MRI,138,2007, Wiley Online Library, … in Medicine: An …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.21248,8
73,"Wang, L Ying",Compressed sensing dynamic cardiac cine MRI using learned spatiotemporal dictionary,136,2013, ieeexplore.ieee.org, IEEE transactions on Biomedical Engineering,https://ieeexplore.ieee.org/abstract/document/6682996/,11
50,"Busch, TRC Johnson, BJ Wintersperger, N Minaifar…",Quantitative assessment of left ventricular function with dual-source CT in comparison to cardiac magnetic resonance imaging: initial findings,136,2008, Springer, European …,https://link.springer.com/article/10.1007/s00330-007-0767-y,8
11,"Ding, SD Wolff, FH Epstein",Improved coverage in dynamic contrast‐enhanced cardiac MRI using interleaved gradient‐echo EPI,135,1998, Wiley Online Library, Magnetic resonance in medicine,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.1910390403,5
95," Marcu, AM Beek, AC Van Rossum",Clinical applications of cardiovascular magnetic resonance imaging,135,2006, Can Med Assoc, Cmaj,https://www.cmaj.ca/content/175/8/911.short,7
30," Asif, L Hamilton, M Brummer…",Motion‐adaptive spatio‐temporal regularization for accelerated dynamic MRI,131,2013, Wiley Online Library, Magnetic Resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.24524,11
14,"Hu, H Liu, Z Gao, L Huang",Hybrid segmentation of left ventricle in cardiac MRI using gaussian-mixture model and region restricted dynamic programming,127,2013, Elsevier, Magnetic resonance imaging,https://www.sciencedirect.com/science/article/pii/S0730725X12003670,11
79,"Wieben, C Francois, SB Reeder",Cardiac MRI of ischemic heart disease at 3 T: potential and challenges,122,2008, Elsevier, European journal of radiology,https://www.sciencedirect.com/science/article/pii/S0720048X07005396,7
98,"Liang, EVR DiBella, RR Chen…",k‐t ISD: Dynamic cardiac MR imaging using compressed sensing with iterative support detection,120,2012, Wiley Online Library, Magnetic resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.23197,9
93,"Ishida, S Kato, H Sakuma",Cardiac MRI in ischemic heart disease,113,2009, jstage.jst.go.jp, Circulation Journal,https://www.jstage.jst.go.jp/article/circj/73/9/73_CJ-09-0524/_article/-char/ja/,7
59,"Poddar, M Jacob",Dynamic MRI using smoothness regularization on manifolds (SToRM),112,2015, ieeexplore.ieee.org, IEEE transactions on medical imaging,https://ieeexplore.ieee.org/abstract/document/7358161/,11
55,"Bustin, N Fuin, RM Botnar, C Prieto",From compressed-sensing to artificial intelligence-based cardiac MRI reconstruction,111,2020, frontiersin.org, Frontiers in cardiovascular …,https://www.frontiersin.org/articles/10.3389/fcvm.2020.00017/full?trk=public_post_comment-text,22
32,"Yoo, KH Jin, H Gupta, J Yerly…",Time-dependent deep image prior for dynamic MRI,104,2021, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9442767/,26
4,"Adluru, EVR DiBella…",Model‐based registration for dynamic cardiac perfusion MRI,100,2006, Wiley Online Library, … of Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.20756,5
36,"Zhang, AA Joseph, D Voit, S Schaetz…",Real-time magnetic resonance imaging of cardiac function and flow—recent progress,98,2014, ncbi.nlm.nih.gov, … imaging in medicine …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4213425/,9
86,"Luijkx, BK Velthuis, FJG Backx, CFM Buckens…",Anabolic androgenic steroid use is associated with ventricular dysfunction on cardiac MRI in strength trained athletes,89,2013, Elsevier, International journal of …,https://www.sciencedirect.com/science/article/pii/S016752731200277X,7
20,"Liu, H Hu, X Xu, E Song",Automatic left ventricle segmentation in cardiac MRI using topological stable-state thresholding and region restricted dynamic programming,87,2012, Elsevier, Academic radiology,https://www.sciencedirect.com/science/article/pii/S1076633212001006,7
89, Fernánde,Takotsubo cardiomyopathy: assessment with cardiac MRI,85,2010, Am Roentgen Ray Soc, American Journal of …,https://ajronline.org/doi/abs/10.2214/AJR.09.3369,6
33," Campbell‐Washburn, MA Tavallaei…",Real‐time MRI guidance of cardiac interventions,84,2017, Wiley Online Library, … Resonance Imaging,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.25749,10
52,"Ahmad, H Xue, S Giri, Y Ding, J Craft…",Variable density incoherent spatiotemporal acquisition (VISTA) for highly accelerated cardiac MRI,81,2015, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.25507,8
77,Mahapatra,Cardiac image segmentation from cine cardiac MRI using graph cuts and shape priors,76,2013, Springer, Journal of digital imaging,https://link.springer.com/article/10.1007/s10278-012-9548-5,6
24,"Kording, J Yamamura, MT De Sousa…",Dynamic fetal cardiovascular magnetic resonance imaging using Doppler ultrasound gating,75,2018, Elsevier, … of Cardiovascular …,https://www.sciencedirect.com/science/article/pii/S1097664723005549,11
9, Pettigrew,Dynamic cardiac MR imaging techniques and applications,69,1989, Elsevier, Radiologic Clinics of North America,https://www.sciencedirect.com/science/article/pii/S0033838922012052,2
27,"P van Amerom, DFA Lloyd, AN Price…",Fetal cardiac cine imaging using highly accelerated dynamic MRI with retrospective motion correction and outlier rejection,65,2018, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.26686,9
22," Roy, JFP van Amerom, D Marini…",Fetal cardiac MRI: a review of technical advancements,61,2019, journals.lww.com, … Magnetic Resonance …,https://journals.lww.com/topicsinmri/fulltext/2019/10000/fetal_cardiac_mri__a_review_of_technical.1.aspx,10
39,"Biglino, D Cosentino, JA Steeden, L De Nova…",Using 4D cardiovascular magnetic resonance imaging to validate computational fluid dynamics: a case study,60,2015, frontiersin.org, Frontiers in …,https://www.frontiersin.org/articles/10.3389/fped.2015.00107/full,6
91,"Brinegar, YJL Wu, LM Foley…","Real-time cardiac MRI without triggering, gating, or breath holding",59,2008, ieeexplore.ieee.org, 2008 30th Annual …,https://ieeexplore.ieee.org/abstract/document/4649931/,3
