Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
70," Lorenz, ES Walker, VL Morgan…","Normal human right and left ventricular mass, systolic function, and gender differences by cine magnetic resonance imaging",887,1999, Taylor & Francis, Journal of …,https://www.tandfonline.com/doi/abs/10.3109/10976649909080829,34
1," Pelc, RJ Herfkens, A Shimakawa…",Phase contrast cine magnetic resonance imaging,884,1991, researchgate.net, Magnetic resonance …,https://www.researchgate.net/profile/Norbert-Pelc/publication/21366072_Phase_Contrast_Cine_Magnetic_Resonance_Imaging/links/5556cdcb08ae980ca60c97aa/Phase-Contrast-Cine-Magnetic-Resonance-Imaging.pdf,26
33,"Sechtem, PW Pflugfelder, RG Gould, MM Cassidy…",Measurement of right and left ventricular volumes in healthy individuals with cine MR imaging.,525,1987, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiology.163.3.3575717,14
2," Larson, RD White, G Laub…",Self‐gated cardiac cine MRI,521,2004, Wiley Online Library, … in Medicine: An …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.10664,25
41," Semelka, E Tomei, S Wagner, J Mayo, C Kondo…",Normal left ventricular dimensions and function: interstudy reproducibility of measurements with cine MR imaging.,503,1990, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiology.174.3.2305059,14
4," Ghilezan, DA Jaffray, JH Siewerdsen…",Prostate gland motion assessed with cine-magnetic resonance imaging (cine-MRI),438,2005, Elsevier, International Journal of …,https://www.sciencedirect.com/science/article/pii/S0360301603022120,22
39,"Sakuma, N Fujita, TK Foo, GR Caputo, SJ Nelson…",Evaluation of left ventricular volume and mass with breath-hold cine MR imaging.,346,1993, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiology.188.2.8327681,11
7,"Sechtem, PW Pflugfelder, RD White…",Cine MR imaging: potential for the evaluation of cardiovascular function,343,1987, Am Roentgen Ray Soc, American Journal of …,https://ajronline.org/doi/abs/10.2214/ajr.148.2.239,9
18,"Isensee, PF Jaeger, PM Full, I Wolf…",Automatic cardiac disease assessment on cine-MRI via time-series segmentation and domain specific features,330,2018, Springer, Statistical Atlases and …,https://link.springer.com/chapter/10.1007/978-3-319-75541-0_13,47
19," Padhani, VS Khoo, J Suckling, JE Husband…",Evaluating the effect of rectal distension and rectal movement on prostate gland position using cine MRI,322,1999, Elsevier, International Journal of …,https://www.sciencedirect.com/science/article/pii/S0360301699000401,12
10,"Feng, MB Srichai, RP Lim, A Harrison…",Highly accelerated real‐time cardiac cine MRI using k–t SPARSE‐SENSE,281,2013, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.24440,23
50," Dulce, GH Mostbeck, KK Friese, GR Caputo…",Quantification of the left ventricular volumes and function with cine MR imaging: comparison of geometric models with three-dimensional data.,270,1993, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiology.188.2.8327680,8
21," McVeigh, E Atalar",Cardiac tagging with breath‐hold cine MRI,249,1992, Wiley Online Library, Magnetic Resonance in Medicine,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.1910280214,8
12," Larson, P Kellman, A Arai, GA Hirsch…",Preliminary investigation of respiratory self‐gating for free‐breathing segmented cine MRI,235,2005, Wiley Online Library, … in Medicine: An …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.20331,12
26,"Francone, S Dymarkowski, M Kalantzi…",Assessment of ventricular coupling with real-time cine MRI and its value to differentiate constrictive pericarditis from restrictive cardiomyopathy,227,2006, Springer, European …,https://link.springer.com/article/10.1007/s00330-005-0009-0,12
66," Dulce, GH Mostbeck, M O'sullivan, M Cheitlin…",Severity of aortic regurgitation: interstudy reproducibility of measurements with velocity-encoded cine MR imaging.,226,1992, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiology.185.1.1523315,7
58," Donnelly, SR Shott, CR LaRose…",… of persistent obstructive sleep apnea despite previous tonsillectomy and adenoidectomy in children with down syndrome as depicted on static and dynamic cine MRI,223,2004, Am Roentgen Ray Soc, American Journal of …,https://ajronline.org/doi/abs/10.2214/ajr.183.1.1830175,11
94,"Kondo, GR Caputo, T Masui, E Foster, M O'Sullivan…",Pulmonary hypertension: pulmonary flow quantification and flow profile analysis with velocity-encoded cine MR imaging.,204,1992, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiology.183.3.1584932,6
37,"Feng, JM Balter, D Normolle, S Adusumilli…",Characterization of pancreatic tumor motion using cine MRI: surrogates for tumor position should be used with caution,188,2009, Elsevier, International Journal of …,https://www.sciencedirect.com/science/article/pii/S0360301609001904,12
8,"Zhang, G Yang, Z Gao, C Xu, Y Zhang, R Shi…",Deep learning for diagnosis of chronic myocardial infarction on nonenhanced cardiac cine MRI,179,2019, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiol.2019182304,30
15,"Küstner, N Fuin, K Hammernik, A Bustin, H Qi…",CINENet: deep learning-based 3D cardiac CINE MRI reconstruction with multi-coil complex-valued 4D spatio-temporal convolutions,171,2020, nature.com, Scientific reports,https://www.nature.com/articles/s41598-020-70551-8,34
13,"Uribe, V Muthurangu, R Boubertakh…",Whole‐heart cine MRI using real‐time respiratory self‐gating,164,2007, Wiley Online Library, … in Medicine: An …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.21156,9
17," Liao, JM Pauly, TJ Brosnan…",Reduction of motion artifacts in cine MRI using variable‐density spiral trajectories,163,1997, Wiley Online Library, Magnetic resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.1910370416,6
3," Glover, NJ Pelc",A rapid-gated cine MRI technique,163,1988, inis.iaea.org, Magnetic resonance annual. 1988,https://inis.iaea.org/search/search.aspx?orig_q=RN:21006738,4
31,"Kim, HA Dyvorne, R Otazo, L Feng…",Accelerated phase‐contrast cine MRI using k‐t SPARSE‐SENSE,160,2012, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.23088,12
75," Friedman, PM Bonutti, B Genez",Cine magnetic resonance imaging of the subcoracoid region,157,1998, search.proquest.com, Orthopedics,https://search.proquest.com/openview/ef75459ea3a1077e3385445c7b617659/1?pq-origsite=gscholar&cbl=47931,6
11,"Takemoto, K Honda, S Masaki, Y Shimada…",Measurement of temporal changes in vocal tract area function from 3D cine-MRI data,151,2006, pubs.aip.org, The Journal of the …,https://pubs.aip.org/asa/jasa/article/119/2/1037/830427,8
55,"Chabiniok, P Moireau, PF Lesault…",Estimation of tissue contractility from cardiac cine-MRI using a biomechanical heart model,144,2012, Springer, … and modeling in …,https://link.springer.com/article/10.1007/s10237-011-0337-8,11
30,"Bistoquet, J Oshinski, O Škrinjar",Myocardial deformation recovery from cine MRI using a nearly incompressible biventricular model,144,2008, Elsevier, Medical image analysis,https://www.sciencedirect.com/science/article/pii/S1361841507001090,8
53,"Jung, J Park, J Yoo, JC Ye",Radial k‐t FOCUSS for high‐resolution cardiac cine MRI,141,2010, Wiley Online Library, Magnetic Resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.22172,9
36,"Wang, L Ying",Compressed sensing dynamic cardiac cine MRI using learned spatiotemporal dictionary,136,2013, ieeexplore.ieee.org, IEEE transactions on Biomedical Engineering,https://ieeexplore.ieee.org/abstract/document/6682996/,11
28,"Kellman, C Chefd'hotel, CH Lorenz…",High spatial and temporal resolution cardiac cine MRI from retrospective reconstruction of data acquired in real time using motion correction and resorting,135,2009, Wiley Online Library, … in Medicine: An …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.22153,8
9,"Francone, S Dymarkowski…",Real‐time cine MRI of ventricular septal motion: a novel approach to assess ventricular coupling,134,2005, Wiley Online Library, … Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.20259,7
16,"Stone, EP Davis, AS Douglas, M NessAiver…",Modeling the motion of the internal tongue from tagged cine-MRI images,133,2001, pubs.aip.org, The Journal of the …,https://pubs.aip.org/asa/jasa/article-abstract/109/6/2974/547804,6
95,"Kirilova, G Lockwood, P Choi, N Bana…",Three-dimensional motion of liver tumors using cine-magnetic resonance imaging,133,2008, Elsevier, International Journal of …,https://www.sciencedirect.com/science/article/pii/S0360301607045932,8
32," Veress, GT Gullberg, JA Weiss",Measurement of strain in the left ventricle during diastole with cine-MRI and deformable image registration,130,2005, asmedigitalcollection.asme.org,,https://asmedigitalcollection.asme.org/biomechanical/article-abstract/127/7/1195/476929,6
40," Sandino, P Lai, SS Vasanawala…",Accelerating cardiac cine MRI using a deep learning‐based ESPIRiT reconstruction,124,2021, Wiley Online Library, Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.28420,31
14,"Hiba, N Richard, M Janier…",Cardiac and respiratory double self‐gated cine MRI in the mouse at 7 T,122,2006, Wiley Online Library, Magnetic Resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.20815,6
