Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
19,"Van Oevelen, M Peiffer, A Chevalier, J Victor…",The relation between meniscal dynamics and tibiofemoral kinematics,0,2024, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-024-59265-3,0
22,"Dunning, SAW van de Groes, CF Buckens, M Prokop…",Fully automatic extraction of knee kinematics from dynamic CT imaging; normative tibiofemoral and patellofemoral kinematics of 100 healthy volunteers,5,2023, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016022002216,2
49,"Siegel, P Maier, E Taghizadeh, A Fuchs…",Change in Descriptive Kinematic Parameters of Patients with Patellofemoral Instability When Compared to Individuals with Healthy Knees—A 3D MRI In Vivo …,6,2023, mdpi.com, Journal of Clinical …,https://www.mdpi.com/2077-0383/12/5/1917,3
43,"Nishida, C Xu, T Gale, W Anderst…",Symmetry and sex differences in knee kinematics and ACL elongation in healthy collegiate athletes during high‐impact activities revealed through dynamic biplane …,10,2022, Wiley Online Library, Journal of Orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.25162,3
51," Petersen, S Rytter, D Koppens, J Dalsgaard…",Patients with knee osteoarthritis can be divided into subgroups based on tibiofemoral joint kinematics of gait–an exploratory and dynamic radiostereometric …,16,2022, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458421009420,5
70,"Yamamoto, H Taneichi, Y Seo…",MRI-based kinematics of the menisci through full knee range of motion,6,2021, journals.sagepub.com, Journal of …,https://journals.sagepub.com/doi/abs/10.1177/23094990211017349,2
38,"Tashman, P Zandiyeh, JJ Irrgang, V Musahl…",Anatomic single-and double-bundle ACL reconstruction both restore dynamic knee function: a randomized clinical trial—part II: knee kinematics,25,2021, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-021-06479-x,6
98,"Charbonnier, VB Duthon, S Chagué, FC Kolo…",In vivo static and dynamic lengthening measurements of the posterior cruciate ligament at high knee flexion angles,9,2020, Springer, International Journal of …,https://link.springer.com/article/10.1007/s11548-019-02107-9,2
36," Lansdown, CB Ma",Clinical utility of advanced imaging of the knee,11,2020, Wiley Online Library, Journal of Orthopaedic Research®,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.24462,2
11,"Conconi, N Sancisi…",Prediction of individual knee kinematics from an MRI representation of the articular surfaces,8,2020, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9172123/,2
55,"Garetier, B Borotikar, K Makki, S Brochard…","Dynamic MRI for articulating joint evaluation on 1.5 T and 3.0 T scanners: setup, protocols, and real-time sequences",22,2020, Springer, Insights into …,https://link.springer.com/article/10.1186/s13244-020-00868-5,4
79,"Nardini, C Belvedere, N Sancisi, M Conconi…",An anatomical-based subject-specific model of in-vivo knee joint 3D kinematics from medical imaging,33,2020, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/10/6/2100,7
35,"Barzan, L Modenese, CP Carty, S Maine…",Development and validation of subject-specific pediatric multibody knee kinematic models with ligamentous constraints,25,2019, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929019304415,4
37," Smale, M Conconi, N Sancisi, M Krogsgaard…",Effect of implementing magnetic resonance imaging for patient-specific OpenSim models on lower-body kinematics and knee ligament lengths,31,2019, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929018308510,5
33,"Makki, B Borotikar, M Garetier, S Brochard…",In vivo ankle joint kinematics from dynamic magnetic resonance imaging using a registration-based framework,22,2019, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929019301356,4
99," Scarvell, CR Galvin, DM Perriman, JT Lynch…",Kinematics of knees with osteoarthritis show reduced lateral femoral roll-back and maintain an adducted position. A systematic review of research using …,12,2018, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929018303555,2
75," Nielsen, K Stent",Influence of the anterolateral ligament on knee laxity: a biomechanical cadaveric study measuring knee kinematics in 6 degrees of freedom using dynamic …,37,2018, journals.sagepub.com, … journal of sports …,https://journals.sagepub.com/doi/abs/10.1177/2325967118789699,5
48,"Mazzoli, J Schoormans, M Froeling…",Accelerated 4D self‐gated MRI of tibiofemoral kinematics,16,2017, Wiley Online Library, NMR in …,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/nbm.3791,2
59,"Mahmoudian, JH van Dieёn, SM Bruijn, IAC Baert…",Dynamic and static knee alignment at baseline predict structural abnormalities on MRI associated with medial compartment knee osteoarthritis after 2 years,17,2017, Elsevier, Gait & Posture,https://www.sciencedirect.com/science/article/pii/S0966636217302060,2
45,"Guenoun, J Vaccaro, T Le Corroller…",A dynamic study of the anterior cruciate ligament of the knee using an open MRI,20,2017, Springer, Surgical and Radiologic …,https://link.springer.com/article/10.1007/s00276-016-1730-x,2
3,"Haug, DL Weber, D Haddad, P Böhm…",Dynamic MRI assessment of normal knee kinematics,3,2017, researchgate.net, J. Clin. Exp …,https://www.researchgate.net/profile/Maximilian-Rudert/publication/322066270_Dynamic_MRI_Assessment_of_Normal_Knee_Kinematics/links/5c57153f92851c22a3a66214/Dynamic-MRI-Assessment-of-Normal-Knee-Kinematics.pdf,0
87," Chang, JS Chmiel, O Almagor, A Guermazi…",Association of baseline knee sagittal dynamic joint stiffness during gait and 2-year patellofemoral cartilage damage worsening in knee osteoarthritis,31,2017, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458416303120,4
14," Kaiser, MF Vignos, R Kijowski…",Effect of loading on in vivo tibiofemoral and patellofemoral kinematics of healthy and ACL-reconstructed knees,29,2017, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546517724417,4
