Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
45," Brisson, JF Oliveira, M Krämer…",Repeatability of knee joint motion during different load/speed protocols performed using a specialized device for dynamic magnetic resonance imaging,0,2024, oarsijournal.com, Osteoarthritis and …,https://www.oarsijournal.com/article/S1063-4584(24)00564-8/abstract,0
93,"Dalos, PR Marshall, M Lissy, KJ Maas…",Influence of leg axis alignment on MRI T2* mapping of the knee in young professional soccer players,0,2024, Springer, BMC Musculoskeletal …,https://link.springer.com/article/10.1186/s12891-024-07233-3,0
61," Nielsen, FB Sørensen, N Egund…",Bone marrow lesions in knee osteoarthritis assessed by dynamic contrast-enhanced MRI with histopathological correlations,0,2024, journals.sagepub.com, Acta …,https://journals.sagepub.com/doi/abs/10.1177/02841851241251639,0
18,"Conconi, F De Carli, M Berni, N Sancisi…",In-Vivo Quantification of Knee Deep-Flexion in Physiological Loading Condition trough Dynamic MRI,1,2023, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/13/1/629,0
82,"Dunning, SAW van de Groes, CF Buckens, M Prokop…",Fully automatic extraction of knee kinematics from dynamic CT imaging; normative tibiofemoral and patellofemoral kinematics of 100 healthy volunteers,5,2023, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016022002216,2
40,"Lin, S Peng, S Lu, S Fu, D Zeng, J Li, T Chen…",Prediction of knee pain improvement over two years for knee osteoarthritis using a dynamic nomogram based on MRI-derived radiomics: a proof-of-concept …,10,2023, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458422008949,5
63,"Aleksiev, M Kraemer, NM Brisson…",High-resolution CINE imaging of active guided knee motion using continuously acquired golden-angle radial MRI and rotary sensor information,2,2022, Elsevier, Magnetic Resonance …,https://www.sciencedirect.com/science/article/pii/S0730725X22001096,1
30," Brisson, M Krämer, LAN Krahl, A Schill…",A novel multipurpose device for guided knee motion and loading during dynamic magnetic resonance imaging,2,2022, Elsevier, … für Medizinische Physik,https://www.sciencedirect.com/science/article/pii/S093938892100115X,1
29," MacKay, FS Nezhad, T Rifai, JD Kaggie…","Dynamic contrast-enhanced MRI of synovitis in knee osteoarthritis: repeatability, discrimination and sensitivity to change in a prospective experimental study",15,2021, Springer, European …,https://link.springer.com/article/10.1007/s00330-021-07698-z,4
80,"Liu, X Shen, Q Ji, J Xiao, J Zuo, Z Gao",The MRI-based 3D morphologic changes of knee meniscus under knee weight-bearing and early flexion conditions,7,2021, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-021-01531-9,2
46,"Shimozaki, J Nakase, K Asai, R Yoshimizu…",Usefulness of ultrasonography for dynamic evaluation of medial meniscus hoop function in early knee osteoarthritis,13,2021, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-021-99576-3,3
43," Huang, YJ Peng, DW Hwang, HS Lee…",… plasma treatment in an ACLT experimental model by dynamic contrast enhancement MRI of knee subchondral bone marrow and MRI T2∗ measurement of …,16,2021, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458421000340,4
58," Lansdown, CB Ma",Clinical utility of advanced imaging of the knee,11,2020, Wiley Online Library, Journal of Orthopaedic Research®,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.24462,2
74,"Ishii, Y Nakashima, M Ishikawa, T Sunagawa…",Dynamic ultrasonography of the medial meniscus during walking in knee osteoarthritis,23,2020, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016020301368,5
37," Chaudhari, F Kogan, V Pedoia…",Rapid knee MRI acquisition and analysis techniques for imaging osteoarthritis,53,2020, Wiley Online Library, Journal of Magnetic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.26991,11
49," Recht, J Zbontar, DK Sodickson…",Using deep learning to accelerate knee MRI at 3 T: results of an interchangeability study,127,2020, Am Roentgen Ray Soc, American Journal of …,https://ajronline.org/doi/abs/10.2214/AJR.20.23313,25
70,"Said, J Schock, N Krämer, J Thüring…",An MRI-compatible varus–valgus loading device for whole-knee joint functionality assessment based on compartmental compression: A proof-of-concept …,10,2020, Springer, … Resonance Materials in …,https://link.springer.com/article/10.1007/s10334-020-00844-6,2
73,"Pezzotti, S Yousefi, MS Elmahdy…",An adaptive intelligence algorithm for undersampled knee MRI reconstruction,88,2020, ieeexplore.ieee.org, IEEE …,https://ieeexplore.ieee.org/abstract/document/9241039/,18
51," Daugaard, M Henriksen, RGC Riis, E Bandak…",The impact of a significant weight loss on inflammation assessed on DCE-MRI and static MRI in knee osteoarthritis: a prospective cohort study,15,2020, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458420309122,3
22," de Vries, RA van der Heijden, J Verschueren…",Quantitative subchondral bone perfusion imaging in knee osteoarthritis using dynamic contrast enhanced MRI,16,2020, Elsevier, Seminars in Arthritis and …,https://www.sciencedirect.com/science/article/pii/S0049017219301593,3
85,"Watkins, J MacKay, B Haddock, V Mazzoli, S Uhlrich…",Evaluating the relationship between dynamic Na [18F] F-uptake parameters and MRI knee osteoarthritic findings,4,2020, Soc Nuclear Med,,https://jnm.snmjournals.org/content/61/supplement_1/182.short,1
72," Smale, M Conconi, N Sancisi, M Krogsgaard…",Effect of implementing magnetic resonance imaging for patient-specific OpenSim models on lower-body kinematics and knee ligament lengths,31,2019, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929018308510,5
91,"Karpinski, T Diermeier, L Willinger, AB Imhoff…",No dynamic extrusion of the medial meniscus in ultrasound examination in patients with confirmed root tear lesion,45,2019, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-018-5341-4,8
35,"Özdemir, A Turan",… medial meniscal extrusion determined by dynamic ultrasound and magnetic resonance imaging findings of medial‐type knee osteoarthritis in patients with knee pain,16,2019, Wiley Online Library, Journal of Ultrasound in Medicine,https://onlinelibrary.wiley.com/doi/abs/10.1002/jum.14976,3
97," Stephen, R Sopher, S Tullie, AA Amis, S Ball…","The infrapatellar fat pad is a dynamic and mobile structure, which deforms during knee motion, and has proximal extensions which wrap around the patella",41,2018, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-018-4943-1,6
25,"Bruno, A Barile, F Arrigoni, A Laporta…",Weight-bearing MRI of the knee: a review of advantages and limits,53,2018, ncbi.nlm.nih.gov, Acta Bio Medica …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6179065/,8
39,"Jin, E Weber, A Destruel, K O'Brien…",An open 8‐channel parallel transmission coil for static and dynamic 7T MRI of the knee and ankle joints at multiple postures,31,2018, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.26804,4
89,"Masuda, T Furumatsu, Y Okazaki, Y Kodama…",Medial meniscus posterior root tear induces pathological posterior extrusion of the meniscus in the knee-flexed position: an open magnetic resonance …,52,2018, Elsevier, … & Traumatology: Surgery …,https://www.sciencedirect.com/science/article/pii/S1877056818301026,7
50,"Michelini, A Corridore, S Torlone…",Dynamic MRI in the evaluation of the spine: state of the art,68,2018, ncbi.nlm.nih.gov, Acta Bio Medica …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6179074/,10
56,"Sujlana, J Skrok, LM Fayad",Review of dynamic contrast‐enhanced MRI: technical aspects and applications in the musculoskeletal system,67,2018, Wiley Online Library, Journal of Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.25810,10
55,"C Riis, M Henriksen, L Klokker, C Bartholdy…",… glucocorticoids and exercise on pain and synovitis assessed on static and dynamic magnetic resonance imaging in knee osteoarthritis: exploratory outcomes …,26,2017, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458416303223,3
4,"Guenoun, J Vaccaro, T Le Corroller…",A dynamic study of the anterior cruciate ligament of the knee using an open MRI,20,2017, Springer, Surgical and Radiologic …,https://link.springer.com/article/10.1007/s00276-016-1730-x,2
7,"Haug, DL Weber, D Haddad, P Böhm…",Dynamic MRI assessment of normal knee kinematics,3,2017, researchgate.net, J. Clin. Exp …,https://www.researchgate.net/profile/Maximilian-Rudert/publication/322066270_Dynamic_MRI_Assessment_of_Normal_Knee_Kinematics/links/5c57153f92851c22a3a66214/Dynamic-MRI-Assessment-of-Normal-Knee-Kinematics.pdf,0
75," Budzik, J Ding, L Norberciak, T Pascart…",Perfusion of subchondral bone marrow in knee osteoarthritis: A dynamic contrast-enhanced magnetic resonance imaging preliminary study,28,2017, Elsevier, European Journal of …,https://www.sciencedirect.com/science/article/pii/S0720048X1630417X,4
79,Marque,Variability in patellofemoral alignment measurements on MRI: influence of knee position,39,2017, Am Roentgen Ray Soc, American Journal of …,https://ajronline.org/doi/abs/10.2214/AJR.16.17007,5
