Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
80,AJ Threlkeld,The effects of manual therapy on connective tissue,322,1992, academic.oup.com, Physical therapy,https://academic.oup.com/ptj/article-abstract/72/12/893/2728889,9
11,M Rocabado,Arthrokinematics of the temporomandibular joint,131,1983, Elsevier, Dental Clinics of North America,https://www.sciencedirect.com/science/article/pii/S0011853222023060,3
2,"P Van Roy, JP Baeyens, D Fauvart, R Lanssiers…",Arthro-kinematics of the elbow: study of the carrying angle,88,2005, Taylor & Francis, Ergonomics,https://www.tandfonline.com/doi/abs/10.1080/00140130500101361,4
31,"B Wang, KE Roach, AL Kapron, NM Fiorentino…",Accuracy and feasibility of high-speed dual fluoroscopy and model-based tracking to measure in vivo ankle arthrokinematics,73,2015, Elsevier, Gait & posture,https://www.sciencedirect.com/science/article/pii/S0966636215000776,7
16,"DS Teyhen, TW Flynn, JD Childs…",Arthrokinematics in a subgroup of patients likely to benefit from a lumbar stabilization exercise program,71,2007, academic.oup.com, Physical Therapy,https://academic.oup.com/ptj/article-abstract/87/3/313/2742124,4
44,"PJ Royer, EJ Kane, KE Parks, JC Morrow…",Fluoroscopic assessment of rotator cuff fatigue on glenohumeral arthrokinematics in shoulder impingement syndrome,64,2009, Elsevier, Journal of shoulder and …,https://www.sciencedirect.com/science/article/pii/S1058274609001414,4
19,"AL Kapron, SK Aoki, CL Peters, AE Anderson",In-vivo hip arthrokinematics during supine clinical exams: Application to the study of femoroacetabular impingement,58,2015, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929015002420,5
17,"JP Baeyens, F Van Glabbeek, M Goossens…",In vivo 3D arthrokinematics of the proximal and distal radioulnar joints during active pronation and supination,57,2006, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S0268003305002226,3
25,"MC Hoch, DR Mullineaux…",Effect of a 2-week joint-mobilization intervention on single-limb balance and ankle arthrokinematics in those with chronic ankle instability,50,2014, journals.humankinetics.com, Journal of sport …,https://journals.humankinetics.com/view/journals/jsr/23/1/article-p18.xml,4
93,"D Bączkowicz, K Falkowski, E Majorczyk",Assessment of relationships between joint motion quality and postural control in patients with chronic ankle joint instability,39,2017, jospt.org, journal of orthopaedic & sports …,https://www.jospt.org/doi/abs/10.2519/jospt.2017.6836,4
1,"JK Loudon, SL Bell",The foot and ankle: an overview of arthrokinematics and selected joint techniques,38,1996, ncbi.nlm.nih.gov, Journal of athletic training,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1318451/,1
7,"C Yang, Y Tashiro, A Lynch, F Fu, W Anderst",Kinematics and arthrokinematics in the chronic ACL-deficient knee are altered even in the absence of instability symptoms,36,2018, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-017-4780-7,4
86,"CA Marsh, DE Martin, CD Harner…",Effect of posterior horn medial meniscus root tear on in vivo knee kinematics,33,2014, journals.sagepub.com, … journal of sports …,https://journals.sagepub.com/doi/abs/10.1177/2325967114541220,3
4,"D Bączkowicz, K Kręcisz, Z Borysiuk",Analysis of patellofemoral arthrokinematic motion quality in open and closed kinetic chains using vibroarthrography,27,2019, Springer, BMC Musculoskeletal Disorders,https://link.springer.com/article/10.1186/s12891-019-2429-z,4
3,"D Bączkowicz, G Skiba, K Falkowski…",Effects of immobilization and re-mobilization on knee joint arthrokinematic motion quality,24,2020, mdpi.com, Journal of Clinical …,https://www.mdpi.com/2077-0383/9/2/451,4
55,"JDO Barceinas-Sanchez, M Alvarez-Vera…",The coefficient of friction of UHMWPE along an entire walking cycle using a ball-on-disc tribometer under arthrokinematics and loading conditions prescribed by ISO …,23,2017, Elsevier, Journal of the …,https://www.sciencedirect.com/science/article/pii/S1751616116303009,3
38,"A Kogure, K Kotani, S Katada, H Takagi…","A randomized, single-blind, placebo-controlled study on the efficacy of the arthrokinematic approach-hakata method in patients with chronic nonspecific low …",22,2015, journals.plos.org, PLoS …,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0144325,2
43,"E Cattrysse, JP Baeyens, P Van Roy, O Van de Wiele…",Intra-articular kinematics of the upper limb joints: a six degrees of freedom study of coupled motions,21,2005, Taylor & Francis, Ergonomics,https://www.tandfonline.com/doi/abs/10.1080/00140130500101189,1
