Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
69," Lundervold, A Lundervold",An overview of deep learning in medical imaging focusing on MRI,1925,2019, Elsevier, Zeitschrift für Medizinische Physik,https://www.sciencedirect.com/science/article/pii/S0939388918301181,321
77, Logothetis,The underpinnings of the BOLD functional magnetic resonance imaging signal,1294,2003, Soc Neuroscience, Journal of Neuroscience,https://www.jneurosci.org/content/23/10/3963.short,59
70," Preti, TAW Bolton, D Van De Ville",The dynamic functional connectome: State-of-the-art and perspectives,1208,2017, Elsevier, Neuroimage,https://www.sciencedirect.com/science/article/pii/S1053811916307881,151
25, Glover,Overview of functional magnetic resonance imaging,1126,2011, neurosurgery.theclinics.com, Neurosurgery Clinics,https://www.neurosurgery.theclinics.com/article/S1042-3680(10)00112-9/abstract,80
20,"Cha, EA Knopp, G Johnson, SG Wetzel, AW Litt…",Intracranial mass lesions: dynamic contrast-enhanced susceptibility-weighted echo-planar perfusion MR imaging,786,2002, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiol.2231010594,34
26,"Reimer, T Balzer","Ferucarbotran (Resovist): a new clinically approved RES-specific contrast agent for contrast-enhanced MRI of the liver: properties, clinical development, and …",610,2003, Springer, European radiology,https://link.springer.com/article/10.1007/s00330-002-1721-7,28
12," Choyke, AJ Dwyer, MV Knopp",Functional tumor imaging with dynamic contrast‐enhanced magnetic resonance imaging,556,2003, Wiley Online Library, … of Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.10304,25
87,"Lv, Z Wang, E Tong, LM Williams…",Resting-state functional MRI: everything that nonexperts have always wanted to know,531,2018, Am Soc Neuroradiology, American Journal …,https://www.ajnr.org/content/39/8/1390.abstract,76
2," Sourbron, DL Buckley",Classic models for dynamic contrast‐enhanced MRI,490,2013, Wiley Online Library, NMR in Biomedicine,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/nbm.2940,41
56," Sourbron, DL Buckley",Tracer kinetic modelling in MRI: estimating perfusion and capillary permeability,446,2011, iopscience.iop.org, Physics in Medicine & Biology,https://iopscience.iop.org/article/10.1088/0031-9155/57/2/R1/meta,32
57,"Essig, MS Shiroishi, TB Nguyen…",Perfusion MRI: the five most frequently asked technical questions,432,2013, Am Roentgen Ray Soc, American journal of …,https://ajronline.org/doi/abs/10.2214/AJR.12.9543,36
72," Dhermain, P Hau, H Lanfermann…",Advanced MRI and PET imaging for assessment of treatment response in patients with gliomas,419,2010, thelancet.com, The Lancet …,https://www.thelancet.com/journals/lancet/article/PIIS1474-4422(10)70181-2/abstract,28
28, Kuhl,MRI of breast tumors,403,2000, Springer, European radiology,https://link.springer.com/article/10.1007/s003300050006,16
58,"Sala, AG Rockall, SJ Freeman, DG Mitchell…",The added role of MR imaging in treatment stratification of patients with gynecologic malignancies: what the radiologist needs to know,402,2013, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiol.12120315,34
6,"B O'connor, A Jackson, GJM Parker…",Dynamic contrast-enhanced MRI in clinical trials of antivascular therapies,400,2012, nature.com, Nature reviews Clinical …,https://www.nature.com/articles/nrclinonc.2012.2,31
16," Plewes, W Kucharczyk",Physics of MRI: a primer,397,2012, Wiley Online Library, … of magnetic resonance imaging,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.23642,31
40,"Reimer, G Schneider, W Schima","Hepatobiliary contrast agents for contrast-enhanced MRI of the liver: properties, clinical development and applications",395,2004, Springer, European radiology,https://link.springer.com/article/10.1007/s00330-004-2236-1,19
43," Ringe, DB Husarik, CB Sirlin…","Gadoxetate disodium–enhanced MRI of the liver: part 1, protocol optimization and lesion appearance in the noncirrhotic liver",392,2010, Am Roentgen Ray Soc, American Journal of …,https://ajronline.org/doi/abs/10.2214/AJR.10.4392,26
8," Heye, RD Culling, MCV Hernández…",Assessment of blood–brain barrier disruption using dynamic contrast-enhanced MRI. A systematic review,384,2014, Elsevier, NeuroImage: Clinical,https://www.sciencedirect.com/science/article/pii/S2213158214001387,35
74,"Sala, S Wakely, E Senior…",MRI of malignant neoplasms of the uterine corpus and cervix,372,2007, Am Roentgen Ray Soc, American Journal of …,https://ajronline.org/doi/abs/10.2214/AJR.06.1196,21
98," Keshari, DM Wilson",Chemistry and biochemistry of 13 C hyperpolarized magnetic resonance using dynamic nuclear polarization,372,2014, pubs.rsc.org, Chemical Society Reviews,https://pubs.rsc.org/en/content/articlehtml/2014/cs/c3cs60124b,34
7,"Verma, B Turkbey, N Muradyan…",Overview of dynamic contrast-enhanced MRI in prostate cancer diagnosis and management,370,2012, Am Roentgen Ray Soc, American Journal of …,https://ajronline.org/doi/abs/10.2214/AJR.12.8510,28
95,"Barrett, M Brechbiel, M Bernardo…",MRI of tumor angiogenesis,353,2007, Wiley Online Library, … Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.20991,20
24,"Khalifa, A Soliman, A El‐Baz…",Models and methods for analyzing DCE‐MRI: A review,343,2014, Wiley Online Library, Medical …,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1118/1.4898202,31
36," Jaspan, R Fleysher, ML Lipton",Compressed sensing MRI: a review of the clinical literature,342,2015, birpublications.org, The British journal of …,https://www.birpublications.org/doi/abs/10.1259/bjr.20150487,34
79,"Stoker, S Halligan, CI Bartram",Pelvic floor imaging,341,2001, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiology.218.3.r01mr26621,14
4," Zahra, KG Hollingsworth, E Sala, DJ Lomas…",Dynamic contrast-enhanced MRI as a predictor of tumour response to radiotherapy,334,2007, thelancet.com, The lancet …,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(06)71012-9/fulltext,19
78, Buxton,The physics of functional magnetic resonance imaging (fMRI),332,2013, iopscience.iop.org, Reports on Progress in Physics,https://iopscience.iop.org/article/10.1088/0034-4885/76/9/096601/meta,28
1," Kuhl, HH Schild",Dynamic image interpretation of MRI of the breast,321,2000, Wiley Online Library, Journal of Magnetic Resonance Imaging,https://onlinelibrary.wiley.com/doi/abs/10.1002/1522-2586(200012)12:6%3C965::AID-JMRI23%3E3.0.CO;2-1,13
