Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
63,"Xia, J Sun, L Zhao, F Zhang, XJ Liang, Y Guo…",Magnetic field and nano-scaffolds with stem cells to enhance bone regeneration,243,2018, Elsevier, Biomaterials,https://www.sciencedirect.com/science/article/pii/S0142961218305957,35
43," Atkins, BT Mackiewich",Fully automatic segmentation of the brain in MRI,613,1998, ieeexplore.ieee.org, IEEE transactions on medical …,https://ieeexplore.ieee.org/abstract/document/668699/,23
19,"Vedi, E Spouse, A Williams…",Meniscal movement: an in-vivo study using dynamic MRI,529,1999, boneandjoint.org.uk, The Journal of Bone …,https://boneandjoint.org.uk/article/10.1302/0301-620x.81b1.0810037,20
38," Shaha, JB Cook, DJ Rowles, CR Bottoni, SH Shaha…",Clinical validation of the glenoid track concept in anterior glenohumeral instability,175,2016, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2016/11160/clinical_validation_of_the_glenoid_track_concept.8.aspx,19
23,"Baraliakos, J Listing, M Rudwaleit, J Sieper…",The relationship between inflammation and new bone formation in patients with ankylosing spondylitis,303,2008, Springer, Arthritis research & …,https://link.springer.com/article/10.1186/ar2496,18
73,"Caliva, C Iriondo, AM Martinez, S Majumdar…",Distance map loss penalty term for semantic segmentation,101,2019, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1908.03679,17
75," Anderson, J Glod, AS Arbab, M Noel, P Ashari…",Noninvasive MR imaging of magnetically labeled stem cells to directly identify neovasculature in a glioma model,330,2005, ashpublications.org, Blood,https://ashpublications.org/blood/article-abstract/105/1/420/20010,16
4, Wehrli,Structural and functional assessment of trabecular and cortical bone by micro magnetic resonance imaging,269,2007, Wiley Online Library, … Magnetic Resonance Imaging: An Official Journal …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.20807,15
3,"Chang, S Boone, D Martel…",MRI assessment of bone structure and microarchitecture,114,2017, Wiley Online Library, … Resonance Imaging,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.25647,14
64," Hasan, R Teo, A Nather","Negative-pressure wound therapy for management of diabetic foot wounds: a review of the mechanism of action, clinical applications, and recent developments",132,2015, Taylor & Francis, Diabetic foot & ankle,https://www.tandfonline.com/doi/abs/10.3402/dfa.v6.27618,13
65," Frobell, MP Le Graverand, R Buck, EM Roos…","The acutely ACL injured knee assessed by MRI: changes in joint fluid, bone marrow lesions, and cartilage during the first year",201,2009, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458408002252,13
30,"Jendelová, V Herynek, J DeCroos…",Imaging the fate of implanted bone marrow stromal cells labeled with superparamagnetic nanoparticles,270,2003, Wiley Online Library, … in Medicine: An …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.10585,12
53,"Rathnayaka, KI Momot, H Noser, A Volp…",Quantification of the accuracy of MRI generated 3D models of long bones compared to CT generated 3D models,158,2012, Elsevier, Medical engineering & …,https://www.sciencedirect.com/science/article/pii/S1350453311001925,12
57,"Moro‐oka, S Hamai, H Miura…",Dynamic activity dependence of in vivo normal knee kinematics,208,2008, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20488,12
21," You, P Siy, W Anderst…",In vivo measurement of 3-D skeletal kinematics from sequences of biplane radiographs: application to knee kinematics,263,2001, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/929617/,11
85," Thali, K Yen, P Vock, C Ozdoba…",… findings of gunshot victims performed with multi-slice computed tomography (MSCT) and magnetic resonance imaging (MRI) and subsequent correlation …,252,2003, Elsevier, Forensic science …,https://www.sciencedirect.com/science/article/pii/S0379073803002251,11
68," Amis, C Oguz, AMJ Bull…",The effect of trochleoplasty on patellar stability and kinematics: a biomechanical study in vitro,185,2008, boneandjoint.org.uk, The Journal of Bone …,https://boneandjoint.org.uk/article/10.1302/0301-620x.90b7.20447,11
79,"A SykovÁ, P Jendelová",Magnetic resonance tracking of implanted adult and embryonic stem cells in injured brain and spinal cord,192,2005, Wiley Online Library, Annals of the New York Academy …,https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1196/annals.1334.014,10
89," Bey, SK Kline, S Tashman, R Zauel",Accuracy of biplane x-ray imaging combined with model-based tracking for measuring in-vivo patellofemoral joint motion,132,2008, Springer, Journal of orthopaedic surgery …,https://link.springer.com/article/10.1186/1749-799X-3-38,8
39,"Wu, J Hu, L Zhou, Y Mao, B Yang, L Gao, R Xie…",In vivo tracking of superparamagnetic iron oxide nanoparticle–labeled mesenchymal stem cell tropism to malignant gliomas using magnetic resonance imaging,132,2008, thejns.org, Journal of …,https://thejns.org/view/journals/j-neurosurg/108/2/article-p320.xml,8
