Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
7," Malkov, DA Yashunin",Efficient and robust approximate nearest neighbor search using hierarchical navigable small world graphs,1297,2018, ieeexplore.ieee.org, IEEE transactions on pattern …,https://ieeexplore.ieee.org/abstract/document/8594636/,185
61,"Beygelzimer, S Kakade, J Langford",Cover trees for nearest neighbor,1124,2006, dl.acm.org, Proceedings of the 23rd …,https://dl.acm.org/doi/abs/10.1145/1143844.1143857,59
27, Austin,A comparison of 12 algorithms for matching on the propensity score,977,2014, Wiley Online Library, Statistics in medicine,https://onlinelibrary.wiley.com/doi/abs/10.1002/sim.6004,89
34,"Hinneburg, CC Aggarwal, DA Keim",What is the nearest neighbor in high dimensional spaces?,813,0,konstanz.de,,https://kops.uni-konstanz.de/handle/123456789/5849,0
63,"Korn, S Muthukrishnan",Influence sets based on reverse nearest neighbor queries,792,2000, dl.acm.org, ACM Sigmod Record,https://dl.acm.org/doi/abs/10.1145/335191.335415,32
25," Han, G Karypis, V Kumar",Text Categorization Using Weight Adjusted k-Nearest Neighbor Classification,669,2001, Springer, … in Knowledge Discovery and Data Mining …,https://link.springer.com/chapter/10.1007/3-540-45357-1_9,28
37,"Arya, DM Mount",Approximate nearest neighbor queries in fixed dimensions.,643,1993, Citeseer, SODA,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8d360171533201c6883c26ec889f5a56864c0c98,20
66,"Ge, K He, Q Ke, J Sun",Optimized product quantization for approximate nearest neighbor search,470,2013, openaccess.thecvf.com, Proceedings of the IEEE …,http://openaccess.thecvf.com/content_cvpr_2013/html/Ge_Optimized_Product_Quantization_2013_CVPR_paper.html,39
74, Friedman,Flexible metric nearest neighbor classification,452,1994, Citeseer,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8d186dab7db4090ee10bc165579651c2aca1c8c0,15
50," Rassen, AA Shelat, J Myers…",One‐to‐many propensity score matching in cohort studies,438,2012, Wiley Online Library, … and drug safety,https://onlinelibrary.wiley.com/doi/abs/10.1002/pds.3263,34
31,"Shafique, M Shah",A noniterative greedy algorithm for multiframe point correspondence,436,2005, ieeexplore.ieee.org, IEEE transactions on pattern analysis …,https://ieeexplore.ieee.org/abstract/document/1359751/,22
13,"Gutin, A Yeo, A Zverovich",Traveling salesman should not be greedy: domination analysis of greedy-type heuristics for the TSP,405,2002, Elsevier, Discrete Applied Mathematics,https://www.sciencedirect.com/science/article/pii/S0166218X01001950,18
92,"Li, Y Zhang, Y Sun, W Wang, M Li…","Approximate nearest neighbor search on high dimensional data—experiments, analyses, and improvement",375,2019, ieeexplore.ieee.org, … on Knowledge and …,https://ieeexplore.ieee.org/abstract/document/8681160/,62
52,"Wettschereck, TG Dietterich",An experimental comparison of the nearest-neighbor and nearest-hyperrectangle algorithms,372,1995, Springer, Machine learning,https://link.springer.com/article/10.1007/BF00994658,12
6,"Malkov, A Ponomarenko, A Logvinov, V Krylov",Approximate nearest neighbor algorithm based on navigable small world graphs,362,2014, Elsevier, Information Systems,https://www.sciencedirect.com/science/article/pii/S0306437913001300,33
72,"Lu, Y Shen, S Chen, BC Ooi",Efficient processing of k nearest neighbor joins using mapreduce,360,2012, arxiv.org, arXiv preprint arXiv:1207.0141,https://arxiv.org/abs/1207.0141,28
98, Clarkson,Nearest-neighbor searching and metric space dimensions,329,2006, direct.mit.edu,,https://direct.mit.edu/books/edited-volume/chapter-pdf/2302088/9780262256957_cab.pdf,17
23,"Fu, C Xiang, C Wang, D Cai",Fast approximate nearest neighbor search with the navigating spreading-out graph,281,2017, arxiv.org, arXiv preprint arXiv:1707.00143,https://arxiv.org/abs/1707.00143,35
20,"Hajebi, Y Abbas",Fast approximate nearest-neighbor search with k-nearest neighbor graph,276,2011, ijcai.org, … Second International Joint …,https://www.ijcai.org/Proceedings/11/Papers/222.pdf,20
14,"Diekmann, A Frommer, B Monien",Efficient schemes for nearest neighbor load balancing,232,1999, Elsevier, Parallel computing,https://www.sciencedirect.com/science/article/pii/S0167819199000186,9
19," Dyer, AC Sankaranarayanan…",Greedy feature selection for subspace clustering,203,2013, jmlr.org, The Journal of Machine …,https://www.jmlr.org/papers/volume14/dyer13a/dyer13a.pdf,17
28,"Su, C Zhang, K Han, Y Tian",Greedy hash: Towards fast optimization for accurate hash coding in cnn,198,2018, proceedings.neurips.cc, Advances in neural …,https://proceedings.neurips.cc/paper/2018/hash/13f3cf8c531952d72e5847c4183e6910-Abstract.html,28
24,"Maneewongvatana, DM Mount",Analysis of approximate nearest neighbor searching with clustered point sets,156,1999, arxiv.org, arXiv preprint cs/9901013,https://arxiv.org/abs/cs/9901013,6
47,"Wang, T Jebara, SF Chang",Semi-supervised learning using greedy max-cut,153,2013, jmlr.org, The Journal of Machine Learning Research,https://www.jmlr.org/papers/volume14/wang13a/wang13a.pdf,13
29,"Park, S Park, W Jung, S Lee",Reversed CF: A fast collaborative filtering algorithm using a k-nearest neighbor graph,144,2015, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417415000068,14
26,"Minnen, CL Isbell, I Essa, T Starner",Discovering multivariate motifs using subsequence density estimation and greedy mixture learning,131,2007, cdn.aaai.org, Proceedings of the national …,https://cdn.aaai.org/AAAI/2007/AAAI07-097.pdf,7
99," Jahromi, E Parvinnia, R John",A method of learning weighted similarity function to improve the performance of nearest neighbor,127,2009, Elsevier, Information sciences,https://www.sciencedirect.com/science/article/pii/S0020025509001832,8
45,"Jalali, C Johnson…",On learning discrete graphical models using greedy methods,123,2011, proceedings.neurips.cc, Advances in Neural …,https://proceedings.neurips.cc/paper_files/paper/2011/hash/a5e0ff62be0b08456fc7f1e88812af3d-Abstract.html,9
21,"Park, C Caramanis…",Greedy subspace clustering,123,2014, proceedings.neurips.cc, Advances in neural …,https://proceedings.neurips.cc/paper/2014/hash/856fc81623da2150ba2210ba1b51d241-Abstract.html,11
64,"Wang, X Xu, Q Yue, Y Wang",A comprehensive survey and experimental comparison of graph-based approximate nearest neighbor search,122,2021, arxiv.org, arXiv preprint arXiv:2101.12631,https://arxiv.org/abs/2101.12631,30
80," Farahat, A Ghodsi, MS Kamel",Efficient greedy feature selection for unsupervised learning,111,2013, Springer, Knowledge and information systems,https://link.springer.com/article/10.1007/s10115-012-0538-1,9
75," Farahat, A Ghodsi, MS Kamel",An efficient greedy method for unsupervised feature selection,109,2011, ieeexplore.ieee.org, 2011 IEEE 11th …,https://ieeexplore.ieee.org/abstract/document/6137220/,8
76,"Anava, K Levy",k*-nearest neighbors: From global to local,109,2016, proceedings.neurips.cc, Advances in neural information …,https://proceedings.neurips.cc/paper/2016/hash/2c6ae45a3e88aee548c0714fad7f8269-Abstract.html,12
