Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
60,Deriche,Using Canny's criteria to derive a recursively implemented optimal edge detector,1753,1987, Springer, International journal of computer vision,https://link.springer.com/article/10.1007/BF00123164,46
88,"Shen, S Castan",An optimal linear operator for step edge detection,855,1992, Elsevier, CVGIP: Graphical models and image processing,https://www.sciencedirect.com/science/article/pii/104996529290060B,26
21,Deriche,Fast algorithms for low-level vision,850,1990, ieeexplore.ieee.org, IEEE transactions on pattern analysis and machine …,https://ieeexplore.ieee.org/abstract/document/41386/,24
82,"Lalonde, M Beaulieu…",Fast and robust optic disc detection using pyramidal decomposition and Hausdorff-based template matching,554,2001, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/963823/,23
99,"Salari, IK Sethi",Feature point correspondence in the presence of occlusion,262,1990, ieeexplore.ieee.org, IEEE Transactions on Pattern Analysis and …,https://ieeexplore.ieee.org/abstract/document/41387/,7
45,"Karim, RJ Housden, M Balasubramaniam…",Evaluation of current algorithms for segmentation of scar tissue from late gadolinium enhancement cardiovascular magnetic resonance of the left atrium: an …,179,2013, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S1097664723008219,15
25," Anand, P Kumar",Flaw detection in radiographic weld images using morphological approach,126,2006, Elsevier, Ndt & E International,https://www.sciencedirect.com/science/article/pii/S0963869505000794,7
17,"Matalas, R Benjamin, R Kitney",An edge detection technique using the facet model and parameterized relaxation labeling,83,1997, ieeexplore.ieee.org, IEEE transactions on pattern …,https://ieeexplore.ieee.org/abstract/document/588006/,3
8,Medin,Determining hysteresis thresholds for edge detection by combining the advantages and disadvantages of thresholding methods,78,2009, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/5262996/,5
7," Condurache, T Aach",Vessel segmentation in angiograms using hysteresis thresholding,76,0,luebeck.de,,https://research.uni-luebeck.de/en/publications/vessel-segmentation-in-angiograms-using-hysteresis-thresholding,0
68,"Kubota, T Nakano, Y Okamoto",A global optimization algorithm for real-time on-board stereo obstacle detection systems,74,2007, ieeexplore.ieee.org, 2007 IEEE Intelligent …,https://ieeexplore.ieee.org/abstract/document/4290083/,4
81," Rao, M Venkatesan",An efficient reconfigurable architecture and implementation of edge detection algorithm using Handle-C,65,2004, ieeexplore.ieee.org, International Conference on …,https://ieeexplore.ieee.org/abstract/document/1286764/,3
3,"N Kanaa, E Tonye, G Mercier…",Detection of oil slick signatures in SAR images by fusion of hysteresis thresholding responses,64,2003, ieeexplore.ieee.org, IGARSS 2003. 2003 …,https://ieeexplore.ieee.org/abstract/document/1294573/,3
4," Yeh, CY Lin, K Muchtar, HE Lai…",Three-pronged compensation and hysteresis thresholding for moving object detection in real-time video surveillance,62,2017, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/7857105/,8
93,"Castan, J Zhao, J Shen",Optimal filter for edge detection methods and results,61,1990, Springer, Computer Vision—ECCV 90: First European …,https://link.springer.com/chapter/10.1007/BFb0014845,2
87,"Castan, J Zhao, J Shen",New edge detection methods based on exponential filter,55,1990, ieeexplore.ieee.org, [1990] Proceedings. 10th …,https://ieeexplore.ieee.org/abstract/document/118199/,2
65," Eng, J Wang, AH Kam…",Novel region-based modeling for human detection within highly dynamic aquatic environment,53,2004, ieeexplore.ieee.org, Proceedings of the 2004 …,https://ieeexplore.ieee.org/abstract/document/1315190/,3
27,"U Adiga, BB Chaudhuri",Region based techniques for segmentation of volumetric histo-pathological images,50,2000, Elsevier, Computer methods and programs in …,https://www.sciencedirect.com/science/article/pii/S0169260799000267,2
