Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
54,"Hammernik, T Klatzer, E Kobler…",Learning a variational network for reconstruction of accelerated MRI data,1677,2018, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.26977,240
31,"Lustig, JM Pauly",SPIRiT: Iterative self‐consistent parallel imaging reconstruction from arbitrary k‐space,1098,2010, Wiley Online Library, Magnetic resonance in medicine,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.22428,73
5," Block, M Uecker, J Frahm",Undersampled radial MRI with multiple coils. Iterative image reconstruction using a total variation constraint,982,2007, Wiley Online Library, Magnetic Resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.21236,55
68,"Kulkarni, S Lohit, P Turaga…",Reconnet: Non-iterative reconstruction of images from compressively sensed measurements,778,2016, openaccess.thecvf.com, Proceedings of the …,http://openaccess.thecvf.com/content_cvpr_2016/html/Kulkarni_ReconNet_Non-Iterative_Reconstruction_CVPR_2016_paper.html,86
35,"Qin, J Schlemper, J Caballero…",Convolutional recurrent neural networks for dynamic MR image reconstruction,579,2018, ieeexplore.ieee.org, … on medical imaging,https://ieeexplore.ieee.org/abstract/document/8425639/,83
1," Sutton, DC Noll, JA Fessler","Fast, iterative image reconstruction for MRI in the presence of field inhomogeneities",517,2003, ieeexplore.ieee.org, … on medical imaging,https://ieeexplore.ieee.org/abstract/document/1194628/,24
99," Hansen, TS Sørensen",Gadgetron: an open source framework for medical image reconstruction,397,2013, Wiley Online Library, Magnetic resonance in medicine,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.24389,33
57,"Huang, S Zhang, D Metaxas",Efficient MR image reconstruction for compressed MR imaging,366,2011, Elsevier, Medical Image Analysis,https://www.sciencedirect.com/science/article/pii/S1361841511000843,26
77,"Qu, Y Hou, F Lam, D Guo, J Zhong, Z Chen",Magnetic resonance image reconstruction from undersampled measurements using a patch-based nonlocal operator,362,2014, Elsevier, Medical image analysis,https://www.sciencedirect.com/science/article/pii/S1361841513001448,33
12,"Jiang, G Wang",Convergence studies on iterative algorithms for image reconstruction,351,2003, ieeexplore.ieee.org, IEEE Transactions on Medical Imaging,https://ieeexplore.ieee.org/abstract/document/1207392/,16
50," Hielscher, AD Klose…",Gradient-based iterative image reconstruction scheme for time-resolved optical tomography,339,1999, ieeexplore.ieee.org, … on medical imaging,https://ieeexplore.ieee.org/abstract/document/764902/,13
46,"Uecker, T Hohage, KT Block…",Image reconstruction by regularized nonlinear inversion—joint estimation of coil sensitivities and image content,307,2008, Wiley Online Library, Magnetic Resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.21691,18
2, Fessler,Model-based image reconstruction for MRI,298,2010, ieeexplore.ieee.org, IEEE signal processing magazine,https://ieeexplore.ieee.org/abstract/document/5484183/,20
33,"Liang, J Cheng, Z Ke, L Ying",Deep magnetic resonance image reconstruction: Inverse problems meet neural networks,287,2020, ieeexplore.ieee.org, IEEE Signal Processing …,https://ieeexplore.ieee.org/abstract/document/8962949/,57
39,"Gong, J Guan, K Kim, X Zhang, J Yang…",Iterative PET image reconstruction using convolutional neural network representation,268,2018, ieeexplore.ieee.org, … on medical imaging,https://ieeexplore.ieee.org/abstract/document/8463596/,38
21,"Ravishankar, JC Ye, JA Fessler",Image reconstruction: From sparsity to data-adaptive methods and machine learning,253,2019, ieeexplore.ieee.org, Proceedings of the IEEE,https://ieeexplore.ieee.org/abstract/document/8844696/,42
17,"Ramani, Z Liu, J Rosen, JF Nielsen…",Regularization parameter selection for nonlinear iterative image restoration and MRI reconstruction using GCV and SURE-based methods,219,2012, ieeexplore.ieee.org, … on Image Processing,https://ieeexplore.ieee.org/abstract/document/6185677/,17
91,"Wang, R Su, AA Oraevsky…",Investigation of iterative image reconstruction in three-dimensional optoacoustic tomography,217,2012, iopscience.iop.org, Physics in Medicine & …,https://iopscience.iop.org/article/10.1088/0031-9155/57/17/5399/meta,17
70," Muckley, B Riemenschneider…",Results of the 2020 fastMRI challenge for machine learning MR image reconstruction,216,2021, ieeexplore.ieee.org, … on medical imaging,https://ieeexplore.ieee.org/abstract/document/9420272/,54
15," Block, M Uecker, J Frahm",Model-based iterative reconstruction for radial fast spin-echo MRI,213,2009, ieeexplore.ieee.org, … transactions on medical imaging,https://ieeexplore.ieee.org/abstract/document/5067386/,13
52,"Bilgic, I Chatnuntawech, AP Fan…",Fast image reconstruction with L2‐regularization,210,2014, Wiley Online Library, … magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.24365,19
71,Guerqui,A fast wavelet-based reconstruction method for magnetic resonance imaging,193,2011, ieeexplore.ieee.org, … on medical imaging,https://ieeexplore.ieee.org/abstract/document/5744123/,14
38,"Qu, W Zhang, D Guo, C Cai, S Cai…",Iterative thresholding compressed sensing MRI based on contourlet transform,185,2010, Taylor & Francis, Inverse Problems in …,https://www.tandfonline.com/doi/abs/10.1080/17415977.2010.492509,12
3," Fessler, S Lee, VT Olafsson…",Toeplitz-based iterative image reconstruction for MRI with correction for magnetic field inhomogeneity,182,2005, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/1495877/,9
88,"Lai, X Qu, Y Liu, D Guo, J Ye, Z Zhan, Z Chen",Image reconstruction of compressed sensing MRI using graph-based redundant wavelet transform,177,2016, Elsevier, Medical image analysis,https://www.sciencedirect.com/science/article/pii/S1361841515000870,20
83,"Tang, S Liu, J Neelavalli, YCN Cheng…",Improving susceptibility mapping using a threshold‐based K‐space/image domain iterative reconstruction approach,167,2013, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.24384,14
51,"Matej, JA Fessler, IG Kazantsev",Iterative tomographic image reconstruction using Fourier-based forward and back-projectors,166,2004, ieeexplore.ieee.org, … on medical imaging,https://ieeexplore.ieee.org/abstract/document/1281994/,8
76,"Chang, JM Lee, K Lee, JH Yoon, MH Yu…","Assessment of a model-based, iterative reconstruction algorithm (MBIR) regarding image quality and dose reduction in liver computed tomography",155,2013, journals.lww.com, Investigative …,"https://journals.lww.com/investigativeradiology/FullText/2013/08000/Assessment_of_a_Model_Based,_Iterative.5.aspx",13
75,"Liu, Y Sun, C Eldeniz, W Gan, H An…",RARE: Image reconstruction using deep priors learned without groundtruth,139,2020, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9103213/,28
95,"H Dar, M Yurt, M Shahdloo, ME Ildız…",Prior-guided image reconstruction for accelerated multi-contrast MRI via generative adversarial networks,127,2020, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9115255/,25
24," Tezcan, CF Baumgartner…",MR image reconstruction using deep density priors,123,2018, ieeexplore.ieee.org, … on medical imaging,https://ieeexplore.ieee.org/abstract/document/8579232/,18
27, Fessler,Optimization methods for magnetic resonance image reconstruction: Key models and optimization algorithms,122,2020, ieeexplore.ieee.org, IEEE signal processing magazine,https://ieeexplore.ieee.org/abstract/document/8962384/,24
40," Hansen, TS Sørensen, AE Arai…",Retrospective reconstruction of high temporal resolution cine images from real‐time MRI using iterative motion correction,113,2012, Wiley Online Library, Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.23284,9
66,"Chen, X Ye, F Huang",A novel method and fast algorithm for MR image reconstruction with significantly under-sampled data,107,2010, math.gsu.edu, Inverse Problems and Imaging,https://math.gsu.edu/xye/papers/chen2010novel.pdf,7
20," Tamir, F Ong, JY Cheng, M Uecker…",Generalized magnetic resonance image reconstruction using the Berkeley advanced reconstruction toolbox,103,2016, wwwuser.gwdg.de, … & Image Reconstruction …,http://wwwuser.gwdg.de/~muecker1/sedona16-bart.pdf,11
98," Montefusco, D Lazzaro, S Papi…",A fast compressed sensing approach to 3D MR image reconstruction,82,2010, ieeexplore.ieee.org, … on medical imaging,https://ieeexplore.ieee.org/abstract/document/5551207/,5
22," Hansen, P Kellman",Image reconstruction: an overview for clinicians,80,2015, Wiley Online Library, … of Magnetic Resonance Imaging,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.24687,8
41," Chang, L He, T Fang",MR image reconstruction from sparse radial samples using Bregman iteration,77,2006, Citeseer, Proceedings of the 13th Annual Meeting of …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=99d2593b560659dd4d09b7836f27a125b9f5cf96,4
56,"Hammernik, J Schlemper, C Qin…",Systematic evaluation of iterative deep neural networks for fast parallel MRI reconstruction with sensitivity‐weighted coil combination,75,2021, Wiley Online Library, … Resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.28827,19
81," Cline, X Chen, B Mailhe, Q Wang, J Pfeuffer…",AIR-MRF: accelerated iterative reconstruction for magnetic resonance fingerprinting,69,2017, Elsevier, Magnetic resonance …,https://www.sciencedirect.com/science/article/pii/S0730725X1730125X,9
63,"Wang, T Xiao, Q Liu, H Zheng",Deep learning for fast MR imaging: a review for learning reconstruction from incomplete k-space data,69,2021, Elsevier, Biomedical Signal Processing and …,https://www.sciencedirect.com/science/article/pii/S1746809421001762,17
64,"Zhao, X Hu",Iterative GRAPPA (iGRAPPA) for improved parallel imaging reconstruction,69,2008, Wiley Online Library, … International Society for Magnetic Resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.21370,4
