Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
91," Katz, KR Arant, RF Loeser",Diagnosis and treatment of hip and knee osteoarthritis: a review,1144,2021, jamanetwork.com, Jama,https://jamanetwork.com/journals/jama/Article-Abstract/2776205,286
9,"Sharma, J Song, DT Felson, S Cahue, E Shamiyeh…",The role of knee alignment in disease progression and functional decline in knee osteoarthritis,1902,2001, jamanetwork.com, Jama,https://jamanetwork.com/journals/jama/article-abstract/193998,79
8,"Miyazaki, M Wada, H Kawahara, M Sato…",Dynamic load at baseline can predict radiographic disease progression in medial compartment knee osteoarthritis,1746,2002, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/61/7/617.short,76
58,Heidari,"Knee osteoarthritis prevalence, risk factors, pathogenesis and features: Part I",1031,2011, ncbi.nlm.nih.gov, Caspian journal of internal medicine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3766936/,74
43," Lespasio, NS Piuzzi, ME Husni…",Knee osteoarthritis: a primer,593,2017, thepermanentejournal.org, The Permanente …,https://www.thepermanentejournal.org/doi/pdf/10.7812/TPP/16-183,74
32,"Mündermann, CO Dyrby…","Secondary gait changes in patients with medial compartment knee osteoarthritis: increased load at the ankle, knee, and hip during walking",954,2005, Wiley Online Library, Arthritis & …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.21262,48
72," Kaufman, C Hughes, BF Morrey, M Morrey…",Gait characteristics of patients with knee osteoarthritis,953,2001, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929001000367,40
71,"Sharma, J Song, D Dunlop, D Felson…",Varus and valgus alignment and incident and progressive knee osteoarthritis,601,2010, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/69/11/1940.short,40
39," Bennell, KA Bowles, Y Wang, F Cicuttini…",Higher dynamic medial knee load predicts greater cartilage loss over 12 months in medial knee osteoarthritis,490,2011, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/70/10/1770.short,35
30,"Sharma, DE Hurwitz, EJMA Thonar…","Knee adduction moment, serum hyaluronan level, and disease severity in medial tibiofemoral osteoarthritis",911,1998, Wiley Online Library, Arthritis & …,https://onlinelibrary.wiley.com/doi/abs/10.1002/1529-0131(199807)41:7%3C1233::AID-ART14%3E3.0.CO;2-L,34
31, Fairbank,Knee joint changes after meniscectomy,2512,1948, boneandjoint.org.uk, … Journal of Bone & Joint Surgery British Volume,https://boneandjoint.org.uk/article/10.1302/0301-620x.30b4.664,33
28," Hurwitz, AB Ryals, JP Case…","The knee adduction moment during gait in subjects with knee osteoarthritis is more closely correlated with static alignment than radiographic disease severity, toe out …",695,2002, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1016/S0736-0266(01)00081-X,30
37,"Mündermann, CO Dyrby, DE Hurwitz…",Potential strategies to reduce medial compartment loading in patients with knee osteoarthritis of varying severity: reduced walking speed,586,2004, Wiley Online Library, … : Official Journal of …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.20132,28
41," Lewek, KS Rudolph, L Snyde",Control of frontal plane knee laxity during gait in patients with medial compartment knee osteoarthritis,550,2004, Elsevier, Osteoarthritis and cartilage,https://www.sciencedirect.com/science/article/pii/S1063458404000901,26
96," Bennell, TV Wrigley, MA Hunt…",Update on the role of muscle in the genesis and management of knee osteoarthritis,300,2013, rheumatic.theclinics.com, Rheumatic …,https://www.rheumatic.theclinics.com/article/S0889-857X(12)00129-9/abstract,25
24," Felson, J Goggins, J Niu, Y Zhang…",The effect of body weight on progression of knee osteoarthritis is dependent on alignment,534,2004, Wiley Online Library, Arthritis & …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.20726,25
10,"Simic, RS Hinman, TV Wrigley…",Gait modification strategies for altering medial knee joint load: a systematic review,337,2011, Wiley Online Library, Arthritis care & …,https://onlinelibrary.wiley.com/doi/pdf/10.1002/acr.20380,24
4,"Kumar, KT Manal, KS Rudolph",Knee joint loading during gait in healthy controls and individuals with knee osteoarthritis,283,2013, Elsevier, Osteoarthritis and cartilage,https://www.sciencedirect.com/science/article/pii/S1063458412010217,24
56,"Niu, YQ Zhang, J Torner, M Nevitt…",Is obesity a risk factor for progressive radiographic knee osteoarthritis?,367,2009, Wiley Online Library, Arthritis Care & …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.24337,23
45," Kujala, J Kettunen, H Paananen…","Knee osteoarthritis in former runners, soccer players, weight lifters, and shooters",662,1995, Wiley Online Library, … : Official Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.1780380413,22
52," Roos, W Herzog, JA Block…","Muscle weakness, afferent sensory dysfunction and exercise in knee osteoarthritis",301,2011, nature.com, Nature Reviews …,https://www.nature.com/articles/nrrheum.2010.195,22
88," Segal, NA Glass, J Torner, M Yang…",Quadriceps weakness predicts risk for knee joint space narrowing in women in the MOST cohort,330,2010, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458410000452,22
15,"Sharma, C Lou, S Cahue…",The mechanism of the effect of obesity in knee osteoarthritis: the mediating role of malalignment,504,2000, Wiley Online Library, Arthritis & Rheumatism …,https://onlinelibrary.wiley.com/doi/abs/10.1002/1529-0131(200003)43:3%3C568::AID-ANR13%3E3.0.CO;2-E,20
44," Agneskirchner, C Hurschler, CD Wrann…",The effects of valgus medial opening wedge high tibial osteotomy on articular cartilage pressure of the knee: a biomechanical study,359,2007, Elsevier, … : The Journal of …,https://www.sciencedirect.com/science/article/pii/S0749806307005853,20
19," Thorp, DR Sumner, JA Block…",Knee joint loading differs in individuals with mild compared with moderate medial knee osteoarthritis,389,2006, Wiley Online Library, … : Official Journal of …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.22247,20
73," Yang, W Chen, CX Li, J Wang, DC Shao…",Medial compartment decompression by fibular osteotomy to treat medial compartment knee osteoarthritis: a pilot study,189,2015, journals.healio.com, …,https://journals.healio.com/doi/abs/10.3928/01477447-20151120-08,19
57,"Chang, K Hayes, D Dunlop, J Song…",Hip abduction moment and protection against medial tibiofemoral osteoarthritis progression,388,2005, Wiley Online Library, Arthritis & …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.21406,19
66," Lim, RS Hinman, TV Wrigley…","Does knee malalignment mediate the effects of quadriceps strengthening on knee adduction moment, pain, and function in medial knee osteoarthritis? A randomized …",330,2008, Wiley Online Library, Arthritis Care & …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.23823,19
92,"Fransen, J Crosbie, J Edmonds",Physical therapy is effective for patients with osteoarthritis of the knee: a randomized controlled clinical trial.,451,2001, jrheum.org, The Journal of rheumatology,https://www.jrheum.org/content/28/1/156.short,19
22,"Cerejo, DD Dunlop, S Cahue, D Channin…",The influence of alignment on risk of knee osteoarthritis progression according to baseline stage of disease,446,2002, Wiley Online Library, Arthritis & …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.10530,19
60," Agneskirchner, C Hurschler…",Effect of high tibial flexion osteotomy on cartilage pressure and joint kinematics: A biomechanical study in human cadaveric knees: Winner of the AGA-DonJoy …,383,2004, Springer, Archives of orthopaedic …,https://link.springer.com/article/10.1007/s00402-004-0728-8,18
51," Bennell, MA Hunt, TV Wrigley, BW Lim…",Role of muscle in the genesis and management of knee osteoarthritis,299,2008, Elsevier, … disease clinics of north …,https://www.sciencedirect.com/science/article/pii/S0889857X08000355,18
13,Englund,The role of biomechanics in the initiation and progression of OA of the knee,272,2010, Elsevier, Best practice & research Clinical rheumatology,https://www.sciencedirect.com/science/article/pii/S1521694209000850,18
49," Vincent, BP Conrad, BJ Fregly, HK Vincent",The pathophysiology of osteoarthritis: a mechanical perspective on the knee joint,224,2012, Elsevier, PM&R,https://www.sciencedirect.com/science/article/pii/S1934148212000688,17
95," Christiansen, MJ Anderson, CA Lee…",Musculoskeletal changes following non-invasive knee injury using a novel mouse model of post-traumatic osteoarthritis,222,2012, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458412008023,17
3," Hurwitz, AR Ryals, JA Block…",Knee pain and joint loading in subjects with osteoarthritis of the knee,389,2000, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100180409,16
74, Huble,Neuromuscular alterations during walking in persons with moderate knee osteoarthritis,307,2006, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S1050641105001094,16
64," Sled, L Khoja, KJ Deluzio, SJ Olney…","Effect of a home program of hip abductor exercises on knee joint loading, strength, function, and pain in people with knee osteoarthritis: a clinical trial",243,2010, academic.oup.com, Physical …,https://academic.oup.com/ptj/article-abstract/90/6/895/2737804,16
75,"Chatellard, V Sauleau, M Colmar, H Robert…",Medial unicompartmental knee arthroplasty: does tibial component position influence clinical outcomes and arthroplasty survival?,189,2013, Elsevier, … & Traumatology: Surgery …,https://www.sciencedirect.com/science/article/pii/S1877056813000492,16
40,"Peterfy, J Li, S Zaim, J Duryea, J Lynch, Y Miaux…",… of fixed-flexion positioning with fluoroscopic semi-flexed positioning for quantifying radiographic joint-space width in the knee: test-retest reproducibility,355,2003, Springer, Skeletal radiology,https://link.springer.com/article/10.1007/s00256-002-0603-z,16
76,Bucklan,Subchondral bone changes in hand and knee osteoarthritis detected by radiography,339,2004, Elsevier, Osteoarthritis and cartilage,https://www.sciencedirect.com/science/article/pii/S1063458403002498,16
99," Gale, CE Chaisson, SMS Totterman…",Meniscal subluxation: association with osteoarthritis and joint space narrowing,412,1999, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S106345849990256X,16
50,"Gök, S Ergin, G Yavuzer",Kinetic and kinematic characteristics of gait in patients with medial knee arthrosis,369,2002, Taylor & Francis, Acta Orthopaedica Scandinavica,https://www.tandfonline.com/doi/abs/10.3109/17453670209178029,16
