Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
80," Felson, A Naimark, J Anderson…",The prevalence of knee osteoarthritis in the elderly. The Framingham Osteoarthritis Study,2415,1987, Wiley Online Library, … : Official Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.1780300811,64
20," Lafortune, PR Cavanagh, HJ Sommer Iii…",Three-dimensional kinematics of the human knee during walking,960,1992, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/002192909290254X,29
58," Andriacchi, A Mündermann",The role of ambulatory mechanics in the initiation and progression of knee osteoarthritis,757,2006, journals.lww.com, Current opinion in rheumatology,https://journals.lww.com/co-rheumatology/fulltext/2006/09000/Joint_injury_causes_knee_osteoarthritis_in_young.00015.aspx,40
12,"Reinschmidt, AJ Van Den Bogert, BM Nigg…",Effect of skin movement on the analysis of skeletal knee joint motion during running,661,1997, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929097000018,24
46," Kujala, J Kettunen, H Paananen…","Knee osteoarthritis in former runners, soccer players, weight lifters, and shooters",660,1995, Wiley Online Library, … : Official Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.1780380413,22
28,"Johal, A Williams, P Wragg, D Hunt…",Tibio-femoral movement in the living knee. A study of weight bearing and non-weight bearing knee kinematics using 'interventional'MRI,491,2005, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929004000855,25
86,"Røgind, B Bibo",The effects of a physical training program on patients with osteoarthritis of the knees,486,1998, Elsevier, Archives of physical …,https://www.sciencedirect.com/science/article/pii/S0003999398902386,18
43," Fell, RG Canti",Experiments on the development in vitro of the avian knee-joint,335,1934, royalsocietypublishing.org, Proceedings of the Royal Society of …,https://royalsocietypublishing.org/doi/abs/10.1098/rspb.1934.0076,4
26,Ericson,On the biomechanics of cycling. A study of joint and muscle load during exercise on the bicycle ergometer.,279,1986, europepmc.org, Scandinavian journal of rehabilitation medicine …,https://europepmc.org/article/med/3468609,7
3,"Brossmann, C Muhle, C Schröder, UH Melchert…",Patellar tracking patterns during active and passive knee extension: evaluation with motion-triggered cine MR imaging.,275,1993, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiology.187.1.8451415,9
88, Kempson,Relationship between the tensile properties of articular cartilage from the human knee and age.,268,1982, ard.bmj.com, Annals of the rheumatic diseases,https://ard.bmj.com/content/41/5/508.short,6
33,"Li, SK Van de Velde, JT Bingham",Validation of a non-invasive fluoroscopic imaging technique for the measurement of dynamic knee joint motion,250,2008, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929008000833,15
77," Biedert, V Sanchi",Sources of anterior knee pain,242,2002, sportsmed.theclinics.com, Clinics in sports …,https://www.sportsmed.theclinics.com/article/S0278-5919(02)00026-1/abstract,11
73,"Li, LE DeFrate, SE Park, TJ Gill…",In Vivo articular cartilage contact kinematics of the knee: An investigation using dual-orthogonal fluoroscopy and magnetic resonance image–based computer models,221,2005, journals.sagepub.com, The American journal …,https://journals.sagepub.com/doi/abs/10.1177/0363546504265577,11
24," Ellis, BB Seedhom, V Wright",Forces in the knee joint whilst rising from a seated position,194,1984, Elsevier, Journal of biomedical engineering,https://www.sciencedirect.com/science/article/pii/0141542584900530,5
71," MacDessi, W Griffith",Coronal plane alignment of the knee (CPAK) classification: a new system for describing knee phenotypes,192,2021, boneandjoint.org.uk, The bone & joint …,https://boneandjoint.org.uk/article/10.1302/0301-620X.103B2.BJJ-2020-1050.R1,48
34," Lafortune, PR Cavanagh…",Foot inversion‐eversion and knee kinematics during walking,159,1994, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100120314,5
2," Sheehan, FE Zajac, JE Drace",Using cine phase contrast magnetic resonance imaging to non-invasively study in vivo knee dynamics,155,1997, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929097001097,6
84,"Y Woo, SS Chan, T Yamaji","Biomechanics of knee ligament healing, repair and reconstruction",150,1997, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929096001686,5
61," McNally, SJ Ostlere, C Pal, A Phillips, H Reid…",Assessment of patellar maltracking using combined static and dynamic MRI,138,2000, Springer, European …,https://link.springer.com/article/10.1007/s003300000358,6
47," Hefzy, BP Kelly, TDV Cooke",Kinematics of the knee joint in deep flexion: a radiographic assessment,138,1998, Elsevier, Medical engineering & physics,https://www.sciencedirect.com/science/article/pii/S1350453398000241,5
39," Smith, KM Refshauge, JM Scarvell",Development of the concepts of knee kinematics,135,2003, Elsevier, Archives of physical medicine and …,https://www.sciencedirect.com/science/article/pii/S0003999303002818,6
10," Sheehan, FE Zajac, JE Drace",In vivo tracking of the human patella using cine phase contrast magnetic resonance imaging,132,1999, asmedigitalcollection.asme.org,,https://asmedigitalcollection.asme.org/biomechanical/article-abstract/121/6/650/398734,5
27," Asakawa, SS Blemker, GE Gold, SL Delp",In vivo motion of the rectus femoris muscle after tendon transfer surgery,130,2002, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929002000489,6
82," Shellock, JH Mink, JM Fox",Patellofemoral joint: kinematic MR imaging to assess tracking abnormalities.,127,1988, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiology.168.2.3393678,3
83,"Bohnsack, F Meier, GF Walter, C Hurschler…",Distribution of substance-P nerves inside the infrapatellar fat pad and the adjacent synovial tissue: a neurohistological approach to anterior knee pain …,126,2005, Springer, Archives of orthopaedic …,https://link.springer.com/article/10.1007/s00402-005-0796-4,6
90," Wild JR, TD Franklin…",Patellar pain and quadriceps rehabilitation: an EMG study,122,1982, journals.sagepub.com, The American Journal of …,https://journals.sagepub.com/doi/abs/10.1177/036354658201000103,3
62," PASCHAL, MD SEEMANN…",… Versus Postfixation of Bone-Patellar Tendon-Bone Grafts for Anterior Cruciate Ligament Reconstruction A Biomechanical Comparative Study in Porcine Knees,115,1994, journals.lww.com, Clinical Orthopaedics …,https://journals.lww.com/clinorthop/abstract/1994/03000/interference_fixation_versus_postfixation_of.40.aspx,4
66," Siston, NJ Giori, SB Goodman…",Intraoperative passive kinematics of osteoarthritic knees before and after total knee arthroplasty,110,2006, Wiley Online Library, Journal of orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20163,6
48,"Bohnsack, C Hurschler, T Demirtas…",Infrapatellar fat pad pressure and volume changes of the anterior compartment during knee motion: possible clinical consequences to the anterior knee pain …,107,2005, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-004-0561-1,5
44," Dye, EM Wojtys, FH Fu, DC Fithian…",Factors contributing to function of the knee joint after injury or reconstruction of the anterior cruciate ligament,105,1999, rehabeducation.com, … American Academy of …,https://rehabeducation.com/wp-content/uploads/2015/02/Factors-contributing-to-function-of-the-knee-joint-after-injury-to-the-ACL.pdf,4
13," Barrack, HB Skinner, ME Brunet…",Functional performance of the knee after intraarticular anesthesia,103,1983, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/036354658301100414,2
36,"Akseki, G Akkaya, M Erduran…",Proprioception of the knee joint in patellofemoral pain syndrome,98,2008, dergipark.org.tr, Acta orthopaedica et …,https://dergipark.org.tr/en/pub/aott/article/191421,6
81," Seisler, FT Sheehan","Normative Three-Dimensional Patellofemoral and Tibiofemoral Kinematics: A Dynamic, in Vivo Study",92,2007, ieeexplore.ieee.org, IEEE Transactions on biomedical …,https://ieeexplore.ieee.org/abstract/document/4237348/,5
70," Sheehan, JE Drace","Human Patellar Tendon Strain: A Noninvasive, In Vivo Study.",92,2000, journals.lww.com, Clinical Orthopaedics and Related …,"https://journals.lww.com/corr/fulltext/2000/01000/Human_Patellar_Tendon_Strain__A_Noninvasive,_In.19.aspx",4
5," Barrance, GN Williams…",Altered knee kinematics in ACL‐deficient non‐copers: a comparison using dynamic MRI,87,2006, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20016,5
45, McNally,Imaging assessment of anterior knee pain and patellar maltracking,87,2001, Springer, Skeletal Radiology,https://link.springer.com/article/10.1007/s002560100401,4
55,"Li, R Papannagari, KW Nha, LE DeFrate, TJ Gill…",The coupled motion of the femur and patella during in vivo weightbearing knee flexion,79,2007, asmedigitalcollection.asme.org,,https://asmedigitalcollection.asme.org/biomechanical/article-abstract/129/6/937/446613,4
14,"Brossmann, C Muhle, CC Büll…",Evaluation of patellar tracking in patients with suspected patellar malalignment: cine MR imaging vs arthroscopy.,74,1994, Am Roentgen Ray Soc, … American journal of …,https://ajronline.org/doi/abs/10.2214/ajr.162.2.8310928,2
94,"Jagodzinski, GM Richter…",Biomechanical analysis of knee hyperextension and of the impingement of the anterior cruciate ligament: a cinematographic MRI study with impact on tibial tunnel …,70,2000, Wiley Online Library, Knee Surgery  Sports …,https://esskajournals.onlinelibrary.wiley.com/doi/abs/10.1007/s001670050004,3
76," Freedman, TJ Brindle, FT Sheehan",Re-evaluating the functional implications of the Q-angle and its relationship to in-vivo patellofemoral kinematics,70,2014, Elsevier, Clinical biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003314002241,6
29," Rebmann, FT Sheehan",Precise 3D skeletal kinematics using fast phase contrast magnetic resonance imaging,68,2003, Wiley Online Library, Journal of Magnetic Resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.10253,3
32," Dupuy, DH Hangen…",Kinematic CT of the patellofemoral joint.,67,1997, Am Roentgen Ray Soc, … American journal of …,https://ajronline.org/doi/abs/10.2214/ajr.169.1.9207527,2
75," Dye, EM Wojtys, FH Fu, DC Fithian…",Factors contributing to function of the knee joint after injury or reconstruction of the anterior cruciate ligament,66,1998, search.proquest.com, Journal of Bone and …,https://search.proquest.com/openview/e7f4b22a21b93ff87a63bc28e215d299/1?pq-origsite=gscholar&cbl=289,2
72," Behnam, DA Herzka, FT Sheehan",Assessing the accuracy and precision of musculoskeletal motion tracking using cine-PC MRI on a 3.0 T platform,64,2011, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929010004732,5
30," Asakawa, GP Pappas, SS Blemker…",Cine phase-contrast magnetic resonance imaging as a tool for quantification of skeletal muscle motion,61,0,connect.com,,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-2004-815676,0
60," Madeti, SR Chalamalasetti…",Biomechanics of knee joint—A review,58,2015, Springer, Frontiers of mechanical …,https://link.springer.com/article/10.1007/s11465-014-0306-x,6
16, d'Entremont…,Do dynamic‐based MR knee kinematics methods produce the same results as static methods?,57,2013, Wiley Online Library, Magnetic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.24425,5
19," Sheehan, BS Borotikar, AJ Behnam, KE Alter",Alterations in in vivo knee joint kinematics following a femoral nerve branch block of the vastus medialis: Implications for patellofemoral pain syndrome,57,2012, Elsevier, Clinical biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003311003251,4
9, Dye,Functional morphologic features of the human knee: an evolutionary perspective,54,2003, journals.lww.com, Clinical Orthopaedics and Related Research®,https://journals.lww.com/clinorthop/fulltext/2003/05000/Functional_Morphologic_Features_of_the_Human_Knee_.5.aspx,2
57," Borotikar, FT Sheehan",In vivo patellofemoral contact mechanics during active extension using a novel dynamic MRI-based methodology,53,2013, Elsevier, Osteoarthritis and cartilage,https://www.sciencedirect.com/science/article/pii/S1063458413009412,4
17," Westphal, A Schmitz, SB Reeder, DG Thelen",Load-dependent variations in knee kinematics measured with dynamic MRI,53,2013, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929013002601,4
7,"Niitsu, I Anno, T Fukubayashi, H Shimojo, S Kuno…",Tears of cruciate ligaments and menisci: evaluation with cine MR imaging.,51,1991, pubs.rsna.org, Radiology,https://pubs.rsna.org/doi/abs/10.1148/radiology.178.3.1994433,2
15, Barnett,Locking at the knee joint,51,1953, ncbi.nlm.nih.gov, Journal of Anatomy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1244575/,1
63," Rappeport, S Mehta, SB Wieslander…",MR imaging before arthroscopy in knee joint disorders?,51,1996, journals.sagepub.com, Acta …,https://journals.sagepub.com/doi/abs/10.1177/02841851960373P237,2
42,"Bonnin, A Amendola, J Bellemans…",The history of total knee arthroplasty,48,2012, Springer, The knee joint: surgical …,https://link.springer.com/chapter/10.1007/978-2-287-99353-4_63,4
100,"Becher, B Fleischer, M Rase, T Schumacher…",Effects of upright weight bearing and the knee flexion angle on patellofemoral indices using magnetic resonance imaging in patients with patellofemoral …,44,2017, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-015-3829-8,6
89,"Liu, J Pan, Y Wang, D Lin, D Shen, H Yang…",Component analysis of Chinese medicine and advances in fuming-washing therapy for knee osteoarthritis via unsupervised data mining methods,44,2013, Elsevier, Journal of Traditional …,https://www.sciencedirect.com/science/article/pii/S0254627214600431,4
37," Barrance, GN Williams, JE Novotny…",A method for measurement of joint kinematics in vivo by registration of 3-D geometric models with cine phase contrast magnetic resonance imaging data,42,2005, asmedigitalcollection.asme.org,,https://asmedigitalcollection.asme.org/biomechanical/article-abstract/127/5/829/447047,2
