Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
55,Kjaer,Role of extracellular matrix in adaptation of tendon and skeletal muscle to mechanical loading,1866,2004, journals.physiology.org, Physiological reviews,https://journals.physiology.org/doi/abs/10.1152/physrev.00031.2003,89
77," Tulloch, V Muskheli, MV Razumova…",Growth of engineered human myocardium with mechanical loading and vascular coculture,765,2011, Am Heart Assoc, Circulation …,https://www.ahajournals.org/doi/abs/10.1161/CIRCRESAHA.110.237206,55
82, Grippo,Abfractions: a new classification of hard tissue lesions of teeth,738,1991, Wiley Online Library, Journal of Esthetic and Restorative Dentistry,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1708-8240.1991.tb00799.x,22
8, Carter,Mechanical loading histories and cortical bone remodeling,703,1984, Springer, Calcified tissue international,https://link.springer.com/article/10.1007/BF02406129,17
16," Griffin, F Guilak",The role of mechanical loading in the onset and progression of osteoarthritis,579,2005, journals.lww.com, Exercise and sport sciences reviews,https://journals.lww.com/acsm-essr/fulltext/2005/10000/The_Role_of_Mechanical_Loading_in_the_Onset_and.8.aspx/1000,29
70," Radin, RB Martin, DB Burr…",Effects of mechanical loading on the tissues of the rabbit knee,519,1984, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100020303,13
47," Bennell, KA Bowles, Y Wang, F Cicuttini…",Higher dynamic medial knee load predicts greater cartilage loss over 12 months in medial knee osteoarthritis,490,2011, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/70/10/1770.short,35
75," Noble, N Peet, HY Stevens…",Mechanical loading: biphasic osteocyte survival and targeting of osteoclasts for bone destruction in rat cortical bone,479,2003, journals.physiology.org,Cell …,https://journals.physiology.org/doi/abs/10.1152/ajpcell.00234.2002,22
80,"Kjær, H Langberg, K Heinemeier…","From mechanical loading to collagen synthesis, structural changes and function in human tendon",472,2009, Wiley Online Library, … journal of medicine …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0838.2009.00986.x,30
85, Forwood,Inducible cyclo‐oxygenase (COX‐2) mediates the induction of bone formation by mechanical loading in vivo,448,2020, academic.oup.com, Journal of Bone and Mineral Research,https://academic.oup.com/jbmr/article-abstract/11/11/1688/7501282,90
49," Sullivan, J Martinez, DP Becker, JD Miller…",Fluid-percussion model of mechanical brain injury in the cat,436,1976, thejns.org, Journal of …,https://thejns.org/view/journals/j-neurosurg/45/5/article-p520.xml,9
40, Sun,"Mechanical loading, cartilage degradation, and arthritis",386,2010, Wiley Online Library, Annals of the New York Academy of Sciences,https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/j.1749-6632.2010.05808.x,26
66,"Bosch, HTM van Schie, MW de Groot…",Effects of platelet‐rich plasma on the quality of repair of mechanically induced core lesions in equine superficial digital flexor tendons: a placebo‐controlled …,366,2010, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20980,24
28," Lee, WS Eakle",Stress-induced cervical lesions: review of advances in the past 10 years,329,1996, Elsevier, The Journal of prosthetic dentistry,https://www.sciencedirect.com/science/article/pii/S0022391396904515,11
99," Dahlgren, MCH van der Meulen…",Insulin‐like growth factor‐I improves cellular and molecular aspects of healing in a collagenase‐induced model of flexor tendinitis,326,2002, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1016/S0736-0266(02)00009-8,14
34," Ewers, D Dvoracek‐Driksna…",The extent of matrix damage and chondrocyte death in mechanically traumatized articular cartilage explants depends on rate of loading,289,2001, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1016/S0736-0266(01)00006-7,12
56,"Scott, JL Cook, DA Hart, DC Walker…",Tenocyte responses to mechanical loading in vivo: a role for local insulin‐like growth factor 1 signaling in early tendinosis in rats,239,2007, Wiley Online Library, Arthritis & …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.22426,13
64," Hens, KM Wilson, P Dann, X Chen…",TOPGAL mice show that the canonical Wnt signaling pathway is active during bone development and growth and is activated by mechanical loading in vitro,229,2005, academic.oup.com, Journal of Bone and …,https://academic.oup.com/jbmr/article-abstract/20/7/1103/7593133,11
6," Shaw, M Benjamin",Structure–function relationships of entheses in relation to mechanical load and exercise,226,2007, Wiley Online Library, … journal of medicine & science in …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0838.2007.00689.x,13
24, Ferracane,Models of caries formation around dental composite restorations,212,2017, journals.sagepub.com, Journal of dental research,https://journals.sagepub.com/doi/abs/10.1177/0022034516683395,26
81," Banes, G Horesovsky, C Larson, M Tsuzaki…",Mechanical load stimulates expression of novel genesin vivoandin vitroin avian flexor tendon cells,210,1999, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458498901698,8
87,Chamay,Mechanical and morphological aspects of experimental overload and fatigue in bone,210,1970, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/002192907090028X,4
90," D'lima, S Hashimoto, PC Chen…",Impact of mechanical trauma on matrix and cells.,197,2001, journals.lww.com,2007 …,https://journals.lww.com/corr/fulltext/2001/10001/Impact_of_Mechanical_Trauma_on_Matrix_and_Cells.9.aspx,8
11,"Poulet, RW Hamilton, S Shefelbine…",Characterizing a novel and adjustable noninvasive murine joint loading model,193,2011, Wiley Online Library, Arthritis & …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.27765,14
19,"Zhang, JHC Wang",Production of PGE2 increases in tendons subjected to repetitive mechanical loading and induces differentiation of tendon stem cells into non‐tenocytes,188,2010, Wiley Online Library, Journal of Orthopaedic Research,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20962,13
59," Roemer, T Neogi, MC Nevitt, DT Felson…","Subchondral bone marrow lesions are highly associated with, and predict subchondral bone attrition longitudinally: the MOST study",185,2010, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458409002192,12
