Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
94," Peterfy, A Guermazi, S Zaim, PFJ Tirman…",Whole-organ magnetic resonance imaging score (WORMS) of the knee in osteoarthritis,1651,2004, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458403002917,79
44," Hunter, A Guermazi, GH Lo, AJ Grainger…",Evolution of semi-quantitative whole joint assessment of knee OA: MOAKS (MRI Osteoarthritis Knee Score),935,2011, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458411001531,67
17," Peterfy, E Schneider, M Nevitt",The osteoarthritis initiative: report on the design rationale for the magnetic resonance imaging protocol for the knee,694,2008, Elsevier, Osteoarthritis and cartilage,https://www.sciencedirect.com/science/article/pii/S1063458408002239,41
100," Hill, DJ Hunter, J Niu, M Clancy…",Synovitis detected on magnetic resonance imaging and its relation to pain and cartilage loss in knee osteoarthritis,586,2007, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/66/12/1599.short,33
78," Hunter, GH Lo, D Gale, AJ Grainger…",The reliability of a new scoring system for knee osteoarthritis MRI and the validity of bone marrow lesion assessment: BLOKS (Boston–Leeds Osteoarthritis Knee …,584,2008, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/67/2/206.short,34
39,"Guermazi, J Niu, D Hayashi, FW Roemer, M Englund…",Prevalence of abnormalities in knees detected by MRI in adults without knee osteoarthritis: population based observational study (Framingham Osteoarthritis Study),582,2012, bmj.com, Bmj,https://www.bmj.com/content/345/bmj.e5339.short,45
5,"Eckstein, F Cicuttini, JP Raynauld, JC Waterton…",Magnetic resonance imaging (MRI) of articular cartilage in knee osteoarthritis (OA): morphological assessment,528,2006, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458406000653,28
52," Braun, GE Gold",Diagnosis of osteoarthritis: imaging,510,2012, Elsevier, Bone,https://www.sciencedirect.com/science/article/pii/S8756328211013585,39
14,"Yusuf, MC Kortekaas, I Watt, TWJ Huizinga…",Do knee abnormalities visualised on MRI explain knee pain in knee osteoarthritis? A systematic review,451,2011, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/70/1/60.short,32
25,"Eckstein, D Burstein, TM Link",Quantitative MRI of cartilage and bone: degenerative changes in osteoarthritis,421,2006, Wiley Online Library, NMR in Biomedicine: An …,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/nbm.1063,22
