Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
21, Powers,The influence of abnormal hip mechanics on knee injury: a biomechanical perspective,1563,2010, jospt.org, journal of orthopaedic & sports physical therapy,https://www.jospt.org/doi/abs/10.2519/jospt.2010.3337,104
98,"W HSU, S HIMENO, MB COVENTRY…",Normal axial alignment of the lower extremity and load-bearing distribution at the knee.,1070,1990, journals.lww.com,2007 …,https://journals.lww.com/corr/abstract/1990/06000/Normal_Axial_Alignment_of_the_Lower_Extremity_and.29.aspx,31
71," Krause, MH Pope, RJ Johnson, DG Wilder",Mechanical changes in the knee after meniscectomy,831,1976, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/abstract/1976/58050/Mechanical_changes_in_the_knee_after_meniscectomy.3.aspx,17
31," Andriacchi, A Mündermann",The role of ambulatory mechanics in the initiation and progression of knee osteoarthritis,759,2006, journals.lww.com, Current opinion in rheumatology,https://journals.lww.com/co-rheumatology/fulltext/2006/09000/Joint_injury_causes_knee_osteoarthritis_in_young.00015.aspx,40
48,"Goodfellow, J O'Connor",The mechanics of the knee and prosthesis design,659,1978, boneandjoint.org.uk, The Journal of Bone & Joint …,https://boneandjoint.org.uk/article/10.1302/0301-620X.60B3.581081,14
8," Andriacchi, S Koo, SF Scanlan",Gait mechanics influence healthy cartilage morphology and osteoarthritis of the knee,583,2009, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2009/02001/gait_mechanics_influence_healthy_cartilage.23.aspx,36
60,"Johnson, S Leitl, W Waugh",The distribution of load across the knee. A comparison of static and dynamic measurements,568,1980, boneandjoint.org.uk, The Journal of Bone & Joint …,https://boneandjoint.org.uk/article/10.1302/0301-620x.62b3.7410467,13
50," Hsieh, PS Walker",Stabilizing mechanisms of the loaded and unloaded knee joint,541,1976, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/abstract/1976/58010/Stabilizing_mechanisms_of_the_loaded_and_unloaded.16.aspx,11
15," Radin, RB Martin, DB Burr…",Effects of mechanical loading on the tissues of the rabbit knee,519,1984, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100020303,13
88," Winby, DG Lloyd, TF Besier, TB Kirk",Muscle and external load contribution to knee joint contact loads during normal gait,469,2009, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929009003716,29
67," Halloran, AJ Petrella, PJ Rullkoetter",Explicit finite element modeling of total knee replacement mechanics,418,2005, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929004000922,21
47," Hurwitz, AR Ryals, JA Block…",Knee pain and joint loading in subjects with osteoarthritis of the knee,389,2000, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100180409,16
66," Kulmala, J Avela, K Pasanen…",Forefoot strikers exhibit lower running-induced knee loading than rearfoot strikers,370,2013, paulogentil.com, Medicine & Science in …,https://paulogentil.com/pdf/TREINO%20DE%20FORC%CC%A7A/Hipertrofia/Forefoot%20Strikers%20Exhibit%20Lower%20Running-Induced%20Knee%20Loading%20than%20Rearfoot%20Strikers.pdf,31
1,Nisell,Mechanics of the knee: a study of joint and muscle load with clinical applications,356,1985, Taylor & Francis, Acta Orthopaedica Scandinavica,https://www.tandfonline.com/doi/abs/10.3109/17453678509154159,9
56," Werner, DC Ayers, LP Maletsky…",The effect of valgus/varus malalignment on load distribution in total knee replacements,339,2005, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929004000958,17
51," Petersen, GA Engh",Radiographic assessment of knee alignment after total knee arthroplasty,318,1988, Elsevier, The Journal of arthroplasty,https://www.sciencedirect.com/science/article/pii/S0883540388800548,9
53,"Mesfar, A Shiraz",Biomechanics of the knee joint in flexion under various quadriceps forces,307,2005, Elsevier, The knee,https://www.sciencedirect.com/science/article/pii/S096801600500061X,15
7,"Nagura, CO Dyrby, EJ Alexander…",Mechanical loads at the knee joint during deep flexion,295,2002, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1016/S0736-0266(01)00178-4,13
22,"Kumar, KT Manal, KS Rudolph",Knee joint loading during gait in healthy controls and individuals with knee osteoarthritis,283,2013, Elsevier, Osteoarthritis and cartilage,https://www.sciencedirect.com/science/article/pii/S1063458412010217,24
32," Draganich, TP Andriacchi…",Interaction between intrinsic knee mechanics and the knee extensor mechanism,256,1987, Wiley Online Library, Journal of orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100050409,7
76,"YASUDA, T SASAKI",The mechanics of treatment of the osteoarthritic knee with a wedged insole,250,1987, journals.lww.com, Clinical Orthopaedics and Related …,https://journals.lww.com/clinorthop/abstract/1987/02000/The_Mechanics_of_Treatment_of_the_Osteoarthritic.24.aspx,7
82," Pollard, IMC Davis, J Hamill",Influence of gender on hip and knee mechanics during a randomly cued cutting maneuver,245,2004, Elsevier, Clinical Biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003304001688,12
45," Kwak, CS Ahmad, TR Gardner…",Hamstrings and iliotibial band forces affect knee kinematics and contact pattern,244,2000, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100180115,10
77," Lawrence III, TW Kernozek, EJ Miller, MR Torry…",Influences of hip external rotation strength on knee mechanics during single-leg drop landings in females,229,2008, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S0268003308000533,13
28, Abde,Three-dimensional dynamic behaviour of the human knee joint under impact loading,227,1998, Elsevier, Medical engineering & physics,https://www.sciencedirect.com/science/article/pii/S1350453398000101,8
12," Vincent, BP Conrad, BJ Fregly, HK Vincent",The pathophysiology of osteoarthritis: a mechanical perspective on the knee joint,224,2012, Elsevier, PM&R,https://www.sciencedirect.com/science/article/pii/S1934148212000688,17
