Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
60," Schnitman, PS Wöhrle…",Ten-year results for Brånemark implants immediately loaded with fixed prostheses at implant placement.,1005,1997, search.ebscohost.com, … Journal of Oral & …,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=08822786&AN=37810091&h=lto9LeOpyuZNGTwsUjCYi4SYHqWIgDU%2FNqS83sGoVPaA1ZEeRjaUIvh4%2FNMXlTuXcmHgUEn90cjdpmS6gySR5A%3D%3D&crl=c,36
38," Park, SH Jeong, OW Kwon",Factors affecting the clinical success of screw implants used as orthodontic anchorage,991,2006, Elsevier, American Journal of Orthodontics and …,https://www.sciencedirect.com/science/article/pii/S0889540606003027,52
26," Lafortune, PR Cavanagh, HJ Sommer Iii…",Three-dimensional kinematics of the human knee during walking,963,1992, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/002192909290254X,29
89," Santoni, RA Hynes, KC McGilvray…",Cortical bone trajectory for lumbar pedicle screws,682,2009, Elsevier, The Spine Journal,https://www.sciencedirect.com/science/article/pii/S1529943008007213,43
73,"R Hardy, PY Descamps, P Krallis, L Fabeck…","Use of an intramedullary hip-screw compared with a compression hip-screw with a plate for intertrochanteric femoral fractures. A prospective, randomized study of one …",659,1998, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/1998/05000/use_of_an_intramedullary_hip_screw_compared_with_a.2.aspx,24
20,"Blankevoort, R Huiskes, A De Lange",The envelope of passive knee joint motion,526,1988, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/0021929088902801,14
7," Andriacchi, CO Dyrby",Interactions between kinematics and loading during walking for the normal and ACL deficient knee,518,2005, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929004000880,26
19," Hill, V Vedi, A Williams, H Iwaki…",Tibiofemoral movement 2: the loaded and unloaded living knee studied by MRI,482,2000, boneandjoint.org.uk, The Journal of Bone …,https://boneandjoint.org.uk/article/10.1302/0301-620X.82B8.0821196,19
9,"Renström, RJ Johnson",Anatomy and biomechanics of the menisci,428,1990, Elsevier, Clinics in sports medicine,https://www.sciencedirect.com/science/article/pii/S0278591920307043,12
83,"Follonier, E Doelker, ET Cole",… of hot-melt extrusion as a new technique for the production of polymer-based pellets for sustained release capsules containing high loadings of freely soluble drugs,353,1994, Taylor & Francis, Drug Development and Industrial …,https://www.tandfonline.com/doi/abs/10.3109/03639049409038373,11
85," Kim, SJ Ahn, YI Chang",Histomorphometric and mechanical analyses of the drill-free screw as orthodontic anchorage,346,2005, Elsevier, American Journal of Orthodontics and …,https://www.sciencedirect.com/science/article/pii/S0889540605001459,17
94,"Alkan, A Sertgöz, B Ekici",Influence of occlusal forces on stress distribution in preloaded dental implant screws,318,2004, Elsevier, The Journal of prosthetic dentistry,https://www.sciencedirect.com/science/article/pii/S0022391304000332,15
6," Piazza, PR Cavanagh",Measurement of the screw-home motion of the knee is sensitive to errors in axis alignment,298,2000, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929000000567,12
53," Alberta, MS Aronow, M Barrero…",Ligamentous Lisfranc joint injuries: a biomechanical comparison of dorsal plate and transarticular screw fixation,295,2005, journals.sagepub.com, Foot & ankle …,https://journals.sagepub.com/doi/abs/10.1177/107110070502600607,15
25," MARTIN, LEOA WHITESIDE",The influence of joint line position on knee stability after condylar knee arthroplasty,286,1990, journals.lww.com, Clinical Orthopaedics and …,https://journals.lww.com/clinorthop/abstract/1990/10000/The_Influence_of_Joint_Line_Position_on_Knee.21.aspx,8
88," Weber, DM Kim, MW Ng, JW Hwang…","Peri‐implant soft‐tissue health surrounding cement‐and screw‐retained implant restorations: a multi‐center, 3‐year prospective study",273,2006, Wiley Online Library, Clinical oral implants …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0501.2005.01232.x,14
16,"Hirokawa, M Solomonow, Z Luo, Y Lu…",Muscular co-contraction and control of knee stability,270,1991, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/1050641191900354,8
31,"Khraisat, A Hashimoto, S Nomura…",Effect of lateral cyclic loading on abutment screw loosening of an external hexagon implant system,269,2004, Elsevier, The Journal of prosthetic …,https://www.sciencedirect.com/science/article/pii/S0022391304000022,13
74," Johnston, EE Karaikovic, EP Lautenschlager…",Cervical pedicle screws vs. lateral mass screws: uniplanar fatigue analysis and residual pullout strengths,265,2006, Elsevier, The Spine Journal,https://www.sciencedirect.com/science/article/pii/S1529943006002841,14
3," Stiehl, DA Dennis, RD Komistek, HS Crane",In vivo determination of condylar lift-off and screw-home in a mobile-bearing total knee arthroplasty,240,1999, Elsevier, The Journal of arthroplasty,https://www.sciencedirect.com/science/article/pii/S0883540399900542,9
61," Light, S Nuzik, W Personius, A Barstrom",Low-load prolonged stretch vs. high-load brief stretch in treating knee contractures,238,1984, academic.oup.com, Physical Therapy,https://academic.oup.com/ptj/article-abstract/64/3/330/2727693,6
77,"Dietsch, R Brandner",Self-tapping screws and threaded rods as reinforcement for structural timber elements–A state-of-the-art report,218,2015, Elsevier, Construction and Building Materials,https://www.sciencedirect.com/science/article/pii/S0950061815004717,22
67," Cornelis, NR Scheffler, HJ De Clerck…",Systematic review of the experimental use of temporary skeletal anchorage devices in orthodontics,216,2007, Elsevier, American Journal of …,https://www.sciencedirect.com/science/article/pii/S0889540606014922,12
5," Moglo, A Shiraz",Cruciate coupling and screw-home mechanism in passive knee joint during extension–flexion,208,2005, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929004002805,10
79," Thompson, DS Gesink",Biomechanical comparison of syndesmosis fixation with 3.5-and 4.5-millimeter stainless steel screws,206,2000, journals.sagepub.com, Foot & Ankle International,https://journals.sagepub.com/doi/abs/10.1177/107110070002100904,8
43," Balshi, GJ Wolfinger…","A prospective study of immediate functional loading, following the teeth in a Day™ protocol: A case series of 55 consecutive edentulous maxillas",196,2005, Wiley Online Library, Clinical implant dentistry …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1708-8208.2005.tb00043.x,10
42,"Verma, P Saini, RS Malik, V Choudhary",… shielding and mechanical properties of high loading carbon-nanotubes/polymer composites designed using melt recirculation equipped twin-screw extruder,193,2015, Elsevier, Carbon,https://www.sciencedirect.com/science/article/pii/S0008622315002717,19
81,"Beumer, MM Campo, R Niesing, J Day…",Screw fixation of the syndesmosis: a cadaver model comparing stainless steel and titanium screws and three and four cortical fixation,186,2005, Elsevier, Injury,https://www.sciencedirect.com/science/article/pii/S0020138304001962,9
8," Lederman, RK Schenk…","Long-lasting osseointegration of immediately loaded, bar-connected TPS screws after 12 years of function: a histologic case report of a 95-year-old patient.",178,1998, search.ebscohost.com, International Journal of …,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=01987569&asa=Y&AN=37215198&h=w7PTuKCdwa3cpQ07zYZV90256CrqM7WBVshzGruXQZ6tcmUUxwRiVSmPPZlfAZswFKkv4rcKUSzYn4%2FZf6RdcA%3D%3D&crl=c,7
95," Masouros, AMJ Bull, AA Amis",(i) Biomechanics of the knee joint,166,2010, Elsevier, Orthopaedics and Trauma,https://www.sciencedirect.com/science/article/pii/S1877132710000308,11
13,"J Bull, HN Andersen, O Basso…",Incidence and Mechanism of the Pivot Shift: An In Vitro Study.,162,1999, journals.lww.com,2007 …,https://journals.lww.com/corr/abstract/1999/06000/incidence_and_mechanism_of_the_pivot_shift__an_in.29.aspx,6
