Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
32,"Altman, E Asch, D Bloch, G Bole…",Development of criteria for the classification and reporting of osteoarthritis: classification of osteoarthritis of the knee,8319,1986, Wiley Online Library, … : Official Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.1780290816,213
91," Peterfy, A Guermazi, S Zaim, PFJ Tirman…",Whole-organ magnetic resonance imaging score (WORMS) of the knee in osteoarthritis,1651,2004, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458403002917,79
14,"Murphy, TA Schwartz, CG Helmick…",Lifetime risk of symptomatic knee osteoarthritis,1401,2008, Wiley Online Library, Arthritis Care & …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.24021,82
86," Roos, S Toksvi",Knee injury and Osteoarthritis Outcome Score (KOOS)–validation and comparison to the WOMAC in total knee replacement,1145,2003, Springer, Health and quality of life outcomes,https://link.springer.com/article/10.1186/1477-7525-1-17,52
90," McAlindon, S Snow, C Cooper…",Radiographic patterns of osteoarthritis of the knee joint in the community: the importance of the patellofemoral joint.,762,1992, ard.bmj.com, Annals of the rheumatic …,https://ard.bmj.com/content/51/7/844.short,23
100," Van Baar, WJJ Assendelft, J Dekker…",Effectiveness of exercise therapy in patients with osteoarthritis of the hip or knee: a systematic review of randomized clinical trials,692,1999, Wiley Online Library, … : Official Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/1529-0131(199907)42:7%3C1361::AID-ANR9%3E3.0.CO;2-9,27
53,"Sharma, J Song, D Dunlop, D Felson…",Varus and valgus alignment and incident and progressive knee osteoarthritis,602,2010, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/69/11/1940.short,40
23,"Dieppe, J Cushnaghan, P Young…",Prediction of the progression of joint space narrowing in osteoarthritis of the knee by bone scintigraphy.,590,1993, ard.bmj.com, Annals of the rheumatic …,https://ard.bmj.com/content/52/8/557.short,18
66," Meyer, M Beck, T Ellis, R Ganz…",Comparison of six radiographic projections to assess femoral head/neck asphericity,586,2006, journals.lww.com, … and Related Research®,https://journals.lww.com/clinorthop/fulltext/2006/04000/comparison_of_six_radiographic_projections_to.23.aspx,31
89,"Guermazi, J Niu, D Hayashi, FW Roemer, M Englund…",Prevalence of abnormalities in knees detected by MRI in adults without knee osteoarthritis: population based observational study (Framingham Osteoarthritis Study),582,2012, bmj.com, Bmj,https://www.bmj.com/content/345/bmj.e5339.short,45
48," Hunter, Y Zhang, J Niu, J Goggins…",Increase in bone marrow lesions associated with cartilage loss: a longitudinal magnetic resonance imaging study of knee osteoarthritis,494,2006, Wiley Online Library, … : Official Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.21789,26
30,"Klässbo, E Larsson, E Mannevik",Hip disability and osteoarthritis outcome score An extension of the Western Ontario and McMaster Universities Osteoarthritis Index,478,2003, Taylor & Francis, Scandinavian journal of …,https://www.tandfonline.com/doi/abs/10.1080/03009740310000409,22
72," Cisternas, L Murphy, JJ Sacks…",Alternative methods for defining osteoarthritis and the impact on estimating prevalence in a US population‐based survey,364,2016, Wiley Online Library, Arthritis care & …,https://onlinelibrary.wiley.com/doi/pdf/10.1002/acr.22721,40
88," Kraus, B Burnett, J Coindreau, S Cottrell…",Application of biomarkers in the development of drugs intended for the treatment of osteoarthritis,362,2011, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458411000732,26
7," Davies, AS Vince, L Shepstone…",The radiologic prevalence of patellofemoral osteoarthritis.,354,2002, journals.lww.com,2007 …,https://journals.lww.com/corr/fulltext/2002/09000/the_radiologic_prevalence_of_patellofemoral.20.aspx,15
83,"Knoop, MPM Steultjens, M Van der Leeden…",Proprioception in knee osteoarthritis: a narrative review,349,2011, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458411000161,25
98,"Olsson, T Börjesson, T Lundstedt…",Detection and quantification of ochratoxin A and deoxynivalenol in barley grains by GC-MS and electronic nose,332,2002, Elsevier, International Journal of …,https://www.sciencedirect.com/science/article/pii/S0168160501006857,14
54," Duncan, EM Hay, J Saklatvala, PR Croft",Prevalence of radiographic osteoarthritis—it all depends on your point of view,330,2006, academic.oup.com, Rheumatology,https://academic.oup.com/rheumatology/article-abstract/45/6/757/1784951,17
95,"Angst, A Aeschlimann, BA Michel…",Minimal clinically important rehabilitation effects in patients with osteoarthritis of the lower extremities.,315,2002, jrheum.org, The Journal of …,https://www.jrheum.org/content/29/1/131.short,14
59,"Amin, MP LaValley, A Guermazi…",The relationship between cartilage loss on magnetic resonance imaging and radiographic progression in men and women with knee osteoarthritis,304,2005, Wiley Online Library, … : Official Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.21296,15
60,"Paul, AJ Reginato…",Alizarin red S staining as a screening test to detect calcium compounds in synovial fluid,293,1983, Wiley Online Library, Arthritis & Rheumatism …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.1780260211,7
