Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
98," Powers, E Witvrouw, IS Davis…",… for a pathomechanical model of patellofemoral pain: 2017 patellofemoral pain consensus statement from the 4th International Patellofemoral Pain Research Retreat …,348,2017, bjsm.bmj.com, British journal of sports …,https://bjsm.bmj.com/content/51/24/1713.abstract,44
80," Nakagawa, ÉTU Moriya, CD Maciel…","Trunk, pelvis, hip, and knee kinematics, hip strength, and gluteal muscle activation during a single-leg squat in males and females with and without patellofemoral pain …",506,2012, jospt.org, Journal of orthopaedic & …,https://www.jospt.org/doi/abs/10.2519/jospt.2012.3987,39
59,"Noehren, J Scholz, I Davis","The effect of real-time gait retraining on hip kinematics, pain and function in subjects with patellofemoral pain syndrome",490,2011, bjsm.bmj.com, British journal of sports medicine,https://bjsm.bmj.com/content/45/9/691.short,35
85," Willson, IS Davis",Lower extremity mechanics of females with and without patellofemoral pain across activities with progressively greater task demands,513,2008, Elsevier, Clinical biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003307001830,30
96," Lenhart, DG Thelen, CM Wille…",Increasing running step rate reduces patellofemoral joint forces,298,2014, ncbi.nlm.nih.gov, Medicine and science …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3925193/,27
15," Souza, CE Draper, M Fredericson…",Femur rotation and patellofemoral joint kinematics: a weight-bearing magnetic resonance imaging analysis,357,2010, jospt.org, journal of orthopaedic & …,https://www.jospt.org/doi/abs/10.2519/jospt.2010.3215,24
38,"Noehren, MB Pohl, Z Sanchez, T Cunningham…",Proximal and distal kinematics in female runners with patellofemoral pain,313,2012, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S0268003311002634,24
26," Powers, SR Ward, M Fredericson, M Guillet…",Patellofemoral kinematics during weight-bearing and non-weight-bearing knee extension in persons with lateral subluxation of the patella: a preliminary study,487,2003, jospt.org, Journal of Orthopaedic & …,https://www.jospt.org/doi/abs/10.2519/jospt.2003.33.11.677,22
42,"Aminaka, PA Gribble","Patellar taping, patellofemoral pain syndrome, lower extremity kinematics, and dynamic postural control",348,2008, meridian.allenpress.com, Journal of athletic training,https://meridian.allenpress.com/jat/article-abstract/43/1/21/129110,20
3,"Mizuno, M Kumagai, SM Mattessich…",Q‐angle influences tibiofemoral and patellofemoral kinematics,447,2001, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1016/S0736-0266(01)00008-0,19
7," Barton, P Levinger, HB Menz, KE Webster",Kinematic gait characteristics associated with patellofemoral pain syndrome: a systematic review,291,2009, Elsevier, Gait & posture,https://www.sciencedirect.com/science/article/pii/S0966636209003051,18
33," Nakagawa, CD Maciel, FV Serrão",Trunk biomechanics and its association with hip and knee kinematics in patients with and without patellofemoral pain,142,2015, Elsevier, Manual therapy,https://www.sciencedirect.com/science/article/pii/S1356689X14001799,14
88," Lenhart, J Kaiser, CR Smith, DG Thelen",Prediction and validation of load-dependent behavior of the tibiofemoral and patellofemoral joints during movement,139,2015, Springer, Annals of biomedical …,https://link.springer.com/article/10.1007/s10439-015-1326-3,14
22," Barton, P Levinger, KM Crossley, KE Webster…","The relationship between rearfoot, tibial and hip kinematics in individuals with patellofemoral pain syndrome",180,2012, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S026800331200040X,14
1," Amis, W Senavongse…",Patellofemoral kinematics during knee flexion‐extension: an in vitro study,239,2006, Wiley Online Library, Journal of orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20268,13
