Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
36," Myer, KR Ford, KDB Foss, C Liu…",The relationship of hamstrings and quadriceps strength to anterior cruciate ligament injury in female athletes,526,2009, journals.lww.com, Clinical journal of …,https://journals.lww.com/cjsportsmed/fulltext/2009/01000/The_Relationship_of_Hamstrings_and_Quadriceps.00002.aspx,33
5,"Li, TW Rudy, M Sakane, A Kanamori, CB Ma…",The importance of quadriceps and hamstring muscle loading on knee kinematics and in-situ forces in the ACL,824,1999, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S002192909800181X,32
4,"DeMorat, P Weinhold, T Blackburn…",Aggressive quadriceps loading can induce noncontact anterior cruciate ligament injury,666,2004, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546503258928,32
26," Blackburn, DA Padua","Sagittal-plane trunk position, landing forces, and quadriceps electromyographic activity",376,2009, meridian.allenpress.com, Journal of athletic training,https://meridian.allenpress.com/jat/article-abstract/44/2/174/110813,24
71," Lloyd, TS Buchanan",Strategies of muscular support of varus and valgus isometric loads at the human knee,581,2001, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929001000951,24
15," Mizner, L Snyder‐Mackler",Altered loading during walking and sit‐to‐stand is affected by quadriceps weakness after total knee arthroplasty,442,2005, Wiley Online Library, Journal of Orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1016/j.orthres.2005.01.021,22
87," Narici, H Hoppeler, B Kayser…","Human quadriceps cross‐sectional area, torque and neural activation during 6 months strength training",608,1996, Wiley Online Library, Acta physiologica …,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-201X.1996.483230000.x,21
35,"Renström, SW Arms, TS Stanwyck…",Strain within the anterior cruciate ligament during hamstring and quadriceps activity,763,1986, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/036354658601400114,20
58,"Maniar, MH Cole, AL Bryant, DA Opar",Muscle force contributions to anterior cruciate ligament loading,50,2022, Springer, Sports Medicine,https://link.springer.com/article/10.1007/s40279-022-01674-3,17
28," Withrow, LJ Huston, EM Wojtys…","The relationship between quadriceps muscle force, knee flexion, and anterior cruciate ligament strain in an in vitro simulated jump landing",312,2006, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546505280906,16
