Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
17," Lafortune, PR Cavanagh, HJ Sommer Iii…",Three-dimensional kinematics of the human knee during walking,964,1992, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/002192909290254X,29
58," Insall, R Binazzi, M Soudry…",Total knee arthroplasty,892,1985, journals.lww.com, … and Related Research®,https://journals.lww.com/clinorthop/abstract/1985/01000/total_knee_arthroplasty.3.aspx,22
80," Grood, SF Stowers, FR Noyes",Limits of movement in the human knee. Effect of sectioning the posterior cruciate ligament and posterolateral structures.,831,1988, journals.lww.com, Jbjs,https://journals.lww.com/jbjsjournal/abstract/1988/70010/Limits_of_movement_in_the_human_knee__Effect_of.14.aspx,22
93," HUNGERFORD, M Barry",Biomechanics of the patellofemoral joint.,751,1979, journals.lww.com, Clinical Orthopaedics and Related …,https://journals.lww.com/corr/citation/1979/10000/biomechanics_of_the_patellofemoral_joint.3.aspx,16
78," Hollister, S Jatana, AK Singh…",The axes of rotation of the knee,697,1993, journals.lww.com, Clinical Orthopaedics …,https://journals.lww.com/clinorthop/abstract/1993/05000/the_axes_of_rotation_of_the_knee.33.aspx,22
54,"Hashemi, N Chandrashekar, B Gill, BD Beynnon…",The geometry of the tibial plateau and its influence on the biomechanics of the tibiofemoral joint,531,2008, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2008/12000/the_geometry_of_the_tibial_plateau_and_its.19.aspx,31
29,"Blankevoort, R Huiskes, A De Lange",The envelope of passive knee joint motion,526,1988, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/0021929088902801,14
81,"Pajarinen, J Lindahl, O Michelsson…",Pertrochanteric femoral fractures treated with a dynamic hip screw or a proximal femoral nail: a randomised study comparing post-operative rehabilitation,498,2005, boneandjoint.org.uk, The Journal of Bone …,https://boneandjoint.org.uk/article/10.1302/0301-620x.87b1.15249,25
48,"Flandry, G Hommel",Normal anatomy and biomechanics of the knee,452,2011, journals.lww.com, Sports medicine and arthroscopy review,https://journals.lww.com/sportsmedarthro/FullText/2011/06000/Normal_Anatomy_and_Biomechanics_of_the_Knee.2.aspx,32
26,"Renström, RJ Johnson",Anatomy and biomechanics of the menisci,428,1990, Elsevier, Clinics in sports medicine,https://www.sciencedirect.com/science/article/pii/S0278591920307043,12
30," Trent, PS Walker, B Wolf","Ligament length patterns, strength, and rotational axes of the knee joint.",381,1976, journals.lww.com, Clinical Orthopaedics and Related …,"https://journals.lww.com/corr/citation/1976/06000/ligament_length_patterns,_strength,_and_rotational.34.aspx",8
71," Frankel, AH Burstein, DB Brooks",Biomechanics of internal derangement of the knee: pathomechanics as determined by analysis of the instant centers of motion,378,1971, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/abstract/1971/53050/biomechanics_of_internal_derangement_of_the_knee_.10.aspx,7
