Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
83," Markolf, DM Burchfield, MM Shapiro…",Combined knee loading states that generate high anterior cruciate ligament forces,1377,1995, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100130618,46
62," Gabriel, EK Wong, SLY Woo…",Distribution of in situ forces in the anterior cruciate ligament in response to rotatory loads,872,2004, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1016/S0736-0266(03)00133-5,42
58,"Fukubayashi, PA Torzilli, MF Sherman, RF Warren","An in vitro biomechanical evaluation of anterior-posterior motion of the knee. Tibial displacement, rotation, and torque.",732,1982, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/abstract/1982/64020/an_in_vitro_biomechanical_evaluation_of.18.aspx,17
10,"Y Woo, A Kanamori, J Zeminski, M Yagi…",… effectiveness of reconstruction of the anterior cruciate ligament with hamstrings and patellar tendon: a cadaveric study comparing anterior tibial and rotational loads,716,2002, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2002/06000/The_Effectiveness_of_Reconstruction_of_the.3.aspx,31
19,"Zantop, M Herbort, MJ Raschke…",The role of the anteromedial and posterolateral bundles of the anterior cruciate ligament in anterior tibial translation and internal rotation,632,2007, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546506294571,35
35," Markolf, WL Bargar, SC Shoemaker, HC Amstutz",The role of joint load in knee stability.,572,1981, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/citation/1981/63040/the_role_of_joint_load_in_knee_stability_.7.aspx,13
66," Hill, V Vedi, A Williams, H Iwaki…",Tibiofemoral movement 2: the loaded and unloaded living knee studied by MRI,482,2000, boneandjoint.org.uk, The Journal of Bone …,https://boneandjoint.org.uk/article/10.1302/0301-620X.82B8.0821196,19
89," Hurwitz, DR Sumner, TP Andriacchi…",Dynamic knee loads during gait predict proximal tibial bone distribution,424,1998, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929098000281,16
90," Shin, AM Chaudhari, TP Andriacchi",Valgus plus internal rotation moments increase anterior cruciate ligament strain more than either alone,298,2011, academia.edu, Medicine & Science in …,https://www.academia.edu/download/31446776/Valgus_plus_internal_rotation_moments.pdf,21
84,"Yoshioka, DW Siu, RA Scudamore…",Tibial anatomy and functional axes,296,1989, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100070118,8
73,"Kanamori, J Zeminski, TW Rudy, G Li, FH Fu…",The effect of axial tibial torque on the function of the anterior cruciate ligament: a biomechanical study of a simulated pivot shift test,290,2002, Elsevier, … : The Journal of …,https://www.sciencedirect.com/science/article/pii/S0749806302310090,13
3,"Ristanis, N Stergiou, K Patras, HS Vasiliadis…",Excessive tibial rotation during high-demand activities is not restored by anterior cruciate ligament reconstruction,287,2005, Elsevier, … : The Journal of …,https://www.sciencedirect.com/science/article/pii/S0749806305011953,14
14,"Ristanis, G Giakas, CD Papageorgiou…",The effects of anterior cruciate ligament reconstruction on tibial rotation during pivoting after descending stairs,279,2003, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-003-0428-x,13
61," Meyer, RC Haut",Anterior cruciate ligament injury induced by internal tibial torsion or tibiofemoral compression,275,2008, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929008004843,16
44,"Zhao, SA Banks, DD D'Lima…",In vivo medial and lateral tibial loads during dynamic and high flexion activities,263,2007, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20362,15
31," Georgoulis, S Ristanis, V Chouliaras…",Tibial rotation is not restored after ACL reconstruction with a hamstring graft,247,2007, journals.lww.com, Clinical Orthopaedics …,https://journals.lww.com/clinorthop/fulltext/2007/01000/Tibial_Rotation_is_Not_Restored_after_ACL.16.aspx,14
51," Scanlan, AMW Chaudhari, CO Dyrby…",Differences in tibial rotation during walking in ACL reconstructed and healthy contralateral knees,241,2010, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S002192901000093X,16
5,"Stergiou, S Ristanis, C Moraiti, AD Georgoulis",Tibial rotation in anterior cruciate ligament (ACL)-deficient and ACL-reconstructed knees: a theoretical proposition for the development of osteoarthritis,217,2007, Springer, Sports medicine,https://link.springer.com/article/10.2165/00007256-200737070-00004,12
67,"Li, LE DeFrate, S Zayontz, SE Park…",The effect of tibiofemoral joint kinematics on patellofemoral contact pressures under simulated muscle loads,194,2004, Wiley Online Library, Journal of orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1016/j.orthres.2003.11.011,9
20,"Li, TW Rudy, C Allen, M Sakane…",Effect of combined axial compressive and anterior tibial loads on in situ forces in the anterior cruciate ligament: A porcine study,178,1998, Wiley Online Library, Journal of Orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.1100160121,7
87, Turner,The association between tibial torsion and knee joint pathology.,174,1994, journals.lww.com, Clinical Orthopaedics and Related Research (1976 …,https://journals.lww.com/corr/abstract/1994/05000/the_association_between_tibial_torsion_and_knee.9.aspx,6
76,"Wehner, L Claes, U Simon",Internal loads in the human tibia during gait,171,2009, Elsevier, Clinical Biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003308003537,11
