Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
28,"Sharma, DE Hurwitz, EJMA Thonar…","Knee adduction moment, serum hyaluronan level, and disease severity in medial tibiofemoral osteoarthritis",911,1998, Wiley Online Library, Arthritis & …,https://onlinelibrary.wiley.com/doi/abs/10.1002/1529-0131(199807)41:7%3C1233::AID-ART14%3E3.0.CO;2-L,34
68," McAlindon, S Snow, C Cooper…",Radiographic patterns of osteoarthritis of the knee joint in the community: the importance of the patellofemoral joint.,762,1992, ard.bmj.com, Annals of the rheumatic …,https://ard.bmj.com/content/51/7/844.short,23
52,"Ayral, EH Pickering, TG Woodworth…",Synovitis: a potential predictive factor of structural progression of medial tibiofemoral knee osteoarthritis–results of a 1 year longitudinal arthroscopic study in …,744,2005, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S106345840500021X,37
73,"Sharma, J Song, D Dunlop, D Felson…",Varus and valgus alignment and incident and progressive knee osteoarthritis,601,2010, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/69/11/1940.short,40
78,"Sharma, C Lou, S Cahue…",The mechanism of the effect of obesity in knee osteoarthritis: the mediating role of malalignment,504,2000, Wiley Online Library, Arthritis & Rheumatism …,https://onlinelibrary.wiley.com/doi/abs/10.1002/1529-0131(200003)43:3%3C568::AID-ANR13%3E3.0.CO;2-E,20
84,"Englund, A Guermazi, FW Roemer…",Meniscal tear in knees without surgery and the development of radiographic osteoarthritis among middle‐aged and elderly persons: the Multicenter Osteoarthritis …,498,2009, Wiley Online Library, … : Official Journal of …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.24383,31
16," Petersson, T Boegård, T Saxne, AJ Silman…",Radiographic osteoarthritis of the knee classified by the Ahlbäck and Kellgren & Lawrence systems for the tibiofemoral joint in people aged 35–54 years with chronic …,470,1997, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/56/8/493.short,17
87,"Sharma, DD Dunlop, S Cahue, J Song…",Quadriceps strength and osteoarthritis progression in malaligned and lax knees,468,2003, acpjournals.org, Annals of internal …,https://www.acpjournals.org/doi/abs/10.7326/0003-4819-138-8-200304150-00006,21
89,"Suri, SE Gill, SM de Camin, DF McWilliams…",Neurovascular invasion at the osteochondral junction and in osteophytes in osteoarthritis,465,2007, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/66/11/1423.short,26
13,"Neuman, M Englund, I Kostogiannis…",Prevalence of tibiofemoral osteoarthritis 15 years after nonoperative treatment of anterior cruciate ligament injury: a prospective cohort study,461,2008, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546508316770,27
7,"Chang, K Hayes, D Dunlop, J Song…",Hip abduction moment and protection against medial tibiofemoral osteoarthritis progression,388,2005, Wiley Online Library, Arthritis & …,https://acrjournals.onlinelibrary.wiley.com/doi/abs/10.1002/art.21406,19
98,"Niu, YQ Zhang, J Torner, M Nevitt…",Is obesity a risk factor for progressive radiographic knee osteoarthritis?,367,2009, Wiley Online Library, Arthritis Care & …,https://onlinelibrary.wiley.com/doi/abs/10.1002/art.24337,23
