Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
22,"Van Oevelen, M Peiffer, A Chevalier, J Victor…",The relation between meniscal dynamics and tibiofemoral kinematics,0,2024, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-024-59265-3,0
76,"Dunning, SAW van de Groes, CF Buckens, M Prokop…",Fully automatic extraction of knee kinematics from dynamic CT imaging; normative tibiofemoral and patellofemoral kinematics of 100 healthy volunteers,5,2023, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016022002216,2
95,"Haudenschild, M Hull",Optimized Joint Coordinate System Achieves Clinically Meaningful Kinematics of the Tibiofemoral Joint as Compared to the International Society of Biomechanics (ISB …,1,2022, europepmc.org, Journal of Biomechanical Engineering,https://europepmc.org/article/med/35118495,0
68," Petersen, S Rytter, D Koppens, J Dalsgaard…",Patients with knee osteoarthritis can be divided into subgroups based on tibiofemoral joint kinematics of gait–an exploratory and dynamic radiostereometric …,16,2022, Elsevier, Osteoarthritis and …,https://www.sciencedirect.com/science/article/pii/S1063458421009420,5
100," Lin, HL Lu, TW Lu, CY Wang, JD Li, MY Kuo…",Reconstruction of Three-Dimensional Tibiofemoral Kinematics Using Single-Plane Fluoroscopy and a Personalized Kinematic Model,1,2021, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/11/20/9415,0
96,"Thomeer, S Guan, H Gray, A Schache…",Six-degree-of-freedom tibiofemoral and patellofemoral joint motion during activities of daily living,19,2021, Springer, Annals of Biomedical …,https://link.springer.com/article/10.1007/s10439-020-02646-2,5
54,"Zhou, Z Zhang, Z Rao, T Foster, H Bedair, G Li",Physiological articular contact kinematics and morphological femoral condyle translations of the tibiofemoral joint,10,2021, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929021003171,2
88,"Kiyohara, S Hamai, H Gondo, H Higaki, S Ikebe…",Tibiofemoral kinematics in healthy and osteoarthritic knees during twisting,3,2020, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0972978X20301355,1
57, Hull,Coordinate system requirements to determine motions of the tibiofemoral joint free from kinematic crosstalk errors,19,2020, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929020303511,4
53,"Markolf, K Yamaguchi, J Matthew…",Effects of tibiofemoral compression on ACL forces and knee kinematics under combined knee loads,19,2019, Wiley Online Library, Journal of Orthopaedic …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.24233,3
52,"Yu, J Yao, X Wang, X Xin, K Zhang…",Research methods and progress of patellofemoral joint kinematics: a review,29,2019, Wiley Online Library, Journal of healthcare …,https://onlinelibrary.wiley.com/doi/abs/10.1155/2019/9159267,5
9,"Maderbacher, A Keshmiri, B Krieg, F Greimel…",Kinematic component alignment in total knee arthroplasty leads to better restoration of natural tibiofemoral kinematics compared to mechanic alignment,38,2019, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-018-5105-1,6
38," Liao, CM Powers",Tibiofemoral kinematics in the transverse and frontal planes influence the location and magnitude of peak patella cartilage stress: An investigation of runners …,24,2019, Elsevier, Clinical Biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003318303474,4
99," Angerame, DC Holst, JM Jennings…",Total knee arthroplasty kinematics,69,2019, Elsevier, The Journal of …,https://www.sciencedirect.com/science/article/pii/S0883540319305200,12
32,"Meng, S Jaeger, R Sonntag, S Schroeder…",How prosthetic design influences knee kinematics: a narrative review of tibiofemoral kinematics of healthy and joint-replaced knees,3,2019, Taylor & Francis, Expert Review of …,https://www.tandfonline.com/doi/abs/10.1080/17434440.2019.1564037,0
85," Tsai, MHL Liow, G Li, P Arauz…",Bi‐cruciate retaining total knee arthroplasty does not restore native tibiofemoral articular contact kinematics during gait,41,2019, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.24333,7
50,"Wang, RN Kent III, MJ Amirtharaj, BM Hardy…","Tibiofemoral kinematics during compressive loading of the ACL-intact and ACL-sectioned knee: roles of tibial slope, medial eminence volume, and anterior laxity",18,2019, journals.lww.com, JBJS,https://journals.lww.com/jbjsjournal/fulltext/2019/06190/tibiofemoral_kinematics_during_compressive_loading.6.aspx,3
64,"Zampeli, I Terzidis, J Espregueir",Restoring tibiofemoral alignment during ACL reconstruction results in better knee biomechanics,16,2018, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-017-4742-0,2
34," Heyse, BF E",Internal femoral component malrotation in TKA significantly alters tibiofemoral kinematics,28,2018, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-017-4778-1,4
71," Vignos, JM Kaiser, GS Baer, R Kijowski…",… of Biomechanics Clinical Biomechanics Award 2017: Non-anatomic graft geometry is linked with asymmetric tibiofemoral kinematics and cartilage contact …,16,2018, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S0268003318303498,2
97," Koh, JH Nam, KT Kang",Effect of geometric variations on tibiofemoral surface and post-cam design of normal knee kinematics restoration,14,2018, Springer, Journal of experimental orthopaedics,https://link.springer.com/article/10.1186/s40634-018-0167-z,2
56,"Mazzoli, J Schoormans, M Froeling…",Accelerated 4D self‐gated MRI of tibiofemoral kinematics,16,2017, Wiley Online Library, NMR in …,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/nbm.3791,2
92,"Xie, R Rusly, JD DesJardins, F Voss…",Effect of rotational prosthetic alignment variation on tibiofemoral contact pressure distribution and joint kinematics in total knee replacement,10,2017, journals.sagepub.com, Proceedings of the …,https://journals.sagepub.com/doi/abs/10.1177/0954411917727564,1
62," Esculier, RW Willy, MW Baggaley, SA Meardon…",Sex-specific kinetic and kinematic indicators of medial tibiofemoral force during walking and running,16,2017, Elsevier, The Knee,https://www.sciencedirect.com/science/article/pii/S0968016017302557,2
24,"Maderbacher, A Keshmiri, HR Springorum…",Influence of component rotation in total knee arthroplasty on tibiofemoral kinematics—a cadaveric investigation,22,2017, Elsevier, The Journal of …,https://www.sciencedirect.com/science/article/pii/S0883540317302929,3
43,"Gasparutto, F Moissenet, Y Lafon…",Kinematics of the normal knee during dynamic activities: a synthesis of data from intracortical pins and biplane imaging,26,2017, Wiley Online Library, Applied bionics and …,https://onlinelibrary.wiley.com/doi/abs/10.1155/2017/1908618,3
42,"List, B Postolka, P Schütz, M Hitz, P Schwilch…",A moving fluoroscope to capture tibiofemoral kinematics during complete cycles of free level and downhill walking as well as stair descent,47,2017, journals.plos.org, PloS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185952,6
41," Kaiser, MF Vignos, R Kijowski…",Effect of loading on in vivo tibiofemoral and patellofemoral kinematics of healthy and ACL-reconstructed knees,29,2017, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546517724417,4
80,"Watanabe, S Kuriyama, S Nakamura…",Varus femoral and tibial coronal alignments result in different kinematics and kinetics after total knee arthroplasty,11,2017, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-017-4570-2,1
69,"Inderhaug, JM Stephen, H E",The effects of anterolateral tenodesis on tibiofemoral contact pressures and kinematics,82,2017, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546517717260,10
35,"Maderbacher, C Baier, HR Springorum…",Lower limb anatomy and alignment affect natural tibiofemoral knee kinematics: a cadaveric investigation,32,2016, Elsevier, The Journal of …,https://www.sciencedirect.com/science/article/pii/S0883540316001959,4
58,"Akbari Shandiz, P Boulos…",Changes in knee kinematics following total knee arthroplasty,33,2016, journals.sagepub.com, Proceedings of the …,https://journals.sagepub.com/doi/abs/10.1177/0954411916632491,4
47,"Farrokhi, B Meholic, WN Chuang, JA Gustafson…",Altered frontal and transverse plane tibiofemoral kinematics and patellofemoral malalignments during downhill gait in patients with mixed knee osteoarthritis,25,2015, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929015002924,2
31,"Arnout, L Vanlommel, J Vanlommel…",Post-cam mechanics and tibiofemoral kinematics: a dynamic in vitro analysis of eight posterior-stabilized total knee designs,75,2015, Springer, Knee surgery  sports …,https://link.springer.com/article/10.1007/s00167-014-3167-2,8
82," Lenhart, J Kaiser, CR Smith, DG Thelen",Prediction and validation of load-dependent behavior of the tibiofemoral and patellofemoral joints during movement,142,2015, Springer, Annals of biomedical …,https://link.springer.com/article/10.1007/s10439-015-1326-3,14
90," Smoger, CK Fitzpatrick, CW Clary…",Statistical modeling to characterize relationships between knee anatomy and kinematics,70,2015, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.22948,7
16,"Hofbauer, ED Thorhauer, E Abebe…",Altered tibiofemoral kinematics in the affected knee and compensatory changes in the contralateral knee after anterior cruciate ligament reconstruction,125,2014, journals.sagepub.com, … American Journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546514549444,11
63,"Farrokhi, CA Voycheck, BA Klatt, JA Gustafson…",Altered tibiofemoral joint contact mechanics and kinematics in patients with knee osteoarthritis and episodic complaints of joint instability,46,2014, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S0268003314000990,4
27,"Vandenneucker, L Labey, J Victor…",Patellofemoral arthroplasty influences tibiofemoral kinematics: the effect of patellar thickness,27,2014, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-014-3160-9,2
49,"Digennaro, F Zambianchi, A Marcovigi…",Design and kinematics in total knee arthroplasty,67,2014, Springer, International …,https://link.springer.com/article/10.1007/s00264-013-2245-2,6
61," Saevarsson, CI Romeo, C Anglin",Are static and dynamic kinematics comparable after total knee arthroplasty?,24,2013, Elsevier, Journal of Biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929013000067,2
