Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
54," Lafortune, PR Cavanagh, HJ Sommer Iii…",Three-dimensional kinematics of the human knee during walking,975,1992, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/002192909290254X,30
88," Andriacchi, EJ Alexander, MK Toney, C Dyrby…",A Point Cluster Method for In Vivo Motion Analysis: Applied to a Study of Knee Kinematics,700,1998, asmedigitalcollection.asme.org,,https://asmedigitalcollection.asme.org/biomechanical/article-abstract/120/6/743/398089,26
19," Georgoulis, A Papadonikolakis…",Three-dimensional tibiofemoral kinematics of the anterior cruciate ligament-deficient and reconstructed knee during walking,544,2003, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/03635465030310012401,25
57,"Leardini, MG Benedetti, F Catani, L Simoncini…",An anatomically based protocol for the description of foot segment kinematics during gait,355,1999, Elsevier, Clinical …,https://www.sciencedirect.com/science/article/pii/S026800339900008X,14
99,"Gerus, M Sartori, TF Besier, BJ Fregly, SL Delp…",Subject-specific knee joint geometry improves predictions of medial tibiofemoral contact forces,304,2013, Elsevier, Journal of …,https://www.sciencedirect.com/science/article/pii/S0021929013004144,25
74,"Dejnabadi, BM Jolles, E Casanova…",Estimation and visualization of sagittal kinematics of lower limbs orientation using body-fixed sensors,253,2006, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/1643407/,13
75," Lerner, MS DeMers, SL Delp, RC Browning",How tibiofemoral alignment and contact locations affect predictions of medial and lateral tibiofemoral contact forces,238,2015, Elsevier, Journal of biomechanics,https://www.sciencedirect.com/science/article/pii/S0021929014007179,24
63,"Li, LE DeFrate, SE Park, TJ Gill…",In Vivo articular cartilage contact kinematics of the knee: An investigation using dual-orthogonal fluoroscopy and magnetic resonance image–based computer models,225,2005, journals.sagepub.com, The American journal …,https://journals.sagepub.com/doi/abs/10.1177/0363546504265577,11
84,"Moro‐oka, S Hamai, H Miura…",Dynamic activity dependence of in vivo normal knee kinematics,213,2008, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.20488,13
11," Ramsey, PF Wretenberg",Biomechanics of the knee: methodological considerations in the in vivo kinematic analysis of the tibiofemoral and patellofemoral joint,203,1999, Elsevier, Clinical biomechanics,https://www.sciencedirect.com/science/article/pii/S0268003399000157,8
45," Fregly, HA Rahman, SA Banks",Theoretical accuracy of model-based shape matching for measuring natural knee kinematics with single-plane fluoroscopy,189,2005, asmedigitalcollection.asme.org,,https://asmedigitalcollection.asme.org/biomechanical/article-abstract/127/4/692/450785,9
87," Yang, H Nayeb‐Hashemi…",Effect of frontal plane tibiofemoral angle on the stress and strain at the knee cartilage during the stance phase of gait,182,2010, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/jor.21174,12
97," Patel, K Hall, M Ries, J Lotz…",A three‐dimensional MRI analysis of knee kinematics,169,2004, Wiley Online Library, Journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1016/j.orthres.2003.08.015,8
31," Deneweth, MJ Bey, SG McLean…",Tibiofemoral joint kinematics of the anterior cruciate ligament-reconstructed knee during a single-legged hop landing,164,2010, journals.sagepub.com, … American journal of …,https://journals.sagepub.com/doi/abs/10.1177/0363546510365531,11
