Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
1,"Bredies, K Kunisch, T Pock",Total generalized variation,1702,2010, SIAM, SIAM Journal on Imaging Sciences,https://epubs.siam.org/doi/abs/10.1137/090769521,113
2,"Knoll, K Bredies, T Pock…",Second order total generalized variation (TGV) for MRI,687,2011, Wiley Online Library, Magnetic resonance in …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.22595,49
8,"Ferstl, C Reinbacher, R Ranftl…",Image guided depth upsampling using anisotropic total generalized variation,605,2013, openaccess.thecvf.com, Proceedings of the …,http://openaccess.thecvf.com/content_iccv_2013/html/Ferstl_Image_Guided_Depth_2013_ICCV_paper.html,50
19,"Rodríguez, B Wohlberg",Efficient minimization method for a generalized total variation functional,287,2008, ieeexplore.ieee.org, IEEE Transactions on Image …,https://ieeexplore.ieee.org/abstract/document/4729670/,17
11,"Niu, Y Gao, Z Bian, J Huang, W Chen…",Sparse-view x-ray CT reconstruction via total generalized variation regularization,287,2014, iopscience.iop.org, Physics in Medicine …,https://iopscience.iop.org/article/10.1088/0031-9155/59/12/2997/meta,26
9,"Langkammer, K Bredies, BA Poser, M Barth…",Fast quantitative susceptibility mapping using 3D EPI and total generalized variation,239,2015, Elsevier, Neuroimage,https://www.sciencedirect.com/science/article/pii/S1053811915001421,24
5,"Ranftl, K Bredies, T Pock",Non-local total generalized variation for optical flow estimation,163,2014, Springer, European conference on computer vision,https://link.springer.com/chapter/10.1007/978-3-319-10590-1_29,15
4,"Valkonen, K Bredies, F Knoll",Total generalized variation in diffusion tensor imaging,138,2013, SIAM, SIAM journal on imaging sciences,https://epubs.siam.org/doi/abs/10.1137/120867172,12
3,"Bredies, T Valkonen",Inverse problems with second-order total generalized variation constraints,135,2020, arxiv.org, arXiv preprint arXiv:2005.09725,https://arxiv.org/abs/2005.09725,27
15,Bredies,Recovering piecewise smooth multichannel images by minimization of convex functionals with total generalized variation penalty,117,2014, Springer, Efficient Algorithms for Global Optimization Methods in …,https://link.springer.com/chapter/10.1007/978-3-642-54774-4_3,11
14,"Duan, W Lu, C Tench, I Gottlob, F Proudlock…",Denoising optical coherence tomography using second order total generalized variation decomposition,99,2016, Elsevier, … Signal Processing and …,https://www.sciencedirect.com/science/article/pii/S1746809415001664,11
22,"Kong, Z Peng",Seismic random noise attenuation using shearlet and total generalized variation,95,2015, academic.oup.com, Journal of Geophysics and Engineering,https://academic.oup.com/jge/article-abstract/12/6/1024/5110787,10
13,"Bredies, Y Dong, M Hintermüller",Spatially dependent regularization parameter selection in total generalized variation models for image restoration,93,2013, Taylor & Francis, International Journal of …,https://www.tandfonline.com/doi/abs/10.1080/00207160.2012.700400,8
59,"Wang, H Zhu…",Generalized scalar-on-image regression models via total variation,93,2017, Taylor & Francis, Journal of the …,https://www.tandfonline.com/doi/abs/10.1080/01621459.2016.1194846,12
6,"Bredies, M Holler",Regularization of linear inverse problems with total generalized variation,88,2014, degruyter.com,posed problems,https://www.degruyter.com/document/doi/10.1515/jip-2013-0068/html,8
62," Karahanoglu, I Bayram…",A signal processing approach to generalized 1-D total variation,80,2011, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/5981401/,6
89,"Hu, G Ongie, S Ramani…",Generalized higher degree total variation (HDTV) regularization,75,2014, ieeexplore.ieee.org, IEEE transactions on image …,https://ieeexplore.ieee.org/abstract/document/6781649/,7
25,"Schloegl, M Holler, A Schwarzl…",Infimal convolution of total generalized variation functionals for dynamic MRI,72,2017, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.26352,9
20,"Zhang, L Tang, Z Fang, C Xiang, C Li",Nonconvex and nonsmooth total generalized variation model for image restoration,58,2018, Elsevier, Signal Processing,https://www.sciencedirect.com/science/article/pii/S0165168417303043,8
64,"Guo, Y Ma",Generalized tensor total variation minimization for visual data recovery,50,2015, openaccess.thecvf.com, Proceedings of the IEEE Conference on …,http://openaccess.thecvf.com/content_cvpr_2015/html/Guo_Generalized_Tensor_Total_2015_CVPR_paper.html,5
7," Kongskov, Y Dong, K Knudsen",Directional total generalized variation regularization,44,2019, Springer, BIT Numerical Mathematics,https://link.springer.com/article/10.1007/s10543-019-00755-6,7
17,"Huber, G Haberfehlner, M Holler, G Kothleitner…",Total generalized variation regularization for multi-modal electron tomography,43,2019, pubs.rsc.org, Nanoscale,https://pubs.rsc.org/en/content/articlehtml/2019/nr/c8nr09058k,7
100,"Gao, L Huang",Acoustic-and elastic-waveform inversion with total generalized p-variation regularization,37,2019, academic.oup.com, Geophysical Journal International,https://academic.oup.com/gji/article-abstract/218/2/933/5484840,6
10,"Bredies, M Holler, M Storath, A Weinmann",Total generalized variation for manifold-valued data,37,2018, SIAM, SIAM Journal on Imaging …,https://epubs.siam.org/doi/abs/10.1137/17M1147597,5
34," Shama, TZ Huang, J Liu, S Wang",A convex total generalized variation regularized model for multiplicative noise and blur removal,35,2016, Elsevier, Applied Mathematics and …,https://www.sciencedirect.com/science/article/pii/S0096300315016069,4
26,"Wali, H Zhang, H Chang, C Wu",A new adaptive boosting total generalized variation (TGV) technique for image denoising and inpainting,35,2019, Elsevier, Journal of Visual Communication and …,https://www.sciencedirect.com/science/article/pii/S1047320318303730,6
50,"Knoll, G Schultz, K Bredies…",Reconstruction of undersampled radial PatLoc imaging using total generalized variation,35,2013, Wiley Online Library, Magnetic resonance …,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.24426,3
95,"Zhang, L Wang, B Yan, L Li, A Cai, G Hu",Constrained total generalized p-variation minimization for few-view X-ray computed tomography image reconstruction,34,2016, journals.plos.org, PLoS One,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0149899,4
40," Liu, L Shi, SCH Yu, D Wang",Box-constrained second-order total generalized variation minimization with a combined  data-fidelity term for image reconstruction,34,2015, spiedigitallibrary.org, Journal of Electronic …,https://www.spiedigitallibrary.org/journals/journal-of-electronic-imaging/volume-24/issue-3/033026/Box-constrained-second-order-total-generalized-variation-minimization-with-a/10.1117/1.JEI.24.3.033026.short,3
21,"Ono, I Yamada, I Kumazawa",Total generalized variation for graph signals,31,2015, ieeexplore.ieee.org, 2015 IEEE International …,https://ieeexplore.ieee.org/abstract/document/7179014/,3
24,"He, C Hu, X Yang, H He, Q Zhang",An adaptive total generalized variation model with augmented Lagrangian method for image denoising,29,2014, hindawi.com, Mathematical Problems in …,https://www.hindawi.com/journals/mpe/2014/157893/abs/,3
31,Liu,Augmented Lagrangian method for total generalized variation based Poissonian image restoration,29,2016, Elsevier, Computers & Mathematics with Applications,https://www.sciencedirect.com/science/article/pii/S0898122116301213,3
16,"Gao, F Liu, X Yang",Total generalized variation restoration with non-quadratic fidelity,27,2018, Springer, Multidimensional Systems and Signal Processing,https://link.springer.com/article/10.1007/s11045-017-0512-x,4
53," Zhang, J Yu, ZF Wang",Probability contour guided depth map inpainting and superresolution using non-local total generalized variation,26,2018, Springer, Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-017-4791-x,4
18,"Ono, I Yamada",Second-order total generalized variation constraint,26,2014, ieeexplore.ieee.org, 2014 IEEE International Conference on …,https://ieeexplore.ieee.org/abstract/document/6854541/,2
41,"Hintermüller, K Papafitsoros…",Dualization and automatic distributed parameter selection of total generalized variation via bilevel optimization,24,2022, Taylor & Francis, Numerical Functional …,https://www.tandfonline.com/doi/abs/10.1080/01630563.2022.2069812,8
42,"Chatnuntawech, A Martin, B Bilgic…",Vectorial total generalized variation for accelerated multi-channel multi-contrast MRI,24,2016, Elsevier, Magnetic resonance …,https://www.sciencedirect.com/science/article/pii/S0730725X16300704,3
56,"Wang, X Feng, W Wang, W Zhang",Iterative reweighted total generalized variation based Poisson noise removal model,24,2013, Elsevier, Applied Mathematics and …,https://www.sciencedirect.com/science/article/pii/S0096300313008461,2
44,"Xu, X Feng, Y Hao, Y Han",Image decomposition using adaptive second-order total generalized variation,23,2014, Springer, Signal  Image and Video Processing,https://link.springer.com/article/10.1007/s11760-012-0420-3,2
45,"Gao, K Bredies",Infimal convolution of oscillation total generalized variation for the recovery of images with structured texture,23,2018, SIAM, SIAM Journal on Imaging Sciences,https://epubs.siam.org/doi/abs/10.1137/17M1153960,3
28,"Zhang, W Pan, Z Wu, J Chen, Y Mao, R Wu",Robust image segmentation using fuzzy c-means clustering with spatial information based on total generalized variation,22,2020, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9096330/,4
12,"Liu, Y Li, W Wang, L Liu…",Mesh total generalized variation for denoising,22,2021, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9453151/,6
43," Mei, TZ Huang, S Wang, XL Zhao",Second order total generalized variation for speckle reduction in ultrasound images,22,2018, Elsevier, Journal of the Franklin Institute,https://www.sciencedirect.com/science/article/pii/S0016003217305719,3
33,"Kang, M Kang, M Jung",Total generalized variation based denoising models for ultrasound images,21,2017, Springer, Journal of Scientific Computing,https://link.springer.com/article/10.1007/s10915-017-0357-3,3
37,Liu,Total generalized variation and wavelet frame-based adaptive image restoration algorithm,21,2019, Springer, The Visual Computer,https://link.springer.com/article/10.1007/s00371-018-1581-z,4
71,"Niu, J Huang, Z Bian, D Zeng…",Iterative reconstruction for sparse-view x-ray CT using alpha-divergence constrained total generalized variation minimization,21,2017, content.iospress.com,ray …,https://content.iospress.com/articles/journal-of-x-ray-science-and-technology/xst16239,3
32,"Shi, X Zhang, Z Rao, M Wang…",Reduction of staircase effect with total generalized variation regularization for electrical impedance tomography,21,2019, ieeexplore.ieee.org, IEEE Sensors …,https://ieeexplore.ieee.org/abstract/document/8753610/,4
54,"Xu, X Feng, Y Hao, Y Han",Image decomposition and staircase effect reduction based on total generalized variation,20,2014, ieeexplore.ieee.org, Journal of Systems Engineering …,https://ieeexplore.ieee.org/abstract/document/6754241/,2
51,"Zhong, C Wu, Q Shu, RW Liu",Spatially adaptive total generalized variation-regularized image deblurring with impulse noise,20,2018, spiedigitallibrary.org, Journal of Electronic Imaging,https://www.spiedigitallibrary.org/journals/Journal-of-Electronic-Imaging/volume-27/issue-5/053006/Spatially-adaptive-total-generalized-variation-regularized-image-deblurring-with-impulse/10.1117/1.JEI.27.5.053006.short,3
38,"Wang, DS Smith, X Yang",Dynamic MR image reconstruction based on total generalized variation and low‐rank decomposition,20,2020, Wiley Online Library, Magnetic resonance in medicine,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.28064,4
75," Lee, MG Kang",Total variation-based image noise reduction with generalized fidelity function,19,2007, ieeexplore.ieee.org, IEEE Signal Processing Letters,https://ieeexplore.ieee.org/abstract/document/4351953/,1
69,"Liu, B Xiong, D Yang, M Zhang",A generalized relative total variation method for image smoothing,19,2016, Springer, Multimedia tools and applications,https://link.springer.com/article/10.1007/s11042-015-2709-z,2
36,"Shi, X Kong, M Wang, Y Wu, L Yang",A non-convex L₁-norm penalty-based total generalized variation model for reconstruction of conductivity distribution,17,2020, ieeexplore.ieee.org, IEEE Sensors Journal,https://ieeexplore.ieee.org/abstract/document/9042277/,3
84,"Bredies, M Holler",Artifact-free decompression and zooming of JPEG compressed images with total generalized variation,17,2013, Springer, Computer Vision  Imaging and Computer Graphics …,https://link.springer.com/chapter/10.1007/978-3-642-38241-3_16,1
66,"Niu, Y Zhang, Y Zhong, G Liu, S Lu, X Zhang…",Iterative reconstruction for photon-counting CT using prior image constrained total generalized variation,16,2018, Elsevier, Computers in biology …,https://www.sciencedirect.com/science/article/pii/S0010482518303214,2
57," Kongskov, Y Dong",Directional total generalized variation regularization for impulse noise removal,16,2017, Springer, Scale Space and Variational Methods in …,https://link.springer.com/chapter/10.1007/978-3-319-58771-4_18,2
68,"Bredies, M Holler",Artifact-free JPEG decompression with total generalized variation,16,2012, scitepress.org, … Conference on Computer Vision Theory and …,https://www.scitepress.org/PublishedPapers/2012/38245/,1
47,Lv,Total generalized variation denoising of speckled images using a primal-dual algorithm,15,2020, Springer, Journal of Applied Mathematics and Computing,https://link.springer.com/article/10.1007/s12190-019-01293-8,3
79,"Wang, FF Yin, JP Kirkpatrick…",Accelerated brain DCE-MRI using iterative reconstruction with total generalized variation penalty for quantitative pharmacokinetic analysis: a feasibility study,14,2017, journals.sagepub.com, Technology in cancer …,https://journals.sagepub.com/doi/abs/10.1177/1533034616649294,2
58,"Xie, C Xu, Y Han, RKF Teng",Color transfer using adaptive second-order total generalized variation regularizer,14,2018, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/8248764/,2
23,"Pöschl, O Scherzer",Exact solutions of one-dimensional total generalized variation,14,2015, intlpress.com, Communications in Mathematical Sciences,https://www.intlpress.com/site/pub/pages/journals/items/cms/content/vols/0013/0001/a009/,1
65," Ma, TZ Huang, XL Zhao",Spatially dependent regularization parameter selection for total generalized variation-based image denoising,13,2018, Springer, Computational and Applied Mathematics,https://link.springer.com/article/10.1007/s40314-016-0342-8,2
76,"Martín, E Schiavi",Automatic total generalized variation-based DTI Rician denoising,13,2013, Springer, International Conference Image Analysis and …,https://link.springer.com/chapter/10.1007/978-3-642-39094-4_66,1
74,"Guérit, L Jacques, B Macq…",Post-reconstruction deconvolution of pet images by total generalized variation regularization,13,2015, ieeexplore.ieee.org, 2015 23rd European …,https://ieeexplore.ieee.org/abstract/document/7362459/,1
29,"Gu, X Yang, Y Gao",A novel total generalized variation model for image dehazing,13,2019, Springer, Journal of Mathematical Imaging and Vision,https://link.springer.com/article/10.1007/s10851-019-00909-9,2
35,"Wang, H Zhang, L Liu",Total generalized variation-based Retinex image decomposition,13,2021, Springer, The Visual Computer,https://link.springer.com/article/10.1007/s00371-020-01888-4,3
82,"Yanez, A Fan, B Bilgic, C Milovic…",Quantitative susceptibility map reconstruction via a total generalized variation regularization,12,2013, ieeexplore.ieee.org, … Workshop on Pattern …,https://ieeexplore.ieee.org/abstract/document/6603591/,1
67,"Lu, J Wei, Q Liu, Y Wang, X Deng",A dictionary learning method with total generalized variation for MRI reconstruction,12,2016, hindawi.com, International Journal of …,https://www.hindawi.com/journals/ijbi/2016/7512471/abs/,1
55,"Strecke, B Goldluecke",Sublabel-accurate convex relaxation with total generalized variation regularization,12,2018, Springer, German Conference on Pattern Recognition,https://link.springer.com/chapter/10.1007/978-3-030-12939-2_19,2
81,"Chen, Z Peng, M Li, F Yu, F Lin",Seismic signal denoising using total generalized variation with overlapping group sparsity in the accelerated ADMM framework,11,2019, academic.oup.com, Journal of Geophysics and …,https://academic.oup.com/jge/article-abstract/16/1/30/5319297,2
92,"Chen, L Wang, B Yan, H Zhang…",Efficient and robust 3D CT image reconstruction based on total generalized variation regularization using the alternating direction method,11,2015, content.iospress.com,ray …,https://content.iospress.com/articles/journal-of-x-ray-science-and-technology/xst521,1
30," Shao, F Wang, LL Huang",Adapting total generalized variation for blind image restoration,11,2019, Springer, Multidimensional Systems and Signal …,https://link.springer.com/article/10.1007/s11045-018-0586-0,2
78,"Balle, T Beck, D Eifler, JH Fitschen…",Strain analysis by a total generalized variation regularized optical flow model,10,2019, Taylor & Francis, Inverse Problems in …,https://www.tandfonline.com/doi/abs/10.1080/17415977.2018.1475479,2
80,Liu,A new total generalized variation induced spatial difference prior model for variational pansharpening,10,2019, Taylor & Francis, Remote sensing letters,https://www.tandfonline.com/doi/abs/10.1080/2150704X.2019.1597299,2
98,"Gu, D Zeng, J Lin, S Li, J He, H Zhang…",Promote quantitative ischemia imaging via myocardial perfusion CT iterative reconstruction with tensor total generalized variation regularization,10,2018, iopscience.iop.org, Physics in Medicine …,https://iopscience.iop.org/article/10.1088/1361-6560/aac7bd/meta,1
77,"Komander, DA Lorenz, L Vestweber",Denoising of image gradients and total generalized variation denoising,9,2019, Springer, Journal of Mathematical Imaging …,https://link.springer.com/article/10.1007/s10851-018-0819-8,2
72,"Li, B Zhang, X Yang, W Zhu",Edge-guided second-order total generalized variation for Gaussian noise removal from depth map,9,2020, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-020-73342-3,2
63," YANG, XW LUAN, FS MENG…",Seismic data reconstruction based on Shearlet transform and total generalized variation regularization,9,2020, en.dzkx.org, Chinese Journal of …,http://en.dzkx.org/article/doi/10.6038/cjg2020M0424,2
61," Pham, TTT Tran, TC Nguyen…",Second-order total generalized variation based model for restoring images with mixed Poisson-Gaussian noise,8,2021, cyberleninka.ru, Информационно …,https://cyberleninka.ru/article/n/second-order-total-generalized-variation-based-model-for-restoring-images-with-mixed-poisson-gaussian-noise,2
52," Iglesias, D Walter",Extremal points of total generalized variation balls in 1D: characterization and applications,8,2021, arxiv.org, arXiv preprint arXiv:2112.06846,https://arxiv.org/abs/2112.06846,2
