index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,0.0,418.0,364.0
0,polygon,1,0.0,419.0000281459248,368.93293293293294
0,polygon,2,0.0,418.31139612264894,373.75723270818366
0,polygon,3,0.0,415.9735058086776,378.0463771985103
0,polygon,4,0.0,413.5520280491211,382.45981671685985
0,polygon,5,0.0,412.02575359997,387.19197308877244
0,polygon,6,0.0,408.99442690938287,391.0111447720052
0,polygon,7,0.0,409.0004328182143,395.94079670144004
0,polygon,8,0.0,410.65175552196837,400.5527992776422
0,polygon,9,0.0,413.6166145731957,404.5400764730746
0,polygon,10,0.0,417.0895744914269,408.10658307809007
0,polygon,11,0.0,421.02955667024366,411.0281723737186
0,polygon,12,0.0,424.5324684757033,414.64175300141795
0,polygon,13,0.0,429.16672608193363,416.13870663907176
0,polygon,14,0.0,434.00973403351196,416.9996990446383
0,polygon,15,0.0,438.55000174828837,414.90875004133534
0,polygon,16,0.0,442.64779950058517,412.27707715740263
0,polygon,17,0.0,447.0994649805482,409.9768723228925
0,polygon,18,0.0,450.9747541802536,407.01024525580164
0,polygon,19,0.0,454.89435541862514,404.10428709780274
0,polygon,20,0.0,459.2730090542834,401.7584067837456
0,polygon,21,0.0,463.7895162627005,399.9329612705386
0,polygon,22,0.0,468.55385801899956,398.42785120601394
0,polygon,23,0.0,473.27408549977736,396.8816867498599
0,polygon,24,0.0,477.94233850378987,395.0428741051801
0,polygon,25,0.0,482.9057236717987,394.99982971373976
0,polygon,26,0.0,487.7736454757153,395.09265869544015
0,polygon,27,0.0,492.5403718011092,393.97382530659456
0,polygon,28,0.0,497.4078417964524,392.99854600755197
0,polygon,29,0.0,502.2436934000298,392.01175841751655
0,polygon,30,0.0,507.0300513946229,390.9986957329664
0,polygon,31,0.0,511.92829681333734,390.99998017198016
0,polygon,32,0.0,516.8093366379884,391.02255454297216
0,polygon,33,0.0,521.6448025690022,392.00550427593816
0,polygon,34,0.0,526.5571579548339,391.9998448022078
0,polygon,35,0.0,531.492535117203,392.09959265470405
0,polygon,36,0.0,536.270865849262,391.00192533210765
0,polygon,37,0.0,541.1735575413146,391.0025767780449
0,polygon,38,0.0,545.9482327103893,389.9904820869425
0,polygon,39,0.0,550.8582158879487,389.9999441176888
0,polygon,40,0.0,555.7384087649273,390.0990085121555
0,polygon,41,0.0,560.4940321540549,389.0019361904523
0,polygon,42,0.0,565.3632189357311,389.0056173123758
0,polygon,43,0.0,570.1473409037251,388.0190395614463
0,polygon,44,0.0,575.0383845165338,387.99998201409267
0,polygon,45,0.0,579.9273298695344,387.98916136313017
0,polygon,46,0.0,584.7056912596729,386.99543286657115
0,polygon,47,0.0,589.5784110465407,386.9979921794553
0,polygon,48,0.0,594.3222875707179,385.87550242477346
0,polygon,49,0.0,596.7361905341631,379.74896210471354
0,polygon,50,0.0,597.867143066788,373.5287231752764
0,polygon,51,0.0,598.4326193331005,367.025746112683
0,polygon,52,0.0,599.2808337325692,362.21919784902707
0,polygon,53,0.0,600.6945243983504,355.9989589195899
0,polygon,54,0.0,600.4117862651941,347.51681492490286
0,polygon,55,0.0,593.3433329362883,346.1031242591217
0,polygon,56,0.0,584.578450808445,344.4066954601843
0,polygon,57,0.0,574.9653542811332,342.4275285280907
0,polygon,58,0.0,565.3522577538212,341.0138378623095
0,polygon,59,0.0,559.132018824384,340.1656234628408
0,polygon,60,0.0,548.105231631291,339.0346709302159
0,polygon,61,0.0,537.6439207045103,336.772765864966
0,polygon,62,0.0,530.009991109292,335.0763370660286
0,polygon,63,0.0,521.8105852477612,333.9453845334037
0,polygon,64,0.0,512.1974887204492,333.66264640024747
0,polygon,65,0.0,504.5635591252309,333.3799082670912
0,polygon,66,0.0,494.38498633160646,331.6834794681538
