index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,0.0,316.0,263.0
0,polygon,1,0.0,315.9733098213842,267.7347347344774
0,polygon,2,0.0,314.99780831071996,272.3652011840773
0,polygon,3,0.0,313.9642232765608,276.8937152689581
0,polygon,4,0.0,313.0743694326695,281.4967009084967
0,polygon,5,0.0,309.5406316981699,284.5800943792229
0,polygon,6,0.0,305.617044343257,287.3045448234045
0,polygon,7,0.0,304.0825836884902,291.8449734230301
0,polygon,8,0.0,303.00379141171067,296.4534688335286
0,polygon,9,0.0,304.06353516686033,301.12635147890217
0,polygon,10,0.0,304.0151697445989,305.8526682847579
0,polygon,11,0.0,306.76719926443803,309.7704782090476
0,polygon,12,0.0,310.09788559986305,313.1178871919593
0,polygon,13,0.0,314.50066005204206,314.8632779486906
0,polygon,14,0.0,318.62576814507975,316.97831242892323
0,polygon,15,0.0,323.2616309641519,318.0011411607475
0,polygon,16,0.0,327.608390425652,316.3761156352245
0,polygon,17,0.0,330.9557448002365,313.01651721547887
0,polygon,18,0.0,335.0791516078373,310.89220763013793
0,polygon,19,0.0,339.35897773412063,308.7572002949347
0,polygon,20,0.0,342.5695728636312,305.3522871488
0,polygon,21,0.0,347.008646459864,304.00103339281327
0,polygon,22,0.0,351.5488754162653,303.13046565330063
0,polygon,23,0.0,356.0470652156629,301.9982140083937
0,polygon,24,0.0,360.6127954024388,301.022273336045
0,polygon,25,0.0,365.33778298311705,300.98038295191583
0,polygon,26,0.0,369.8641224372803,300.00733011481304
0,polygon,27,0.0,374.5098826878533,299.99800891510927
0,polygon,28,0.0,379.04496316468885,298.973672288411
0,polygon,29,0.0,383.74741746075046,298.99972320588097
0,polygon,30,0.0,388.39319753286355,298.9983836001976
0,polygon,31,0.0,392.96653820676283,298.0224234086694
0,polygon,32,0.0,397.613125578142,297.9706904670625
0,polygon,33,0.0,402.14086578365897,296.995020594516
0,polygon,34,0.0,406.82225002618003,296.97838921784296
0,polygon,35,0.0,411.3930856099574,295.9922659596062
0,polygon,36,0.0,416.0182293329335,295.9999967018081
0,polygon,37,0.0,420.6383729005335,295.9711659057651
0,polygon,38,0.0,425.1983944797663,294.99381251927986
0,polygon,39,0.0,429.8397916123616,294.9999878494802
0,polygon,40,0.0,434.46255667490146,294.9999905731739
0,polygon,41,0.0,439.0916789962346,295.0012700249783
0,polygon,42,0.0,443.60600001074994,293.915780996197
0,polygon,43,0.0,448.22547748653795,294.00013241061055
0,polygon,44,0.0,452.86295066973855,294.0012912145232
0,polygon,45,0.0,457.35800772744454,295.1130684706286
0,polygon,46,0.0,461.8360956052733,293.9664700057305
0,polygon,47,0.0,466.46257850759247,294.00014323006087
0,polygon,48,0.0,471.08261812084544,293.9999999062938
0,polygon,49,0.0,471.0182053241923,290.81374761766483
0,polygon,50,0.0,471.2515325382759,287.5471666204941
0,polygon,51,0.0,471.71818696644317,285.09723087261614
0,polygon,52,0.0,471.71818696644317,282.1806406965709
0,polygon,53,0.0,472.0681777875686,279.1473869134838
0,polygon,54,0.0,472.41816860869403,275.7641423092713
0,polygon,55,0.0,473.00148664390304,273.1975429543515
0,polygon,56,0.0,473.4681410720703,270.39761638534804
0,polygon,57,0.0,469.2682512185651,269.3476439219718
0,polygon,58,0.0,464.60170693689275,267.94768063747006
0,polygon,59,0.0,460.4018170833876,266.78104456705194
0,polygon,60,0.0,456.2019272298824,265.497744889592
0,polygon,61,0.0,451.1853921270846,264.0977816050903
0,polygon,62,0.0,445.7022025961196,262.464491106505
0,polygon,63,0.0,439.7523586369873,260.48120978679424
0,polygon,64,0.0,434.8524871412312,258.9645828952507
0,polygon,65,0.0,430.18594285955885,257.3312923966654
0,polygon,66,0.0,423.06946283000843,255.114683862871
0,polygon,67,0.0,417.00295526383434,254.06471139949468
0,polygon,68,0.0,410.3531296624511,252.19809368682573
0,polygon,69,0.0,403.35331323994257,250.798130402324
0,polygon,70,0.0,397.47433330774373,250.02193005586315
0,polygon,71,0.0,390.4745168852351,248.50530316431963
0,polygon,72,0.0,383.70802767681016,246.40535823756704
0,polygon,73,0.0,377.05820207542695,244.77206773898172
0,polygon,74,0.0,371.10835811629465,243.37210445448
0,polygon,75,0.0,364.34186890786964,242.20546838406187
