index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,polygon,0,0.0,82.0,217.0
0,polygon,1,0.0,87.5915915915916,215.99936102037586
0,polygon,2,0.0,93.10482254025797,215.01471716484716
0,polygon,3,0.0,98.54079099314725,214.99996479908796
0,polygon,4,0.0,103.900579707958,214.9999999829823
0,polygon,5,0.0,109.56273316579647,214.99985350352497
0,polygon,6,0.0,115.13986930444817,214.89184741244986
0,polygon,7,0.0,120.63326466023724,213.99959287938032
0,polygon,8,0.0,126.04417660227573,213.99999995058153
0,polygon,9,0.0,131.37384362025958,214.00000000028402
0,polygon,10,0.0,136.9734617404556,213.99999999999997
0,polygon,11,0.0,142.48339628715502,213.99999999993048
0,polygon,12,0.0,147.90508363390728,214.00000002590613
0,polygon,13,0.0,153.23993714928014,214.00007083826367
0,polygon,14,0.0,158.8174357163094,213.91803352104517
0,polygon,15,0.0,164.30002189531115,215.0006252703929
0,polygon,16,0.0,169.68931081200756,214.89506808142764
0,polygon,17,0.0,174.9868901074989,216.00212992544826
0,polygon,18,0.0,180.1943204059699,216.95764589733716
0,polygon,19,0.0,185.6142425608173,218.00048557076786
0,polygon,20,0.0,190.9365084606224,219.0118531140293
0,polygon,21,0.0,196.4532315229329,219.00003818313385
0,polygon,22,0.0,201.86503192439864,219.00034383242468
0,polygon,23,0.0,207.17390519110177,217.92051675714742
0,polygon,24,0.0,212.6559090911798,218.00010552525669
0,polygon,25,0.0,218.02816316342845,218.00035258123071
0,polygon,26,0.0,223.29286460159804,217.0910546729822
0,polygon,27,0.0,228.45216661157605,215.90611028265033
0,polygon,28,0.0,233.76097992604744,215.9480724621818
0,polygon,29,0.0,239.20568307081916,216.17044968406893
0,polygon,30,0.0,244.53048284301374,216.99997472281544
0,polygon,31,0.0,249.9747259828818,217.98210927990746
0,polygon,32,0.0,255.0623739576392,220.04116513775796
0,polygon,33,0.0,260.03613708936365,222.04431460926617
0,polygon,34,0.0,263.26495926752415,226.24059262568426
0,polygon,35,0.0,267.0246206450041,230.14603204736065
0,polygon,36,0.0,269.9191120742371,234.83350630162874
0,polygon,37,0.0,272.5611297659944,239.62612827851402
0,polygon,38,0.0,273.99650899947056,244.91914161597816
0,polygon,39,0.0,271.39081456275864,249.67842849682538
0,polygon,40,0.0,267.6459060591201,253.43707025909106
0,polygon,41,0.0,262.8994801046389,256.0430969763668
0,polygon,42,0.0,258.27181113665057,258.6701323328153
0,polygon,43,0.0,254.3731598759532,262.5166838079902
0,polygon,44,0.0,251.6836230632313,267.2702432642023
0,polygon,45,0.0,247.4157968120834,270.57678657804803
0,polygon,46,0.0,242.72358922815243,273.22669399670076
0,polygon,47,0.0,238.16276770778404,276.0227487233773
0,polygon,48,0.0,233.09649286595203,274.03720550592914
0,polygon,49,0.0,228.19250110247836,272.01688371453537
0,polygon,50,0.0,223.7422758441457,268.95585508500943
0,polygon,51,0.0,218.70626017393033,267.09212373395155
0,polygon,52,0.0,213.84668148915802,264.9198886176554
0,polygon,53,0.0,208.621435665257,264.07411940360214
0,polygon,54,0.0,203.4714282312127,262.4686249428555
0,polygon,55,0.0,198.28043725452503,261.2457326813929
0,polygon,56,0.0,193.07088846653798,259.9867800433789
0,polygon,57,0.0,187.86442112974044,258.93301167418304
0,polygon,58,0.0,182.46580145357723,259.10409571243395
0,polygon,59,0.0,177.23481459258383,257.9991490280755
0,polygon,60,0.0,171.97887866866037,257.003452817616
0,polygon,61,0.0,166.63876359080018,257.0778418561071
0,polygon,62,0.0,161.43523424600735,256.00179781547536
0,polygon,63,0.0,156.13664543120214,255.98196344284173
0,polygon,64,0.0,150.8779582092272,255.00118764890846
0,polygon,65,0.0,145.5567901755014,255.00665131146724
0,polygon,66,0.0,140.3069971684543,254.01784462695167
0,polygon,67,0.0,134.99466908955137,254.00091420109595
0,polygon,68,0.0,129.76494580275718,253.0018106150902
0,polygon,69,0.0,124.43476642248191,253.00762309058985
0,polygon,70,0.0,119.23069467930836,252.01320420807812
0,polygon,71,0.0,113.92924945237478,252.0133309654194
0,polygon,72,0.0,108.7328779146237,251.00192226717334
0,polygon,73,0.0,103.4119745971008,250.99793410198328
0,polygon,74,0.0,98.20931357552281,249.95584140315063
0,polygon,75,0.0,92.90509911058075,250.0183560417049
0,polygon,76,0.0,87.69913820811425,249.0007497546671
0,polygon,77,0.0,82.5201383323857,247.89546148074655
1,polygon,0,1.0,82.17787626305176,218.87442001219463
1,polygon,1,1.0,87.77052829676207,217.87972502148793
1,polygon,2,1.0,93.28480273024981,216.90094185461862
1,polygon,3,1.0,98.72078379296181,216.89196750564776
1,polygon,4,1.0,104.08056944262292,216.89769972488546
1,polygon,5,1.0,109.7427198575994,216.90357167089996
1,polygon,6,1.0,115.31996764772983,216.80149369947915
1,polygon,7,1.0,120.81430829693608,215.91507871919737
1,polygon,8,1.0,126.22521674965829,215.92123716551595
1,polygon,9,1.0,131.55488075685315,215.92690223357852
1,polygon,10,1.0,137.15449571381762,215.93285418852048
1,polygon,11,1.0,142.66442714794763,215.93871081706675
1,polygon,12,1.0,148.08611143195373,215.94447367180047
1,polygon,13,1.0,153.42096185839262,215.95021501531838
1,polygon,14,1.0,158.9985444739244,215.87410618831734
1,polygon,15,1.0,164.47997684561773,216.9625248855517
1,polygon,16,1.0,169.869374916917,216.86269614798175
1,polygon,17,1.0,175.1657744998176,217.97538827824744
1,polygon,18,1.0,180.37218621800875,218.93643880067089
1,polygon,19,1.0,185.7909968542881,219.98503883749746
1,polygon,20,1.0,191.11218474309922,221.00206296098747
1,polygon,21,1.0,196.62891724735098,220.99611188104217
1,polygon,22,1.0,202.0407142668021,221.0021698498704
1,polygon,23,1.0,207.3507323060717,219.927986300821
1,polygon,24,1.0,212.8326485127351,220.01340196449777
1,polygon,25,1.0,218.20489928758897,220.01935930539352
1,polygon,26,1.0,223.47056426413738,219.11565787584868
1,polygon,27,1.0,228.63112286264288,217.93619808860143
1,polygon,28,1.0,233.93988857565012,217.983803096936
1,polygon,29,1.0,239.38435227514222,218.21196748594954
1,polygon,30,1.0,244.70826731924296,219.0471519009555
1,polygon,31,1.0,250.15146345158527,220.03507270703685
1,polygon,32,1.0,255.2369199373124,222.09953517280783
1,polygon,33,1.0,260.20855106844766,224.107970233155
1,polygon,34,1.0,263.4329111079683,228.30767786402615
1,polygon,35,1.0,267.1884191855701,232.21711130491835
1,polygon,36,1.0,270.0779265619208,236.90765952877712
1,polygon,37,1.0,272.71484857962963,241.70308705605814
1,polygon,38,1.0,274.1446009438879,246.997623099128
1,polygon,39,1.0,271.53384923016193,251.7541376424667
1,polygon,40,1.0,267.78494770039447,255.50879673721545
1,polygon,41,1.0,263.03575442500664,258.10977690352564
1,polygon,42,1.0,258.40529573848875,260.7318919265105
1,polygon,43,1.0,254.5025580973765,264.57429726800603
1,polygon,44,1.0,251.80797014280674,269.32499527207
1,polygon,45,1.0,247.53663170614715,272.6270003532047
1,polygon,46,1.0,242.84161012893483,275.2719188259825
1,polygon,47,1.0,238.27781919792992,278.06312417731414
1,polygon,48,1.0,233.2136576948788,276.07219702838347
1,polygon,49,1.0,228.31181614541063,274.04666381934794
1,polygon,50,1.0,223.86484703456009,270.98090667831076
1,polygon,51,1.0,218.83081520956446,269.1118234900867
1,polygon,52,1.0,213.9735481856677,266.9344242495869
1,polygon,53,1.0,208.7492042999077,266.08310148649565
1,polygon,54,1.0,203.6009062899006,264.4721338783929
1,polygon,55,1.0,198.41121808424802,263.2437246911477
1,polygon,56,1.0,193.20301040713363,261.9792354222226
1,polygon,57,1.0,187.99766608467036,260.9199335815479
1,polygon,58,1.0,182.59886760926975,261.0852792135212
