Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
64,"Cross, E Smith, D Hoy, S Nolte, I Ackerman…",The global burden of hip and knee osteoarthritis: estimates from the global burden of disease 2010 study,3886,2014, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/73/7/1323.short,353
35,"P Michael, KU Schlüte","The epidemiology, etiology, diagnosis, and treatment of osteoarthritis of the knee",1152,2010, ncbi.nlm.nih.gov, Deutsches Arzteblatt …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2841860/,77
17,"Cui, H Li, D Wang, J Zhong, Y Chen, H Lu","Global, regional prevalence, incidence and risk factors of knee osteoarthritis in population-based studies",1085,2020, thelancet.com, EClinicalMedicine,https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(20)30331-X/fulltext,217
31,"DT Nguyen, Y Zhang, Y Zhu, J Niu…",Increasing prevalence of knee pain and symptomatic knee osteoarthritis: survey and cohort data,719,2011, acpjournals.org, Annals of internal …,https://www.acpjournals.org/doi/abs/10.7326/0003-4819-155-11-201112060-00004,51
78,"Guermazi, J Niu, D Hayashi, FW Roemer, M Englund…",Prevalence of abnormalities in knees detected by MRI in adults without knee osteoarthritis: population based observational study (Framingham Osteoarthritis Study),609,2012, bmj.com, Bmj,https://www.bmj.com/content/345/bmj.e5339.short,47
82,"Stürmer, KP Günther, H Brenner","Obesity, overweight and patterns of osteoarthritis: the Ulm Osteoarthritis Study",549,2000, Elsevier, Journal of clinical epidemiology,https://www.sciencedirect.com/science/article/pii/S0895435699001626,22
41," Allen, LM Thoma, YM Golightly",Epidemiology of osteoarthritis,424,2022, Elsevier, Osteoarthritis and cartilage,https://www.sciencedirect.com/science/article/pii/S1063458421008864,141
60,"Klug, Y Gramlich, M Rudert, P Drees…",The projected volume of primary and revision total knee arthroplasty will place an immense burden on future health care systems over the next 30 years,243,2021, Springer, Knee Surgery  Sports …,https://link.springer.com/article/10.1007/s00167-020-06154-7,61
30,"Wengler, U Nimptsch, T Mansky",Hip and knee replacement in Germany and the USA: analysis of individual inpatient data from German and US hospitals for the years 2005 to 2011,241,2014, ncbi.nlm.nih.gov, Deutsches Ärzteblatt …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4078223/,22
10," Günther, T Stürmer, S Sauerland, I Zeissig…",Prevalence of generalised osteoarthritis in patients with advanced hip and knee osteoarthritis: the Ulm Osteoarthritis Study,237,1998, ard.bmj.com, Annals of the …,https://ard.bmj.com/content/57/12/717.short,9
43," Kingsbury, HJ Gross, G Isherwood…","Osteoarthritis in Europe: impact on health status, work productivity and use of pharmacotherapies in five European countries",228,2014, academic.oup.com, …,https://academic.oup.com/rheumatology/article-abstract/53/5/937/1798271,21
61," Steinmetz, GT Culbreth, LM Haile…","Global, regional, and national burden of osteoarthritis, 1990–2020 and projections to 2050: a systematic analysis for the Global Burden of Disease Study 2021",226,2023, thelancet.com, The Lancet …,https://www.thelancet.com/journals/lanrhe/article/piis2665-9913(23)00163-7/fulltext,113
46,"Pabinger, H Lothaller, A Geissler",Utilization rates of knee-arthroplasty in OECD countries,220,2015, Elsevier, Osteoarthritis and cartilage,https://www.sciencedirect.com/science/article/pii/S1063458415011656,22
94," Wang, M Beyer, J Gensichen, FM Gerlach",Health-related quality of life among general practice patients with differing chronic diseases in Germany: cross sectional survey,205,2008, Springer, BMC public health,https://link.springer.com/article/10.1186/1471-2458-8-246,12
44,"Rosemann, G Laux, J Szecsenyi","Osteoarthritis: quality of life, comorbidities, medication and health service utilization assessed in a large sample of primary care patients",182,2007, Springer, Journal of orthopaedic surgery and …,https://link.springer.com/article/10.1186/1749-799x-2-12,10
6,"Klussmann, H Gebhardt, M Nübling, F Liebers…",Individual and occupational risk factors for knee osteoarthritis: results of a case-control study in Germany,175,2010, Springer, Arthritis research & …,https://link.springer.com/article/10.1186/ar3015,12
65," Castell, S Van Der Pas, A Otero, P Siviero…",Osteoarthritis and frailty in elderly individuals across six European countries: results from the European Project on OSteoArthritis (EPOSA),166,2015, Springer, BMC musculoskeletal …,https://link.springer.com/article/10.1186/s12891-015-0807-8,17
